[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 1] But when Nicanor understood that Judas was in the places of Samaria, he purposed to set upon him with all violence on the sabbath day.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 22] And in his prayer he said after this manner: Thou, O Lord, who didst send thy angel in the time of Ezechias king of Juda, and didst kill a hundred and eighty-five thousand of the army of Sennacherib:
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 23] Send now also, O Lord of heaven, thy good angel before us, for the fear and dread of the greatness of thy arm,
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 24] That they may be afraid, who come with blasphemy against thy holy people. And thus he concluded his prayer.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 25] But Nicanor, and they that were with him came forward, with trumpets and songs.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 26] But Judas, and they that were with him, encountered them, calling upon God by prayers:
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 27] So fighting with their hands, but praying to the Lord with their hearts, they slew no less than five and thirty thousand, being greatly cheered with the presence of God.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 28] And when the battle was over, and they were returning with joy, they understood that Nicanor was slain in his armour.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 29] Then making a shout, and a great noise, they blessed the Almighty Lord in their own language.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 30] And Judas, who was altogether ready, in body and mind, to die for his countrymen, commanded that Nicanor’s head, and his hand with the shoulder should be cut off, and carried to Jerusalem.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 31] And when he was come thither, having called together his countrymen, and the priests to the altar, he sent also for them that were in the castle,
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 32] And shewing them the head of Nicenor, and the wicked hand, which he had stretched out, with proud boasts, against the holy house of the Almighty God,
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 33] He commanded also, that the tongue of the wicked Nicanor, should be cut out and given by pieces to birds, and the hand of the furious man to be hanged up over against the temple.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 34] Then all blessed the Lord of heaven, saying: Blessed be he that hath kept his own place undefiled.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 35] And he hung up Nicanor’s head in the top of the castle, that it might be an evident and manifest sign of the help of God.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 36] And they all ordained by a common decree, by no means to let this day pass without solemnity:
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 37] But to celebrate the thirteenth day of the month of Adar, called, in the Syrian language, the day before Mardochias’ day.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 38] So these things being done with relation to Nicanor, and from that time the city being possessed by the Hebrews, I also will here make an end of my narration.
[DRA | EN | OT | 2 Maccabees | Chapter 15 | Verse 39] Which if I have done well, and as it becometh the history, it is what I desired: but if not so perfectly, it must be pardoned me.
