[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 1] But Simon, of whom we spoke before, and of his country, spoke ill of Onias, as though he had incited Heliodorus to do these things, and had been the promoter of evils:
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 24] But he being recommended to the king, when he had magnified the appearance of his power, got the high priesthood for himself, by offering more than Jason by three hundred talents of silver.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 25] So having received the king’s mandate, he returned bringing nothing worthy of the high priesthood: but having the mind of a cruel tyrant, and the rage of a savage beast.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 26] Then Jason, who had undermined his own brother, being himself undermined, was driven out a fugitive into the country of the Ammonites.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 27] So Menelaus got the principality: but as for the money he had promised to the king he took no care, when Sostratus the governor of the castle called for it.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 28] For to him appertained the gathering of the taxes: wherefore they were both called before the king.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 29] And Menelaus was removed from the priesthood, Lysimachus his brother succeeding: and Sostratus was made governor of the Cyprians.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 30] When these things were in doing, it fell out that they of Tharsus and Mallos raised a sedition, because they were given for a gift to Antiochis, the king’s concubine.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 31] The king therefore went in all haste to appease them, leaving Andronicus, one of his nobles, for his deputy.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 32] Then Menelaus supposing that he had found a convenient time, having stolen certain vessels of gold out of the temple, gave them to Andronicus, and others he had sold at Tyre, and in the neighbouring cities.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 33] Which when Onias understood most certainly, he reproved him, keeping himself in a safe place at Antioch beside Daphne.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 34] Whereupon Menelaus coming to Andronicus, desired him to kill Onias. And he went to Onias, and gave him his right hand with an oath, and (though he were suspected by him) persuaded him to come forth out of the sanctuary, and immediately slew him, without any regard to justice.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 35] For which cause not only the Jews, but also the other nations, conceived indignation, and were much grieved for the unjust murder of so great a man.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 36] And when the king was come back from the places of Cilicia, the Jews that were at Antioch, and also the Creaks went to him: complaining of the unjust murder of Onias.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 37] Antiochus therefore was grieved in his mind for Onias, and being moved to pity, shed tears, remembering the sobriety and modesty of the deceased.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 38] And being inflamed to anger, he commanded Andronicus to be stripped of his purple, and to be led about through all the city: and that in the same place wherein he had committed the impiety against Onias, the sacrilegious wretch should be put to death, the Lord repaying him his deserved punishment.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 39] Now when many sacrileges had been committed by Lysimachus in the temple by the counsel of Menelaus, and the rumour of it was spread abroad, the multitude gathered themselves together against Lysimachus, a great quantity of gold being already carried away.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 40] Wherefore the multitude making an insurrection, and their minds being filled with anger, Lysimachus armed about three thousand men, and began to use violence, one Tyrannus being captain, a man far gone both in age, and in madness.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 41] But when they perceived the attempt of Lysimachus, some caught up stones, some strong clubs: and some threw ashes upon Lysimachus,
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 42] And many of them were wounded, and some struck down to the ground, but all were put to flight: and as for the sacrilegious fellow himself, they slew him beside the treasury.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 43] Now concerning these matters, an accusation was laid against Menelaus.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 44] And when the king was come to Tyre, three men were sent from the ancients to plead the cause before him.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 45] But Menelaus being convicted, promised Ptolemee to give him much money to persuade the king to favour him.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 46] So Ptolemee went to the king in a certain court where he was, as it were to cool himself, and brought him to be of another mind:
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 47] So Menelaus who was guilty of all the evil, was acquitted by him of the accusations: and those poor men, who, if they had pleaded their cause even before Scythians, should have been judged innocent, were condemned to death.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 48] Thus they that prosecuted the cause for the city, and for the people, and the sacred vessels, did soon suffer unjust punishment.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 49] Wherefore even the Tyrians being moved with indignation, were liberal towards their burial.
[DRA | EN | OT | 2 Maccabees | Chapter 4 | Verse 50] And so through the covetousness of them that were in power, Menelaus continued in authority, increasing in malice to the betraying of the citizens.
