[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 1] Then came near the heads of the fathers of the Levites to Eleazar the priest, and to Joshua the son of Nun, and to the heads of the fathers of the tribes of the children of Israel;
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 12] But the fields of the city, and its villages, they gave to Caleb the son of Jephunneh for his possession.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 13] Thus they gave to the children of Aaron the priest, Hebron with its suburbs, to be a city of refuge for the slayer; and Libnah with its suburbs,
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 14] And Jattir with its suburbs, and Eshtemoa with its suburbs,
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 15] And Holon with its suburbs, and Debir with its suburbs,
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 16] And Ain with its suburbs, and Juttah with its suburbs, and Beth-shemesh with its suburbs; nine cities out of those two tribes.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 17] And out of the tribe of Benjamin, Gibeon with its suburbs, Geba with its suburbs,
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 18] Anathoth with its suburbs, and Almon with its suburbs; four cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 19] All the cities of the children of Aaron, the priests, were thirteen cities with their suburbs.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 20] And the families of the children of Kohath, the Levites who remained of the children of Kohath, even they had the cities of their lot out of the tribe of Ephraim.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 21] For they gave them Shechem with its suburbs in mount Ephraim, to be a city of refuge for the slayer; and Gezer with its suburbs,
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 22] And Kibzaim with its suburbs, and Beth-horon with its suburbs; four cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 23] And out of the tribe of Dan, Eltekeh with its suburbs, Gibbethon with its suburbs,
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 24] Ajalon with its suburbs, Gath-rimmon with its suburbs; four cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 25] And out of the half-tribe of Manasseh, Taanach with its suburbs, and Gath-rimmon with its suburbs; two cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 26] All the cities were ten with their suburbs, for the families of the children of Kohath that remained.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 27] And to the children of Gershon, of the families of the Levites, out of the other half-tribe of Manasseh they gave Golan in Bashan with its suburbs, to be a city of refuge for the slayer, and Beesh-terah with its suburbs; two cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 28] And out of the tribe of Issachar, Kishon with its suburbs, Dabareh with its suburbs,
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 29] Jarmuth with its suburbs, En-gannim with its suburbs; four cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 30] And out of the tribe of Asher, Mishal with its suburbs, Abdon with its suburbs,
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 31] Helkath with its suburbs, and Rehob with its suburbs; four cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 32] And out of the tribe of Naphtali, Kedesh in Galilee with its suburbs, to be a city of refuge for the slayer; and Hammoth-dor with its suburbs, and Kartan with its suburbs; three cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 33] All the cities of the Gershonites, according to their families, were thirteen cities with their suburbs.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 34] And to the families of the children of Merari, the rest of the Levites, out of the tribe of Zebulun, Jokneam with its suburbs, and Kartah with its suburbs,
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 35] Dimnah with its suburbs, Nahalal with its suburbs; four cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 36] And out of the tribe of Reuben, Bezer with its suburbs, and Jahazah with its suburbs,
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 37] Kedemoth with its suburbs, and Mephaath with its suburbs; four cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 38] And out of the tribe of Gad, Ramoth in Gilead with its suburbs to be a city of refuge for the slayer; and Mahanaim with its suburbs,
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 39] Heshbon with its suburbs, Jazer with its suburbs; four cities in all.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 40] So all the cities for the children of Merari by their families, which were remaining of the families of the Levites, were by their lot twelve cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 41] All the cities of the Levites within the possession of the children of Israel were forty and eight cities with their suburbs.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 42] These cities were every one with their suburbs around them. Thus were all these cities.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 43] And the LORD gave to Israel all the land which he swore to give to their fathers: and they possessed it, and dwelt in it.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 44] And the LORD gave them rest on all sides, according to all that he swore to their fathers: and there stood not a man of all their enemies before them; the LORD delivered all their enemies into their hand.
[WEBSTER | EN | OT | Joshua | Chapter 21 | Verse 45] There failed not aught of any good thing which the LORD had spoken to the house of Israel; all came to pass.
