[YLT | EN | OT | 2 Kings | Chapter 18 | Verse 1] And it cometh to pass, in the third year of Hoshea son of Elah king of Israel, reigned hath Hezekiah son of Ahaz king of Judah;
[YLT | EN | OT | 2 Kings | Chapter 18 | Verse 28] And the chief of the butlers standeth and calleth with a great voice [in] Jewish, and speaketh and saith, 'Hear ye a word of the great king, the king of Asshur:
[YLT | EN | OT | 2 Kings | Chapter 18 | Verse 29] thus said the king, Let not Hezekiah lift you up, for he is not able to deliver you out of his hand;
[YLT | EN | OT | 2 Kings | Chapter 18 | Verse 30] and let not Hezekiah make you trust unto Jehovah, saying, Jehovah doth certainly deliver us, and this city is not given into the hand of the king of Asshur.
[YLT | EN | OT | 2 Kings | Chapter 18 | Verse 31] 'Do not hearken unto Hezekiah, for thus said the king of Asshur, Make with me a blessing, and come out unto me, and eat ye each of his vine, and each of his fig-tree, and drink ye each the waters of his own well,
[YLT | EN | OT | 2 Kings | Chapter 18 | Verse 32] till my coming in, and I have taken you unto a land like your own land, a land of corn and new wine, a land of bread and vineyards, a land of oil olive, and honey, and live, and die not; and do not hearken unto Hezekiah, when he persuadeth you, saying, Jehovah doth deliver us.
[YLT | EN | OT | 2 Kings | Chapter 18 | Verse 33] 'Have the gods of the nations delivered at all each his land out of the hand of the king of Asshur?
[YLT | EN | OT | 2 Kings | Chapter 18 | Verse 34] Where [are] the gods of Hamath and Arpad? where the gods of Sepharvaim, Hena, and Ivvah, that they have delivered Samaria out of my hand?
[YLT | EN | OT | 2 Kings | Chapter 18 | Verse 35] Who [are they] among all the gods of the lands that have delivered their land out of my hand, that Jehovah doth deliver Jerusalem out of my hand?'
[YLT | EN | OT | 2 Kings | Chapter 18 | Verse 36] And the people have kept silent, and have not answered him a word, for the command of the king is, saying, 'Do not answer him.'
[YLT | EN | OT | 2 Kings | Chapter 18 | Verse 37] And Eliakim son of Hilkiah, who [is] over the house, cometh in, and Shebna the scribe, and Joah son of Asaph the remembrancer, unto Hezekiah, with rent garments, and they declare to him the words of the chief of the butlers.
