[GNV | EN | OT | Daniel | Chapter 11 | Verse 1] Also I, in ye first yere of Darius of ye Medes, euen I stood to incourage and to strengthen him.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 21] And in his place shall stand vp a vile person, to whom they shall not giue the honour of the kingdome: but he shall come in peaceably, and obteine the kingdome by flatteries.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 22] And the armes shall be ouerthrowen with a flood before him, and shall be broken: and also the prince of the couenant.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 23] And after the league made with him, he shall worke deceitfully: for he shall come vp, and ouercome with a small people.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 24] He shall enter into the quiet and plentifull prouince, and he shall doe that which his fathers haue not done, nor his fathers fathers: he shall deuide among them the pray and the spoyle, and the substance, yea, and he shall forecast his deuises against the strong holdes, euen for a time.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 25] Also he shall stirre vp his power and his courage against the King of the South with a great armie, and the King of the South shall be stirred vp to battell with a very great and mightie armie: but he shall not stand: for they shall forecast and practise against him.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 26] Yea, they that feede of the portion of his meate, shall destroy him: and his armie shall ouerflowe: and many shall fall, and be slaine.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 27] And both these Kings hearts shall be to do mischiefe, and they shall talke of deceite at one table: but it shall not auaile: for yet the ende shall be at the time appointed.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 28] Then shall he returne into his land with great substance: for his heart shall be against the holy couenant: so shall he doe and returne to his owne land.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 29] At the time appointed he shall returne, and come toward the South: but the last shall not be as the first.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 30] For the shippes of Chittim shall come against him: therefore he shalbe sorie and returne, and freat against the holy couenant: so shall he doe, he shall euen returne and haue intelligence with them that forsake the holy couenant.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 31] And armes shall stand on his part, and they shall pollute the Sanctuarie of strength, and shall take away the dayly sacrifice, and they shall set vp the abominable desolation.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 32] And such as wickedly breake ye couenant, shall he cause to sinne by flatterie: but the people that do know their God, shall preuaile and prosper.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 33] And they that vnderstand among the people, shall instruct many: yet they shall fall by sword, and by flame, by captiuitie and by spoile many dayes.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 34] Nowe when they shall fall, they shall be holpen with a litle helpe: but many shall cleaue vnto them fainedly.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 35] And some of the of vnderstanding shall fall to trie them, and to purge, and to make them white, till the time be out: for there is a time appointed.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 36] And the King shall doe what him list: he shall exalt himselfe, and magnifie himselfe against all, that is God, and shall speake marueilous things against ye God of gods, and shall prosper, till ye wrath be accomplished: for ye determination is made.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 37] Neither shall he regard the God of his fathers, nor the desires of women, nor care for any God: for he shall magnifie himselfe aboue all.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 38] But in his place shall he honour the god Mauzzim, and the god whom his fathers knewe not, shall he honour with golde and with siluer, and with precious stones, and pleasant things.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 39] Thus shall he do in the holdes of Mauzzim with a strange god whom he shall acknowledge: he shall increase his glory, and shall cause them to rule ouer many and shall deuide ye land for gaine.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 40] And at ye end of time shall the King of the South push at him, and the king of the North shall come against him like a whirlewind with charets, and with horsemen, and with many ships, and he shall enter into ye countreis, and shall ouerflow and passe through.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 41] He shall enter also into the pleasant land, and many countreis shalbe ouerthrowen: but these shall escape out of his hand, euen Edom and Moab, and the chiefe of the children of Ammon.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 42] He shall stretch foorth his hands also vpon the countreis, and ye land of Egypt shall not escape.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 43] But he shall haue power ouer the treasures of golde and of siluer, and ouer all the precious things of Egypt, and of the Lybians, and of the blacke Mores where he shall passe.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 44] But the tidings out of the East and the North shall trouble him: therefore he shall goe foorth with great wrath to destroy and roote out many.
[GNV | EN | OT | Daniel | Chapter 11 | Verse 45] And he shall plant the tabernacles of his palace betweene the seas in the glorious and holy mountaine, yet he shall come to his end, and none shall helpe him.
