[LXX | EL | OT | Judith | Chapter 6 | Verse 1] Καὶ ὡς κατέπαυσεν ὁ θόρυβος τῶν ἀνδρῶν τῶν κύκλῳ τῆς συνεδρείας, καὶ εἶπεν Ὀλοφέρνης ὁ ἀρχιστράτηγος δυνάμεως Ἀσσοὺρ πρὸς Ἀχιὼρ ἐναντίον παντὸς τοῦ δήμου ἀλλοφύλων, καὶ πρὸς πάντας υἱοὺς Μωὰβ,
[LXX | EL | OT | Judith | Chapter 6 | Verse 12] Καὶ ὡς εἶδαν αὐτοὺς οἱ ἄνδρες τῆς πόλεως ἐπὶ τὴν κορυφὴν τοῦ ὄρους, ἀνέλαβον τὰ ὅπλα αὐτῶν, καὶ ἀπῆλθον ἔξω τῆς πόλεως ἐπὶ τὴν κορυφὴν τοῦ ὄρους· καὶ πᾶς ἀνὴρ σφενδονητὴς διεκράτησαν τὴν ἀνάβασιν αὐτῶν, καὶ ἔβαλον ἐν λίθοις ἐπʼ αὐτούς.
[LXX | EL | OT | Judith | Chapter 6 | Verse 13] Καὶ ὑποδύσαντες ὑποκάτω τοῦ ὄρους, ἔδησαν τὸν Ἀχιὼρ, καὶ ἀφῆκαν ἐῤῥιμμένον ὑπὸ τὴν ῥίζαν τοῦ ὄρους, καὶ ἀπῴχοντο πρὸς τὸν κύριον αὐτῶν.
[LXX | EL | OT | Judith | Chapter 6 | Verse 14] Καταβάντες δὲ υἱοὶ Ἰσραὴλ ἐκ τῆς πόλεως αὐτῶν ἐπέστησαν αὐτῷ, καὶ λύσαντες αὐτὸν ἀπήγαγον εἰς τὴν Βετυλούα, καὶ κατέστησαν αὐτὸν ἐπὶ τοὺς ἄρχοντας τῆς πόλεως αὐτῶν,
[LXX | EL | OT | Judith | Chapter 6 | Verse 15] οἳ ἦσαν ἐν ταῖς ἡμέραις ἐκείναις, Ὀζίας ὁ τοῦ Μιχὰ ἐκ τῆς φυλῆς Συμεὼν, καὶ Ἀβρὶς ὁ τοῦ Γοθονιὴλ, καὶ Χαρμὶς υἱὸς Μελχιήλ.
[LXX | EL | OT | Judith | Chapter 6 | Verse 16] Καὶ συνεκάλεσαν πάντας τοὺς πρεσβυτέρους τῆς πόλεως· καὶ συνέδραμον πᾶς νεανίσκος αὐτῶν καὶ αἱ γυναῖκες εἰς τὴν ἐκκλησίαν· καὶ ἔστησαν τὸν Ἀχιὼρ ἐν μέσῳ παντὸς τοῦ λαοῦ αὐτῶν· καὶ ἐπηρώτησεν αὐτὸν Ὀζίας τὸ συμβεβηκός.
[LXX | EL | OT | Judith | Chapter 6 | Verse 17] Καὶ ἀποκριθεὶς ἀπήγγειλεν αὐτοῖς τὰ ῥήματα τῆς συνεδρίας Ὀλοφέρνου, καὶ πάντα τὰ ῥήματα ὅσα ἐλάλησεν ἐν μέσῳ τῶν ἀρχόντων υἱῶν Ἀσσούρ, καὶ ὅσα ἐμεγαλοῤῥημόνησεν Ὀλοφέρνης εἰς τὸν οἶκον Ἰσραήλ.
[LXX | EL | OT | Judith | Chapter 6 | Verse 18] Καὶ πεσόντες ὁ λαὸς προσεκύνησαν τῷ Θεῷ, καὶ ἐβόησαν λέγοντες,
[LXX | EL | OT | Judith | Chapter 6 | Verse 19] κύριε ὁ Θεὸς τοῦ οὐρανοῦ, κάτιδε ἐπὶ τὰς ὑπερηφανείας αὐτῶν, καὶ ἐλέησον τὴν ταπείνωσιν τοῦ γένους ἡμῶν, καὶ ἐπίβλεψον ἐπὶ τὸ πρόσωπον τῶν ἡγιασμένων σοι ἐν τῇ ἡμέρᾳ ταύτῃ.
[LXX | EL | OT | Judith | Chapter 6 | Verse 20] Καὶ παρεκάλεσαν τὸν Ἀχιὼρ, καὶ ἐπῄνεσαν αὐτὸν σφόδρα.
[LXX | EL | OT | Judith | Chapter 6 | Verse 21] Καὶ παρέλαβεν αὐτὸν Ὀζίας ἐκ τῆς ἐκκλησίας εἰς οἶκον αὐτοῦ, καὶ ἐποίησε πότον τοῖς πρεσβυτέροις· καὶ ἐπεκαλέσαντο τὸν Θεὸν Ἰσραὴλ εἰς βοήθειαν ὅλην τὴν νύκτα ἐκείνην.
