[IRV | PA | OT | Exodus | Chapter 20 | Verse 1] ਫਿਰ ਪਰਮੇਸ਼ੁਰ ਇਹ ਸਾਰੀਆਂ ਗੱਲਾਂ ਬੋਲਿਆ ਕਿ
[IRV | PA | OT | Exodus | Chapter 20 | Verse 12] ਤੂੰ ਆਪਣੇ ਪਿਤਾ ਅਤੇ ਆਪਣੀ ਮਾਤਾ ਦਾ ਆਦਰ ਕਰ ਤਾਂ ਜੋ ਉਸ ਦੇਸ਼ ਵਿੱਚ ਜਿਹੜਾ ਯਹੋਵਾਹ ਤੇਰਾ ਪਰਮੇਸ਼ੁਰ ਤੈਨੂੰ ਦਿੰਦਾ ਹੈ, ਤੇਰੀ ਉਮਰ ਲੰਮੀ ਹੋਵੇ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 13] ਤੂੰ ਖ਼ੂਨ ਨਾ ਕਰ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 14] ਤੂੰ ਵਿਭਚਾਰ ਨਾ ਕਰ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 15] ਤੂੰ ਚੋਰੀ ਨਾ ਕਰ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 16] ਤੂੰ ਆਪਣੇ ਗੁਆਂਢੀ ਦੇ ਵਿਰੁੱਧ ਝੂਠੀ ਗਵਾਹੀ ਨਾ ਦੇ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 17] ਤੂੰ ਆਪਣੇ ਗੁਆਂਢੀ ਦੇ ਘਰ ਦਾ ਲਾਲਚ ਨਾ ਕਰ। ਤੂੰ ਆਪਣੇ ਗੁਆਂਢੀ ਦੀ ਪਤਨੀ ਦੀ ਲਾਲਸਾ ਨਾ ਕਰ, ਨਾ ਉਹ ਦੇ ਦਾਸ ਦੀ, ਨਾ ਉਹ ਦੀ ਦਾਸੀ ਦੀ, ਨਾ ਉਹ ਦੇ ਬਲ਼ਦ ਦੀ, ਨਾ ਉਹ ਦੇ ਗਧੇ ਦੀ, ਨਾ ਕਿਸੇ ਚੀਜ਼ ਦੀ ਜਿਹੜੀ ਤੇਰੇ ਗੁਆਂਢੀ ਦੀ ਹੈ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 18] ਸਾਰੀ ਪਰਜਾ ਗੱਜਾਂ, ਲਸ਼ਕਾਂ ਅਤੇ ਤੁਰ੍ਹੀ ਦੀ ਅਵਾਜ਼ ਅਤੇ ਪਰਬਤ ਤੋਂ ਧੂੰਆਂ ਵੇਖ ਰਹੀ ਸੀ ਅਤੇ ਜਦ ਪਰਜਾ ਨੇ ਵੇਖਿਆ ਤਾਂ ਕੰਬ ਉੱਠੀ ਅਤੇ ਦੂਰ ਜਾ ਖੜੀ ਹੋਈ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 19] ਉਨ੍ਹਾਂ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ, ਤੂੰ ਸਾਡੇ ਨਾਲ ਗੱਲਾਂ ਕਰ ਤਾਂ ਅਸੀਂ ਸੁਣਾਂਗੇ। ਪਰ ਪਰਮੇਸ਼ੁਰ ਸਾਡੇ ਨਾਲ ਗੱਲਾਂ ਨਾ ਕਰੇ ਕਿ ਅਸੀਂ ਕਿਤੇ ਮਰ ਨਾ ਜਾਈਏ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 20] ਤਦ ਮੂਸਾ ਨੇ ਪਰਜਾ ਨੂੰ ਆਖਿਆ, ਨਾ ਡਰੋ ਕਿਉਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਇਸ ਲਈ ਆਇਆ ਹੈ ਕਿ ਤੁਹਾਨੂੰ ਪਰਤਾਵੇ ਅਤੇ ਉਸ ਦਾ ਭੈਅ ਤੁਹਾਡੇ ਅੱਗੇ ਰਹੇ ਤਾਂ ਜੋ ਤੁਸੀਂ ਪਾਪ ਨਾ ਕਰੋ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 21] ਤਾਂ ਪਰਜਾ ਦੂਰ ਖੜੀ ਰਹੀ ਪਰ ਮੂਸਾ ਉਸ ਘੁੱਪ ਹਨੇਰ ਦੇ ਕੋਲ ਢੁੱਕਾ ਜਿੱਥੇ ਪਰਮੇਸ਼ੁਰ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 22] ਫੇਰ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ, ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਇਸ ਤਰ੍ਹਾਂ ਫ਼ਰਮਾ, ਤੁਸੀਂ ਵੇਖਿਆ ਕਿ ਮੈਂ ਤੁਹਾਡੇ ਨਾਲ ਅਕਾਸ਼ ਤੋਂ ਬੋਲਿਆ ਹਾਂ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 23] ਤੁਸੀਂ ਮੇਰੇ ਸ਼ਰੀਕ ਨਾ ਬਣਾਓ, ਨਾ ਚਾਂਦੀ ਦੇ ਦੇਵਤੇ, ਨਾ ਸੋਨੇ ਦੇ ਦੇਵਤੇ ਆਪਣੇ ਲਈ ਬਣਾਓ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 24] ਤੁਸੀਂ ਮੇਰੇ ਲਈ ਮਿੱਟੀ ਦੀ ਇੱਕ ਜਗਵੇਦੀ ਬਣਾਓ ਅਤੇ ਉਸ ਉੱਤੇ ਆਪਣੀਆਂ ਹੋਮ ਦੀਆਂ ਬਲੀਆਂ ਅਤੇ ਆਪਣੀਆਂ ਸੁੱਖ-ਸਾਂਦ ਦੀਆਂ ਬਲੀਆਂ ਅਰਥਾਤ ਆਪਣੀਆਂ ਭੇਡਾਂ ਅਤੇ ਆਪਣੇ ਬਲ਼ਦ ਚੜ੍ਹਾਓ ਅਤੇ ਹਰ ਸਥਾਨ ਉੱਤੇ ਜਿੱਥੇ ਮੈਂ ਆਪਣਾ ਨਾਮ ਚੇਤੇ ਕਰਾਉਂਦਾ ਹਾਂ ਮੈਂ ਤੁਹਾਡੇ ਕੋਲ ਆਵਾਂਗਾ ਅਤੇ ਤੁਹਾਨੂੰ ਬਰਕਤ ਦੇਵਾਂਗਾ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 25] ਜੇ ਤੁਸੀਂ ਮੇਰੇ ਲਈ ਪੱਥਰਾਂ ਦੀ ਜਗਵੇਦੀ ਬਣਾਵੋ ਤਾਂ ਉਹ ਨੂੰ ਘੜਿਆਂ ਹੋਇਆਂ ਪੱਥਰਾਂ ਨਾਲ ਨਾ ਬਣਾਓ। ਜੇ ਤੁਸੀਂ ਆਪਣੀ ਤੇਸੀ ਉਨ੍ਹਾਂ ਉੱਤੇ ਚੁੱਕੀ ਤਾਂ ਤੁਸੀਂ ਉਸ ਨੂੰ ਭਰਿਸ਼ਟ ਕੀਤਾ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 26] ਤੁਸੀਂ ਮੇਰੀ ਜਗਵੇਦੀ ਉੱਤੇ ਪੌੜੀਆਂ ਨਾਲ ਨਾ ਚੜ੍ਹੋ ਕਿ ਕਿਤੇ ਤੁਹਾਡਾ ਨੰਗੇਜ਼ ਉਸ ਉੱਤੇ ਖੁੱਲ੍ਹ ਨਾ ਜਾਵੇ।
