[IRV | PA | OT | Exodus | Chapter 2 | Verse 1] ਲੇਵੀ ਦੇ ਘਰਾਣੇ ਦੇ ਇੱਕ ਮਨੁੱਖ ਨੇ ਲੇਵੀ ਦੀ ਧੀ ਨਾਲ ਵਿਆਹ ਕਰ ਲਿਆ
[IRV | PA | OT | Exodus | Chapter 2 | Verse 12] ਉਸ ਨੇ ਇੱਧਰ-ਉੱਧਰ ਵੇਖਿਆ ਅਤੇ ਜਦ ਵੇਖਿਆ ਕਿ ਕੋਈ ਨਹੀਂ ਹੈ ਤਦ ਉਸ ਨੇ ਉਸ ਮਿਸਰੀ ਨੂੰ ਮਾਰ ਦਿੱਤਾ ਅਤੇ ਉਸ ਨੂੰ ਰੇਤ ਵਿੱਚ ਲੁਕਾ ਦਿੱਤਾ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 13] ਜਦ ਮੂਸਾ ਦੂਜੇ ਦਿਨ ਬਾਹਰ ਗਿਆ ਤਾਂ ਵੇਖੋ, ਦੋ ਇਬਰਾਨੀ ਆਪਸ ਵਿੱਚ ਲੜ ਰਹੇ ਸਨ, ਉਸ ਨੇ ਦੋਸ਼ੀ ਨੂੰ ਆਖਿਆ, ਤੂੰ ਆਪਣੇ ਸਾਥੀ ਨੂੰ ਕਿਉਂ ਮਾਰਦਾ ਹੈਂ?
[IRV | PA | OT | Exodus | Chapter 2 | Verse 14] ਤਦ ਉਸ ਨੇ ਆਖਿਆ, ਤੈਨੂੰ ਕਿਸ ਨੇ ਸਾਡੇ ਉੱਤੇ ਸਰਦਾਰ ਅਤੇ ਨਿਆਈਂ ਬਣਾ ਦਿੱਤਾ? ਕੀ ਤੂੰ ਇਹ ਸੋਚਦਾ ਹੈਂ ਕਿ ਜਿਵੇਂ ਤੂੰ ਉਸ ਮਿਸਰੀ ਨੂੰ ਮਾਰ ਸੁੱਟਿਆ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਮੈਨੂੰ ਵੀ ਮਾਰ ਸੁੱਟੇਂਗਾ? ਤਦ ਮੂਸਾ ਡਰ ਗਿਆ ਅਤੇ ਉਸ ਨੇ ਆਖਿਆ, ਇਹ ਗੱਲ ਜ਼ਰੂਰ ਖੁੱਲ੍ਹ ਗਈ ਹੈ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 15] ਜਦ ਫ਼ਿਰਊਨ ਨੇ ਇਹ ਗੱਲ ਸੁਣੀ ਤਦ ਮੂਸਾ ਨੂੰ ਜਾਨ ਤੋਂ ਮਾਰਨ ਦੀ ਕੋਸ਼ਿਸ਼ ਕੀਤੀ ਪਰ ਮੂਸਾ ਫ਼ਿਰਊਨ ਦੇ ਅੱਗੋਂ ਭੱਜ ਕੇ ਮਿਦਯਾਨ ਦੇ ਦੇਸ ਵਿੱਚ ਰਹਿਣ ਲੱਗਾ ਅਤੇ ਇੱਕ ਖੂਹ ਦੇ ਕੋਲ ਬੈਠ ਗਿਆ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 16] ਮਿਦਯਾਨ ਦੇ ਜਾਜਕ ਦੀਆਂ ਸੱਤ ਧੀਆਂ ਸਨ। ਉਨ੍ਹਾਂ ਨੇ ਆ ਕੇ ਪਾਣੀ ਕੱਢਿਆ ਅਤੇ ਆਪਣੇ ਪਿਤਾ ਦੇ ਇੱਜੜ ਨੂੰ ਪਿਲਾਉਣ ਲਈ ਚੁਬੱਚਿਆਂ ਨੂੰ ਭਰ ਲਿਆ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 17] ਅਯਾਲੀਆਂ ਨੇ ਆਣ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਧੱਕੇ ਨਾਲ ਪਰ੍ਹੇ ਹਟਾ ਦਿੱਤਾ, ਪਰ ਮੂਸਾ ਨੇ ਉੱਠ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਬਚਾਇਆ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਇੱਜੜ ਨੂੰ ਪਾਣੀ ਪਿਲਾਇਆ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 18] ਜਦ ਉਹ ਆਪਣੇ ਪਿਤਾ ਰਊਏਲ ਕੋਲ ਆਈਆਂ ਤਦ ਉਸ ਨੇ ਪੁੱਛਿਆ, ਤੁਸੀਂ ਅੱਜ ਕਿਵੇਂ ਛੇਤੀ ਮੁੜ ਆਈਆਂ ਹੋ?
[IRV | PA | OT | Exodus | Chapter 2 | Verse 19] ਉਨ੍ਹਾਂ ਨੇ ਆਖਿਆ, ਇੱਕ ਮਿਸਰੀ ਨੇ ਸਾਨੂੰ ਅਯਾਲੀਆਂ ਦੇ ਹੱਥੋਂ ਛੁਡਾਇਆ ਅਤੇ ਸਾਡੇ ਲਈ ਪਾਣੀ ਕੱਢ-ਕੱਢ ਕੇ ਇੱਜੜ ਨੂੰ ਪਿਲਾਇਆ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 20] ਤਦ ਉਸ ਨੇ ਆਪਣੀਆਂ ਧੀਆਂ ਨੂੰ ਆਖਿਆ, ਉਹ ਮਨੁੱਖ ਕਿੱਥੇ ਹੈ? ਤੁਸੀਂ ਉਸ ਨੂੰ ਕਿਉਂ ਛੱਡ ਆਈਆਂ ਹੋ? ਉਸ ਨੂੰ ਬੁਲਾਓ ਤਾਂ ਜੋ ਉਹ ਰੋਟੀ ਖਾਵੇ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 21] ਤਦ ਮੂਸਾ ਉਸ ਮਨੁੱਖ ਕੋਲ ਰਹਿਣ ਲਈ ਮੰਨ ਗਿਆ ਅਤੇ ਉਸ ਨੇ ਆਪਣੀ ਧੀ ਸਿੱਪੋਰਾਹ ਮੂਸਾ ਨਾਲ ਵਿਆਹ ਦਿੱਤੀ
[IRV | PA | OT | Exodus | Chapter 2 | Verse 22] ਉਸ ਨੇ ਪੁੱਤਰ ਨੂੰ ਜਨਮ ਦਿੱਤਾ ਅਤੇ ਉਸ ਨੇ ਉਸ ਦਾ ਨਾਮ ਗੇਰਸ਼ੋਮ ਰੱਖਿਆ ਕਿਉਂ ਜੋ ਉਸ ਨੇ ਆਖਿਆ, “ਮੈਂ ਪਰਦੇਸ ਵਿੱਚ ਪਰਦੇਸੀ ਹੋਇਆ ਹਾਂ।”
[IRV | PA | OT | Exodus | Chapter 2 | Verse 23] ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਬਹੁਤ ਦਿਨਾਂ ਬਾਅਦ ਮਿਸਰ ਦਾ ਰਾਜਾ ਮਰ ਗਿਆ, ਇਸਰਾਏਲੀਆਂ ਨੇ ਗ਼ੁਲਾਮੀ ਦੇ ਕਾਰਨ ਹਾਉਂਕੇ ਲਏ ਅਤੇ ਧਾਹਾਂ ਮਾਰ-ਮਾਰ ਕੇ ਰੋਏ ਅਤੇ ਇਨ੍ਹਾਂ ਦੀ ਦੁਹਾਈ ਜੋ ਗ਼ੁਲਾਮੀ ਦੇ ਕਾਰਨ ਸੀ, ਪਰਮੇਸ਼ੁਰ ਤੱਕ ਪਹੁੰਚੀ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 24] ਤਦ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਨ੍ਹਾਂ ਦੇ ਹਾਉਂਕਿਆਂ ਨੂੰ ਸੁਣਿਆ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਪਣੇ ਨੇਮ ਨੂੰ ਜਿਹੜਾ ਅਬਰਾਹਾਮ, ਇਸਹਾਕ ਅਤੇ ਯਾਕੂਬ ਦੇ ਨਾਲ ਸੀ, ਯਾਦ ਕੀਤਾ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 25] ਤਦ ਪਰਮੇਸ਼ੁਰ ਨੇ ਇਸਰਾਏਲੀਆਂ ਵੱਲ ਨਿਗਾਹ ਕੀਤੀ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਨ੍ਹਾਂ ਦੀ ਖ਼ਬਰ ਲਈ।
