[IRV | PA | OT | Exodus | Chapter 25 | Verse 1] ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨਾਲ ਗੱਲ ਕੀਤੀ ਕਿ
[IRV | PA | OT | Exodus | Chapter 25 | Verse 20] ਅਤੇ ਉਹ ਕਰੂਬੀ ਆਪਣੇ ਦੋਵੇਂ ਖੰਭ ਉਤਾਹਾਂ ਨੂੰ ਖਿਲਾਰੇ ਹੋਣ ਅਤੇ ਉਹ ਆਪਣੇ ਖੰਭਾਂ ਨਾਲ ਪ੍ਰਾਸਚਿਤ ਦੇ ਸਰਪੋਸ਼ ਨੂੰ ਢੱਕਦੇ ਹੋਣ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਮੂੰਹ ਆਹਮੋ-ਸਾਹਮਣੇ ਹੋਣ ਅਤੇ ਕਰੂਬੀਆਂ ਦੇ ਮੂੰਹ ਪ੍ਰਾਸਚਿਤ ਦੇ ਸਰਪੋਸ਼ ਵੱਲ ਹੋਣ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 21] ਅਤੇ ਤੂੰ ਪ੍ਰਾਸਚਿਤ ਨੂੰ ਉਤਾਂਹ ਸੰਦੂਕ ਦੇ ਉੱਤੇ ਰੱਖੀਂ ਅਤੇ ਤੂੰ ਉਸ ਸਾਖੀ ਨੂੰ ਜਿਹੜੀ ਮੈਂ ਤੈਨੂੰ ਦਿਆਂਗਾ ਸੰਦੂਕ ਵਿੱਚ ਰੱਖੀਂ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 22] ਤਦ ਮੈਂ ਤੈਨੂੰ ਉੱਥੇ ਮਿਲਾਂਗਾ ਅਤੇ ਤੇਰੇ ਨਾਲ ਪ੍ਰਾਸਚਿਤ ਦੇ ਸਰਪੋਸ਼ ਦੇ ਉੱਤੋਂ ਦੋਹਾਂ ਕਰੂਬੀਆਂ ਦੇ ਵਿੱਚੋਂ ਦੀ ਜਿਹੜੇ ਸਾਖੀ ਦੇ ਸੰਦੂਕ ਦੇ ਉੱਤੇ ਹਨ ਮੈਂ ਉਹ ਗੱਲਾਂ ਕਰਾਂਗਾ ਜਿਨ੍ਹਾਂ ਦਾ ਤੈਨੂੰ ਇਸਰਾਏਲੀਆਂ ਲਈ ਹੁਕਮ ਦਿਆਂਗਾ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 23] ਤੂੰ ਸ਼ਿੱਟੀਮ ਦੀ ਲੱਕੜੀ ਦਾ ਇੱਕ ਮੇਜ਼ ਬਣਾਈਂ। ਉਸ ਦੀ ਲੰਬਾਈ ਦੋ ਹੱਥ ਅਤੇ ਉਸ ਦੀ ਚੌੜਾਈ ਇੱਕ ਹੱਥ ਅਤੇ ਉਸ ਦੀ ਉਚਾਈ ਡੇਢ ਹੱਥ ਹੋਵੇ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 24] ਤੂੰ ਉਸ ਨੂੰ ਕੁੰਦਨ ਸੋਨੇ ਨਾਲ ਮੜ੍ਹੀਂ ਅਤੇ ਉਸ ਦੇ ਚੁਫ਼ੇਰੇ ਸੋਨੇ ਦੀ ਬਨੇਰੀ ਬਣਾਈਂ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 25] ਤੂੰ ਉਹ ਦੇ ਲਈ ਚੁਫ਼ੇਰੇ ਇੱਕ ਚੱਪਾ ਕਿਨਾਰੀ ਬਣਾਈਂ ਅਤੇ ਤੂੰ ਕਿਨਾਰੀ ਦੇ ਚੁਫ਼ੇਰੇ ਸੋਨੇ ਦੀ ਬਨੇਰੀ ਬਣਾਈਂ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 26] ਤੂੰ ਉਹ ਦੇ ਲਈ ਸੋਨੇ ਦੇ ਚਾਰ ਕੜੇ ਬਣਾਈਂ ਅਤੇ ਤੂੰ ਉਨ੍ਹਾਂ ਕੜਿਆਂ ਨੂੰ ਉਹ ਦੇ ਚੌਹਾਂ ਖੂੰਜਿਆਂ ਉੱਤੇ ਜਿਹੜੇ ਉਸ ਦੇ ਚੌਹਾਂ ਪਾਵਿਆਂ ਉੱਤੇ ਹਨ ਪਾਈਂ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 27] ਕਿਨਾਰੀ ਦੇ ਕੋਲ ਹੀ ਕੜੇ ਹੋਣ ਅਤੇ ਉਹ ਮੇਜ਼ ਚੁੱਕਣ ਨੂੰ ਚੋਬਾਂ ਦੇ ਲਈ ਥਾਂ ਹੋਣ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 28] ਤੂੰ ਉਹ ਚੋਬਾਂ ਸ਼ਿੱਟੀਮ ਦੀਆਂ ਲੱਕੜੀ ਦੀ ਬਣਾਈਂ। ਤੂੰ ਉਨ੍ਹਾਂ ਨੂੰ ਸੋਨੇ ਨਾਲ ਮੜ੍ਹੀਂ ਤਾਂ ਜੋ ਮੇਜ਼ ਉਨ੍ਹਾਂ ਨਾਲ ਚੁੱਕੀ ਜਾਵੇ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 29] ਨਾਲੇ ਤੂੰ ਉਸ ਦੀਆਂ ਥਾਲੀਆਂ, ਚਮਚੇ, ਉਸ ਦੇ ਗੜਵੇ ਅਤੇ ਡੋਲ੍ਹਣ ਦੇ ਕਟੋਰੇ ਬਣਾਈਂ ਉਹ ਕੁੰਦਨ ਸੋਨੇ ਦੇ ਬਣਾਈਂ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 30] ਤੂੰ ਮੇਜ਼ ਦੇ ਉੱਤੇ ਮੇਰੇ ਅੱਗੇ ਹਜ਼ੂਰੀ ਦੀ ਰੋਟੀ ਸਦਾ ਲਈ ਰੱਖਿਆ ਕਰੀਂ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 31] ਤੂੰ ਸ਼ਮਾਦਾਨ ਕੁੰਦਨ ਸੋਨੇ ਦਾ ਬਣਾਈਂ। ਉਹ ਸ਼ਮਾਦਾਨ ਘੜ੍ਹ ਕੇ ਬਣਾਇਆ ਜਾਵੇ। ਉਸ ਦਾ ਪਾਏਦਾਨ ਅਤੇ ਉਸ ਦਾ ਡੰਡਾ ਉਸ ਦੇ ਕਟੋਰੇ ਉਸ ਦੇ ਗੋਲੇ ਅਤੇ ਉਸ ਦੇ ਫੁੱਲ ਉਸ ਦੇ ਵਿੱਚੋਂ ਹੀ ਹੋਣ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 32] ਛੇ ਟਹਿਣੀਆਂ ਉਸ ਦੇ ਦੋਹਾਂ ਪਾਸਿਆਂ ਤੋਂ ਨਿੱਕਲਣ। ਸ਼ਮਾਦਾਨ ਦੇ ਇੱਕ ਪਾਸਿਓਂ ਤਿੰਨ ਟਹਿਣੀਆਂ ਅਤੇ ਸ਼ਮਾਦਾਨ ਦੇ ਦੂਜੇ ਪਾਸਿਓਂ ਤਿੰਨ ਟਹਿਣੀਆਂ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 33] ਇੱਕ ਟਹਿਣੀ ਉੱਤੇ ਤਿੰਨ ਕਟੋਰੇ ਬਦਾਮ ਦੇ ਫੁੱਲਾਂ ਵਰਗੇ ਅਤੇ ਇੱਕ ਗੋਲਾ ਅਤੇ ਇੱਕ ਫੁੱਲ ਅਤੇ ਦੂਜੀ ਟਹਿਣੀ ਉੱਤੇ ਤਿੰਨ ਕਟੋਰੇ ਬਦਾਮ ਦੇ ਫੁੱਲਾਂ ਵਰਗੇ ਅਤੇ ਇੱਕ ਗੋਲਾ ਅਤੇ ਇੱਕ ਫੁੱਲ ਅਤੇ ਇਸ ਤਰ੍ਹਾਂ ਹੀ ਛੇਆਂ ਟਹਿਣੀਆਂ ਲਈ ਜਿਹੜੀਆਂ ਸ਼ਮਾਦਾਨ ਤੋਂ ਨਿੱਕਲਦੀਆਂ ਹੋਣ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 34] ਅਤੇ ਸ਼ਮਾਦਾਨ ਵਿੱਚ ਚਾਰ ਕਟੋਰੇ ਬਦਾਮ ਦੇ ਫੁੱਲਾਂ ਵਰਗੇ ਅਤੇ ਉਹ ਦੇ ਗੋਲੇ ਅਤੇ ਉਹ ਦੇ ਫੁੱਲ
[IRV | PA | OT | Exodus | Chapter 25 | Verse 35] ਅਤੇ ਉਸੇ ਤੋਂ ਦੋਹਾਂ ਟਹਿਣੀਆਂ ਹੇਠ ਇੱਕ ਗੋਲਾ ਅਤੇ ਫੇਰ ਉਸੇ ਤੋਂ ਦੋਹਾਂ ਟਹਿਣੀਆਂ ਹੇਠ ਇੱਕ ਗੋਲਾ ਅਤੇ ਫੇਰ ਉਸੇ ਤੋਂ ਦੋਹਾਂ ਟਹਿਣੀਆਂ ਹੇਠ ਇੱਕ ਗੋਲਾ ਹੋਵੇ ਅਤੇ ਇਸ ਤਰ੍ਹਾਂ ਹੀ ਉਨ੍ਹਾਂ ਛੇਆਂ ਟਹਿਣੀਆਂ ਲਈ ਜਿਹੜੀਆਂ ਸ਼ਮਾਦਾਨ ਤੋਂ ਨਿੱਕਲਦੀਆਂ ਹਨ ਹੋਵੇ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 36] ਉਨ੍ਹਾਂ ਦੇ ਗੋਲੇ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀਆਂ ਟਹਿਣੀਆਂ ਉਸੇ ਤੋਂ ਹੋਣ ਅਰਥਾਤ ਇਹ ਸਾਰਾ ਘੜਿਆ ਹੋਇਆ ਕੁੰਦਨ ਸੋਨੇ ਦੇ ਇੱਕ ਟੁੱਕੜੇ ਤੋਂ ਹੋਵੇ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 37] ਤੂੰ ਉਸ ਦੇ ਸੱਤ ਦੀਵੇ ਬਣਾਈਂ ਅਤੇ ਜਦ ਉਹ ਦੇ ਦੀਵੇ ਬਾਲੇ ਜਾਣ ਤਾਂ ਉਹ ਆਹਮੋ-ਸਾਹਮਣੇ ਚਾਨਣ ਦੇਣ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 38] ਉਸ ਦੇ ਗੁਲਤਰਾਸ਼ ਅਤੇ ਉਸ ਦੇ ਗੁਲਦਾਨ ਕੁੰਦਨ ਸੋਨੇ ਦੇ ਹੋਣ
[IRV | PA | OT | Exodus | Chapter 25 | Verse 39] ਅਤੇ ਕੁੰਦਨ ਸੋਨੇ ਦੇ ਇੱਕ ਮਣ ਦੇ ਲੱਗਭੱਗ ਤੋਂ ਇਹ ਅਤੇ ਇਹ ਸਾਰੇ ਭਾਂਡੇ ਬਣਾਏ ਜਾਣ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 40] ਸੋ ਵੇਖ ਤੂੰ ਉਨ੍ਹਾਂ ਨੂੰ ਉਸੇ ਨਮੂਨੇ ਦੇ ਬਣਾਈਂ ਜਿਹੜਾ ਤੈਨੂੰ ਪਰਬਤ ਉੱਤੇ ਵਿਖਾਇਆ ਗਿਆ ਹੈ।
