[ERV | EN | NT | Acts | Chapter 10 | Verse 1] Now there was a certain man in Caesarea, Cornelius by name, a centurion of the band called the Italian band,
[ERV | EN | NT | Acts | Chapter 10 | Verse 23] So he called them in and lodged them. And on the morrow he arose and went forth with them, and certain of the brethren from Joppa accompanied him.
[ERV | EN | NT | Acts | Chapter 10 | Verse 24] And on the morrow they entered into Caesarea. And Cornelius was waiting for them, having called together his kinsmen and his near friends.
[ERV | EN | NT | Acts | Chapter 10 | Verse 25] And when it came to pass that Peter entered, Cornelius met him, and fell down at his feet, and worshipped him.
[ERV | EN | NT | Acts | Chapter 10 | Verse 26] But Peter raised him up, saying, Stand up; I myself also am a man.
[ERV | EN | NT | Acts | Chapter 10 | Verse 27] And as he talked with him, he went in, and findeth many come together:
[ERV | EN | NT | Acts | Chapter 10 | Verse 28] and he said unto them, Ye yourselves know how that it is an unlawful thing for a man that is a Jew to join himself or come unto one of another nation; and yet unto me hath God shewed that I should not call any man common or unclean:
[ERV | EN | NT | Acts | Chapter 10 | Verse 29] wherefore also I came without gainsaying, when I was sent for. I ask therefore with what intent ye sent for me.
[ERV | EN | NT | Acts | Chapter 10 | Verse 30] And Cornelius said, Four days ago, until this hour, I was keeping the ninth hour of prayer in my house; and behold, a man stood before me in bright apparel,
[ERV | EN | NT | Acts | Chapter 10 | Verse 31] and saith, Cornelius, thy prayer is heard, and thine alms are had in remembrance in the sight of God.
[ERV | EN | NT | Acts | Chapter 10 | Verse 32] Send therefore to Joppa, and call unto thee Simon, who is surnamed Peter; he lodgeth in the house of Simon a tanner, by the sea side.
[ERV | EN | NT | Acts | Chapter 10 | Verse 33] Forthwith therefore I sent to thee; and thou hast well done that thou art come. Now therefore we are all here present in the sight of God, to hear all things that have been commanded thee of the Lord.
[ERV | EN | NT | Acts | Chapter 10 | Verse 34] And Peter opened his mouth, and said, Of a truth I perceive that God is no respecter of persons:
[ERV | EN | NT | Acts | Chapter 10 | Verse 35] but in every nation he that feareth him, and worketh righteousness, is acceptable to him.
[ERV | EN | NT | Acts | Chapter 10 | Verse 36] The word which he sent unto the children of Israel, preaching good tidings of peace by Jesus Christ ( he is Lord of all)—
[ERV | EN | NT | Acts | Chapter 10 | Verse 37] that saying ye yourselves know, which was published throughout all Judaea, beginning from Galilee, after the baptism which John preached;
[ERV | EN | NT | Acts | Chapter 10 | Verse 38] even Jesus of Nazareth, how that God anointed him with the Holy Ghost and with power: who went about doing good, and healing all that were oppressed of the devil; for God was with him.
[ERV | EN | NT | Acts | Chapter 10 | Verse 39] And we are witnesses of all things which he did both in the country of the Jews, and in Jerusalem; whom also they slew, hanging him on a tree.
[ERV | EN | NT | Acts | Chapter 10 | Verse 40] Him God raised up the third day, and gave him to be made manifest,
[ERV | EN | NT | Acts | Chapter 10 | Verse 41] not to all the people, but unto witnesses that were chosen before of God, even to us, who did eat and drink with him after he rose from the dead.
[ERV | EN | NT | Acts | Chapter 10 | Verse 42] And he charged us to preach unto the people, and to testify that this is he which is ordained of God to be the Judge of quick and dead.
[ERV | EN | NT | Acts | Chapter 10 | Verse 43] To him bear all the prophets witness, that through his name every one that believeth on him shall receive remission of sins.
[ERV | EN | NT | Acts | Chapter 10 | Verse 44] While Peter yet spake these words, the Holy Ghost fell on all them which heard the word.
[ERV | EN | NT | Acts | Chapter 10 | Verse 45] And they of the circumcision which believed were amazed, as many as came with Peter, because that on the Gentiles also was poured out the gift of the Holy Ghost.
[ERV | EN | NT | Acts | Chapter 10 | Verse 46] For they heard them speak with tongues, and magnify God. Then answered Peter,
[ERV | EN | NT | Acts | Chapter 10 | Verse 47] Can any man forbid the water, that these should not be baptized, which have received the Holy Ghost as well as we?
[ERV | EN | NT | Acts | Chapter 10 | Verse 48] And he commanded them to be baptized in the name of Jesus Christ. Then prayed they him to tarry certain days.
