[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 1] And Ben-hadad the king of Syria gathered all his host together; and there were thirty and two kings with him, and horses and chariots: and he went up and besieged Samaria, and fought against it.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 17] And the young men of the princes of the provinces went out first; and Ben-hadad sent out, and they told him, saying, There are men come out from Samaria.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 18] And he said, Whether they are come out for peace, take them alive; or whether they are come out for war, take them alive.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 19] So these went out of the city, the young men of the princes of the provinces, and the army which followed them.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 20] And they slew every one his man; and the Syrians fled, and Israel pursued them: and Ben-hadad the king of Syria escaped on a horse with horsemen.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 21] And the king of Israel went out, and smote the horses and chariots, and slew the Syrians with a great slaughter.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 22] And the prophet came near to the king of Israel, and said unto him, Go, strengthen thyself, and mark, and see what thou doest; for at the return of the year the king of Syria will come up against thee.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 23] And the servants of the king of Syria said unto him, Their god is a god of the hills; therefore they were stronger than we: but let us fight against them in the plain, and surely we shall be stronger than they.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 24] And do this thing: take the kings away, every man out of his place, and put captains in their room;
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 25] and number thee an army, like the army that thou hast lost, horse for horse, and chariot for chariot; and we will fight against them in the plain, and surely we shall be stronger than they. And he hearkened unto their voice, and did so.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 26] And it came to pass at the return of the year, that Ben-hadad mustered the Syrians, and went up to Aphek, to fight against Israel.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 27] And the children of Israel were mustered, and were victualed, and went against them: and the children of Israel encamped before them like two little flocks of kids; but the Syrians filled the country.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 28] And a man of God came near and spake unto the king of Israel, and said, Thus saith Jehovah, Because the Syrians have said, Jehovah is a god of the hills, but he is not a god of the valleys; therefore will I deliver all this great multitude into thy hand, and ye shall know that I am Jehovah.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 29] And they encamped one over against the other seven days. And so it was, that in the seventh day the battle was joined; and the children of Israel slew of the Syrians a hundred thousand footmen in one day.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 30] But the rest fled to Aphek, into the city; and the wall fell upon twenty and seven thousand men that were left. And Ben-hadad fled, and came into the city, into an inner chamber.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 31] And his servants said unto him, Behold now, we have heard that the kings of the house of Israel are merciful kings: let us, we pray thee, put sackcloth on our loins, and ropes upon our heads, and go out to the king of Israel: peradventure he will save thy life.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 32] So they girded sackcloth on their loins, and put ropes on their heads, and came to the king of Israel, and said, Thy servant Ben-hadad saith, I pray thee, let me live. And he said, Is he yet alive? he is my brother.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 33] Now the men observed diligently, and hasted to catch whether it were his mind; and they said, Thy brother Ben-hadad. Then he said, Go ye, bring him. Then Ben-hadad came forth to him; and he caused him to come up into the chariot.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 34] And Ben-hadad said unto him, The cities which my father took from thy father I will restore; and thou shalt make streets for thee in Damascus, as my father made in Samaria. And I, said Ahab, will let thee go with this covenant. So he made a covenant with him, and let him go.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 35] And a certain man of the sons of the prophets said unto his fellow by the word of Jehovah, Smite me, I pray thee. And the man refused to smite him.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 36] Then said he unto him, Because thou hast not obeyed the voice of Jehovah, behold, as soon as thou art departed from me, a lion shall slay thee. And as soon as he was departed from him, a lion found him, and slew him.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 37] Then he found another man, and said, Smite me, I pray thee. And the man smote him, smiting and wounding him.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 38] So the prophet departed, and waited for the king by the way, and disguised himself with his headband over his eyes.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 39] And as the king passed by, he cried unto the king; and he said, Thy servant went out into the midst of the battle; and, behold, a man turned aside, and brought a man unto me, and said, Keep this man: if by any means he be missing, then shall thy life be for his life, or else thou shalt pay a talent of silver.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 40] And as thy servant was busy here and there, he was gone. And the king of Israel said unto him, So shall thy judgment be; thyself hast decided it.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 41] And he hasted, and took the headband away from his eyes; and the king of Israel discerned him that he was of the prophets.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 42] And he said unto him, Thus saith Jehovah, Because thou hast let go out of thy hand the man whom I had devoted to destruction, therefore thy life shall go for his life, and thy people for his people.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 43] And the king of Israel went to his house heavy and displeased, and came to Samaria.
