[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 1] Then all Israel gathered themselves to David in Hebron, saying: We are thy bone, and thy flesh.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 25] And the first among the thirty, but yet to the three he attained not: and David made him of his council.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 26] Moreover the most valiant men of the army, were Asahel brother of Joab, and Elchanan the son of his uncle of Bethlehem,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 27] Sammoth an Arorite, Helles a Phalonite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 28] Ira the son of Acces a Thecuite, Abiezer an Anathothite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 29] Sobbochai a Husathite, Ilai an Ahohite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 30] Maharai a Netophathite, Heled the son of Baana a Netophathite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 31] Ethai the son of Ribai of Gabaath of the sons of Benjamin, Banal a Pharathonite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 32] Hurai of the torrent Gaas, Abiel an Arbathite, Azmoth a Bauramite, Eliaba a Salabonite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 33] The sons of Assem a, Gezonite, Jonathan the son of Sage an Ararite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 34] Ahiam the son of Sachar an Ararite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 35] Eliphal the son of Ur,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 36] Hepher a Mecherathite, Ahia a Phelonite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 37] Hesro a Carmelite, Naarai the son of Azbai,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 38] Joel the brother of Nathan, Mibahar the son of Agarai.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 39] Selec an Ammonite, Naharai a Berothite, the armourbearer of Joab the son of Sarvia.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 40] Ira a Jethrite, Gareb a Jethrite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 41] Urias a Hethite, Zabad the son of Oholi,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 42] Adina the son of Siza a Rubenite the prince of the Rubenites, and thirty with him:
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 43] Hanan the son of Maacha, and Josaphat a Mathanite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 44] Ozia an Astarothite, Samma, and Jehiel the sons of Hotham an Arorite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 45] Jedihel the son of Zamri, and Jobs his brother a Thosaite,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 46] Eliel a Mithumite, and Jeribai, and Josaia the sons of Elnaim, and Jethma a Moabite, Eliel, and Obed, and Jasiel of Masobia.
