[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] The sons of Levi were Gerson, Caath, and Merari.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 20] Of Gerson: Lobni his son, Jahath his son, Zamma his son,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 21] Joah his son, Addo his son, Zara his son, Jethrai his son.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 22] The sons of Caath, Aminadab his son, Core his son, Asir his son,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 23] Elcana his son, Abiasaph his son, Asir his son,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 24] Thahath his son, Uriel his son, Ozias his son, Saul his son.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 25] The sons of Elcana: Amasai, and Achimoth.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 26] And Elcana. The sons of Elcana: Sophai his son, Nahath his son,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 27] Eliab his son, Jeroham his son, Elcana his son.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 28] The sons of Samuel: the firstborn Vasseni, and Abia.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 29] And the sons of Merari, Moholi: Lobni his son, Semei his son, Oza his son,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 30] Sammaa his son, Haggia his son, Asaia his son.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 31] These are they, whom David set over the singing men of the house of the Lord, after that the ark was placed:
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 32] And they ministered before the tabernacle of the testimony, with singing, until Solomon built the house of the Lord in Jerusalem, and they stood according to their order in the ministry.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 33] And these are they that stood with their sons, of the sons of Caath, Hemam a singer, the son of Joel, the son of Sammuel,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 34] The son of Elcana, the son of Jeroham, the son of Eliel, the son of Thohu,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 35] The son of Suph, the son of Elcana, the son of Mahath, the son of Amasai,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 36] The son of Elcana, the son of Johel, the son of Azarias, the son of Sophonias,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 37] The son of Thahath, the son of Asir, the son or Abiasaph, the son of Core,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 38] The son of Isaar, the son of Caath, the son of Levi, the son of Israel.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 39] And his brother Asaph, who stood on his right hand, Asaph the son of Barachias, the son of Samaa.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 40] The son of Michael, the son of Basaia, the son of Melchia.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 41] The son of Athanai, the son of Zara, the son of Adaia.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 42] The son of Ethan, the son of Zamma, the son of Semei.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 43] The son of Jeth, the son of Gerson, the son of Levi.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 44] And the sons of Merari their brethren, on the left hand, Ethan the son of Cusi, the son of Abdi, the son of Meloch,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 45] The son of Hasabia, the son of Amasai, the son of Helcias,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 46] The son of Amasai, the son of Boni, the son of Somer,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 47] The son of Moholi, the son of Mud, the son of Merari, the son of Levi.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 48] Their brethren also the Levites, who were appointed for all the ministry of the tabernacle of the house of the Lord.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 49] But Aaron and his sons offered burnt offerings upon the altar of holocausts, and upon the altar of incense, for very work of the holy of holies: and to pray for Israel according to all that Moses the servant of God had commanded.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 50] And these are the sons of Aaron: Eleazar his son, Phinees his son, Abisue his son,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 51] Bocci his son, Ozi his son, Zarahia his son,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 52] Meraioth his son, Amarias his son, Achitob his son,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 53] Sadoc his son, Achimaas his son.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 54] And these are their dwelling places by the towns and confines, to wit, of the sons of Aaron, of the families of the Caathites: for they fell to them by lot.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 55] And they gave them Hebron in the land of Juda, and the suburbs thereof round about:
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 56] But the fields of the city, and the villages to Caleb son of Jephone.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 57] And to the sons of Aaron they gave the cities for refuge Hebron, and Lobna, and the suburbs thereof,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 58] And Jether and Esthemo, with their suburbs, and Helon, and Dabir with their suburbs:
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 59] Asan also, and Bethsames, with their suburbs.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 60] And out of the tribe of Benjamin: Gabee and its suburbs, Almath with its suburbs, Anathoth also with its suburbs: all their cities throughout their families were thirteen.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 61] And to the sons of Caath that remained of their kindred they gave out of the half tribe of Manasses ten cities in possession.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 62] And to the sons of Gerson by their families out of the tribe of Issachar, and out of the tribe of Aser, and out of the tribe of Nephtali, and out of the tribe of Manasses in Basan, thirteen cities.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 63] And to the sons of Merari by their families out of the tribe of Ruben, and out of the tribe of Gad, and out of the tribe of Zabulon, they gave by lot twelve cities.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 64] And the children of Israel gave to the Levites the cities, and their suburbs.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 65] And they gave them by lot, out of the tribe of the sons of Juda, and out of the tribe of the sons of Simeon, and out of the tribe of the sons of Benjamin, these cities which they called by their names.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 66] And to them that were of the kindred of the sons of Caath, and the cities in their borders were of the tribe of Ephraim.
