[IRV | ML | OT | Job | Chapter 30 | Verse 1] ഇപ്പോഴോ എന്നിലും പ്രായം കുറഞ്ഞവർ എന്നെ നോക്കി ചിരിക്കുന്നു; അവരുടെ അപ്പന്മാരെ എന്റെ ആട്ടിൻ കൂട്ടത്തിന്റെ നായ്ക്കളോടുകൂടെ ആക്കുവാൻ പോലും ഞാൻ നിരസിക്കുമായിരുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 20] ഞാൻ നിന്നോടു നിലവിളിക്കുന്നു; നീ ഉത്തരം അരുളുന്നില്ല; ഞാൻ എഴുന്നേറ്റുനില്ക്കുന്നു; നീ എന്നെ തുറിച്ചുനോക്കുന്നതേയുള്ളു.
[IRV | ML | OT | Job | Chapter 30 | Verse 21] നീ എന്റെ നേരെ ക്രൂരനായിത്തീർന്നിരിക്കുന്നു; നിന്റെ കയ്യുടെ ശക്തിയാൽ നീ എന്നെ പീഡിപ്പിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 22] നീ എന്നെ കാറ്റിൻ പുറത്തു കയറ്റി ഓടിക്കുന്നു; കൊടുങ്കാറ്റിൽ നീ എന്നെ ലയിപ്പിച്ചുകളയുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 23] മരണത്തിലേക്കും സകലജീവികളും ചെന്നു ചേരുന്ന വീട്ടിലേക്കും നീ എന്നെ കൊണ്ടുപോകുമെന്നു ഞാൻ അറിയുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 24] എങ്കിലും വീഴുമ്പോൾ കൈ നീട്ടുകയില്ലയോ? അപായത്തിൽ അതു നിമിത്തം നിലവിളിക്കയില്ലയോ?
[IRV | ML | OT | Job | Chapter 30 | Verse 25] കഷ്ടകാലം വന്നവന്നു വേണ്ടി ഞാൻ കരഞ്ഞിട്ടില്ലയോ? എളിയവന്നു വേണ്ടി എന്റെ മനസ്സു വ്യസനിച്ചിട്ടില്ലയോ?
[IRV | ML | OT | Job | Chapter 30 | Verse 26] ഞാൻ നന്മെക്കു നോക്കിയിരുന്നപ്പോൾ തിന്മ വന്നു. വെളിച്ചത്തിന്നായി കാത്തിരുന്നപ്പോൾ ഇരുട്ടു വന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 27] എന്റെ കുടൽ അമരാതെ തിളെക്കുന്നു; കഷ്ടകാലം എനിക്കു വന്നിരിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 28] ഞാൻ കറുത്തവനായി നടക്കുന്നു; വെയിൽ കൊണ്ടല്ലതാനും; ഞാൻ സഭയിൽ എഴുന്നേറ്റു നിലവിളിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 29] ഞാൻ കുറുക്കന്മാർക്കു സഹോദരനും ഒട്ടകപ്പക്ഷികൾക്കു കൂട്ടാളിയും ആയിരിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 30] എന്റെ ത്വക്ക് കറുത്തു പൊളിഞ്ഞുവീഴുന്നു; എന്റെ അസ്ഥി ഉഷ്ണംകൊണ്ടു കരിഞ്ഞിരിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 31] എന്റെ കിന്നരനാദം വിലാപമായും എന്റെ കുഴലൂത്തു കരച്ചലായും തീർന്നിരിക്കുന്നു.
