[IRV | ML | OT | Job | Chapter 29 | Verse 1] ഇയ്യോബ് പിന്നെയും സുഭാഷിതം ചൊല്ലിയതെന്തെന്നാൽ:
[IRV | ML | OT | Job | Chapter 29 | Verse 12] നിലവിളിച്ച എളിയവനെയും അനാഥനെയും തുണയറ്റവനെയും ഞാൻ വിടുവിച്ചു.
[IRV | ML | OT | Job | Chapter 29 | Verse 13] നശിക്കുമാറായവന്റെ അനുഗ്രഹം എന്റെ മേൽ വന്നു; വിധവയുടെ ഹൃദയത്തെ ഞാൻ സന്തോഷം കൊണ്ടു ആർക്കുമാറാക്കി.
[IRV | ML | OT | Job | Chapter 29 | Verse 14] ഞാൻ നീതിയെ ധരിച്ചു; അതു എന്റെ ഉടുപ്പായിരുന്നു; എന്റെ ന്യായം ഉത്തരീയവും തലപ്പാവും പോലെയായിരുന്നു.
[IRV | ML | OT | Job | Chapter 29 | Verse 15] ഞാൻ കുരുടന്നു കണ്ണും മുടന്തന്നു കാലും ആയിരുന്നു.
[IRV | ML | OT | Job | Chapter 29 | Verse 16] ദരിദ്രന്മാർക്കു ഞാൻ അപ്പനായിരുന്നു; ഞാൻ അറിയാത്തവന്റെ വ്യവഹാരം പരിശോധിച്ചു.
[IRV | ML | OT | Job | Chapter 29 | Verse 17] നീതികെട്ടവന്റെ അണപ്പല്ലു ഞാൻ തകർത്തു; അവന്റെ പല്ലിൻഇടയിൽനിന്നു ഇരയെ പറിച്ചെടുത്തു.
[IRV | ML | OT | Job | Chapter 29 | Verse 18] എന്റെ കൂട്ടിൽവെച്ചു ഞാൻ മരിക്കും; ഹോൽപക്ഷിയെപ്പോലെ ഞാൻ ദീർഘായുസ്സോടെ ഇരിക്കും.
[IRV | ML | OT | Job | Chapter 29 | Verse 19] എന്റെ വേർ വെള്ളത്തോളം പടർന്നുചെല്ലുന്നു; എന്റെ കൊമ്പിന്മേൽ മഞ്ഞു രാപാർക്കുന്നു.
[IRV | ML | OT | Job | Chapter 29 | Verse 20] എന്റെ മഹത്വം എന്നിൽ പച്ചയായിരിക്കുന്നു; എന്റെ വില്ലു എന്റെ കയ്യിൽ പുതുകുന്നു എന്നു ഞാൻ പറഞ്ഞു.
[IRV | ML | OT | Job | Chapter 29 | Verse 21] മനുഷ്യർ കാത്തിരുന്നു എന്റെ വാക്കു കേൾക്കും; എന്റെ ആലോചന കേൾപ്പാൻ മിണ്ടാതിരിക്കും.
[IRV | ML | OT | Job | Chapter 29 | Verse 22] ഞാൻ സംസാരിച്ചശേഷം അവർ മിണ്ടുകയില്ല; എന്റെ മൊഴി അവരുടെമേൽ ഇറ്റിറ്റു വീഴും.
[IRV | ML | OT | Job | Chapter 29 | Verse 23] മഴെക്കു എന്നപോലെ അവർ എനിക്കായി കാത്തിരിക്കും; പിന്മഴെക്കെന്നപോലെ അവർ വായ്പിളർക്കും.
[IRV | ML | OT | Job | Chapter 29 | Verse 24] അവർ നിരാശപ്പെട്ടിരിക്കുമ്പോൾ ഞാൻ അവരെ നോക്കി പുഞ്ചിരിയിടും; എന്റെ മുഖപ്രസാദം അവർ മങ്ങിക്കയുമില്ല.
[IRV | ML | OT | Job | Chapter 29 | Verse 25] ഞാൻ അവരുടെ വഴി തിരഞ്ഞെടുത്തു തലവനായിട്ടു ഇരിക്കും; സൈന്യസഹിതനായ രാജാവിനെപ്പോലെയും ദുഃഖിതന്മാരെ ആശ്വസിപ്പിക്കുന്നവനെപ്പോലെയും ഞാൻ വസിക്കും;
