[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 1] Ἀδελφοί, ἡ μὲν εὐδοκία τῆς ἐμῆς καρδίας καὶ ἡ δέησις ἡ πρὸς τὸν Θεὸν ὑπὲρ τοῦ Ἰσραήλ ἐστιν εἰς σωτηρίαν.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 12] Οὐ γάρ ἐστι διαστολὴ Ἰουδαίου τε καὶ Ἕλληνος· ὁ γὰρ αὐτὸς Κύριος πάντων, πλουτῶν εἰς πάντας τοὺς ἐπικαλουμένους αὐτόν.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 13] Πᾶς γὰρ ὃς ἂν ἐπικαλέσηται τὸ ὄνομα Κυρίου σωθήσεται.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 14] Πῶς οὖν ἐπικαλέσονται εἰς ὃν οὐκ ἐπίστευσαν; Πῶς δὲ πιστεύσουσιν οὗ οὐκ ἤκουσαν; Πῶς δὲ ἀκούσουσι χωρὶς κηρύσσοντος;
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 15] Πῶς δὲ κηρύξουσιν ἐὰν μὴ ἀποσταλῶσι; Καθὼς γέγραπται, Ὡς ὡραῖοι οἱ πόδες τῶν εὐαγγελιζομένων εἰρήνην, τῶν εὐαγγελιζομένων τὰ ἀγαθά.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 16] Ἀλλ᾿ οὐ πάντες ὑπήκουσαν τῷ εὐαγγελίῳ. Ἠσαΐας γὰρ λέγει, Κύριε, τίς ἐπίστευσε τῇ ἀκοῇ ἡμῶν;
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 17] Ἄρα ἡ πίστις ἐξ ἀκοῆς, ἡ δὲ ἀκοὴ διὰ ῥήματος Θεοῦ.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 18] Ἀλλὰ λέγω, μὴ οὐκ ἤκουσαν; Μενοῦνγε· Εἰς πᾶσαν τὴν γῆν ἐξῆλθεν ὁ φθόγγος αὐτῶν, καὶ εἰς τὰ πέρατα τῆς οἰκουμένης τὰ ῥήματα αὐτῶν.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 19] Ἀλλὰ λέγω, μὴ οὐκ ἔγνω Ἰσραήλ; Πρῶτος Μωσῆς λέγει, Ἐγὼ παραζηλώσω ὑμᾶς ἐπ᾿ οὐκ ἔθνει, ἐπὶ ἔθνει ἀσυνέτῳ παροργιῶ ὑμᾶς.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 20] Ἠσαΐας δὲ ἀποτολμᾷ καὶ λέγει, Εὑρέθην τοῖς ἐμὲ μὴ ζητοῦσιν, ἐμφανὴς ἐγενόμην τοῖς ἐμὲ μὴ ἐπερωτῶσι.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 21] Πρὸς δὲ τὸν Ἰσραὴλ λέγει, Ὅλην τὴν ἡμέραν ἐξεπέτασα τὰς χεῖράς μου πρὸς λαὸν ἀπειθοῦντα καὶ ἀντιλέγοντα.
