[VANDYKE | AR | NT | John | Chapter 9 | Verse 1] وَفِيمَا كَانَ يَسُوعُ مَارّاً، رَأَى رَجُلاً أَعْمَى مُنْذُ وِلادَتِهِ،
[VANDYKE | AR | NT | John | Chapter 9 | Verse 16] فَقَالَ بَعْضُ الْفَرِّيسِيِّينَ: «لا يُمْكِنُ أَنْ يَكُونَ هَذَا الرَّجُلُ مِنَ اللهِ، لأَنَّهُ يُخَالِفُ سُنَّةَ السَّبْتِ». وَلكِنَّ بَعْضَهُمْ قَالُوا: «كَيْفَ يَقْدِرُ رَجُلٌ خَاطِئٌ أَنْ يَعْمَلَ مِثْلَ هذِهِ الآيَاتِ؟» فَوَقَعَ الْخِلافُ بَيْنَهُمْ.
[VANDYKE | AR | NT | John | Chapter 9 | Verse 17] وَعَادُوا يَسْأَلُونَ الَّذِي كَانَ أَعْمَى: «وَمَا رَأْيُكَ أَنْتَ فِيهِ مَادَامَ قَدْ فَتَحَ عَيْنَيْكَ؟» فَأَجَابَهُمْ: «إِنَّهُ نَبِيٌّ!»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 18] وَرَفَضَ الْيَهُودُ أَنْ يُصَدِّقُوا أَنَّهُ كَانَ أَعْمَى فَأَبْصَرَ، فَاسْتَدْعَوْا وَالِدَيْهِ
[VANDYKE | AR | NT | John | Chapter 9 | Verse 19] وَسَأَلُوهُمَا: «أَهَذَا ابْنُكُمَا الْمَوْلُودُ أَعْمَى كَمَا تَقُولانِ؟ فَكَيْفَ يُبْصِرُ الآنَ؟»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 20] أَجَابَهُمُ الْوَالِدَانِ: «نَعْلَمُ أَنَّ هَذَا ابْنُنَا وَأَنَّهُ وُلِدَ أَعْمَى.
[VANDYKE | AR | NT | John | Chapter 9 | Verse 21] وَلكِنَّنَا لَا نَعْلَمُ كَيْفَ يُبْصِرُ الآنَ، وَلا مَنْ فَتَحَ عَيْنَيْهِ. إِنَّهُ كَامِلُ السِّنِّ، يُجِيبُكُمْ عَنْ نَفْسِهِ، فَاسْأَلُوهُ!»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 22] وَقَدْ قَالَ وَالِدَاهُ هَذَا لِخَوْفِهِمَا مِنَ الْيَهُودِ، لأَنَّ الْيَهُودَ كَانُوا قَدِ اتَّفَقُوا أَنْ يَطْرُدُوا مِنَ الْمَجْمَعِ كُلَّ مَنْ يَعْتَرِفُ أَنَّ يَسُوعَ هُوَ الْمَسِيحُ.
[VANDYKE | AR | NT | John | Chapter 9 | Verse 23] لِذلِكَ قَالا: «إِنَّهُ كَامِلُ السِّنِّ فَاسْأَلُوهُ».
[VANDYKE | AR | NT | John | Chapter 9 | Verse 24] ثُمَّ اسْتَدْعَى الْفَرِّيسِيُّونَ، الرَّجُلَ الَّذِي كَانَ أَعْمَى مَرَّةً ثَانِيَةً، وَقَالُوا لَهُ: «مَجِّدِ اللهَ! نَحْنُ نَعْلَمُ أَنَّ هَذَا الرَّجُلَ خَاطِئٌ».
[VANDYKE | AR | NT | John | Chapter 9 | Verse 25] فَأَجَابَ: «أَخَاطِئٌ هُوَ، لَسْتُ أَعْلَمُ! إِنَّمَا أَعْلَمُ شَيْئاً وَاحِداً: أَنِّي كُنْتُ أَعْمَى وَالآنَ أُبْصِرُ!»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 26] فَسَأَلُوهُ ثَانِيَةً: «مَاذَا فَعَلَ بِكَ؟ كَيْفَ فَتَحَ عَيْنَيْكَ؟»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 27] أَجَابَهُمْ: «قَدْ قُلْتُ لَكُمْ وَلَمْ تَسْمَعُوا لِي، فَلِمَاذَا تُرِيدُونَ أَنْ تَسْمَعُوا مَرَّةً ثَانِيَةً؟ أَلَعَلَّكُمْ تُرِيدُونَ أَنْتُمْ أَيْضاً أَنْ تَصِيرُوا تَلامِيذَ لَهُ؟»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 28] فَشَتَمُوهُ وَقَالُوا لَهُ: «بَلْ أَنْتَ تِلْمِيذُهُ! أَمَّا نَحْنُ فَتَلامِيذُ مُوسَى.
[VANDYKE | AR | NT | John | Chapter 9 | Verse 29] نَحْنُ نَعْلَمُ أَنَّ مُوسَى كَلَّمَهُ اللهُ؛ أَمَّا هَذَا، فَلا نَعْلَمُ لَهُ أَصْلاً!»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 30] فَأَجَابَهُمُ الرَّجُلُ: «إِنَّ فِي ذلِكَ عَجَباً! إِنَّهُ فَتَحَ عَيْنَيَّ، وَتَقُولُونَ إِنَّكُمْ لَا تَعْلَمُونَ لَهُ أَصْلاً!
[VANDYKE | AR | NT | John | Chapter 9 | Verse 31] نَحْنُ نَعْلَمُ أَنَّ اللهَ لَا يَسْتَجِيبُ لِلْخَاطِئِينَ، وَلكِنَّهُ يَسْتَمِعُ لِمَنْ يَتَّقِيهِ وَيَعْمَلُ بِإِرَادَتِهِ،
[VANDYKE | AR | NT | John | Chapter 9 | Verse 32] وَلَمْ يُسْمَعْ عَلَى مَدَى الأَجْيَالِ أَنَّ أَحَداً فَتَحَ عَيْنَيْ مَوْلُودٍ أَعْمَى!
[VANDYKE | AR | NT | John | Chapter 9 | Verse 33] فَلَوْ لَمْ يَكُنْ هُوَ مِنَ اللهِ، لَمَا اسْتَطَاعَ أَنْ يَعْمَلَ شَيْئاً».
[VANDYKE | AR | NT | John | Chapter 9 | Verse 34] فَصَاحُوا بِهِ: «أَنْتَ بِكَامِلِكَ وُلِدْتَ فِي الْخَطِيئَةِ وَتُعَلِّمُنَا!» ثُمَّ طَرَدُوهُ خَارِجَ الْمَجْمَعِ.
[VANDYKE | AR | NT | John | Chapter 9 | Verse 35] وَعَرَفَ يَسُوعُ بِطَرْدِهِ خَارِجاً، فَقَصَدَ إِلَيْهِ وَسَأَلَهُ: «أَتُؤْمِنُ بِابْنِ اللهِ؟»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 36] أَجَابَ: «مَنْ هُوَ يَا سَيِّدُ حَتَّى أُومِنَ بِهِ؟»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 37] فَقَالَ لَهُ يَسُوعُ: «الَّذِي قَدْ رَأَيْتَهُ، وَالَّذِي يُكَلِّمُكَ، هُوَ نَفْسُهُ!»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 38] فَقَالَ: «أُومِنُ يَا سَيِّدُ!» وَسَجَدَ لَهُ.
[VANDYKE | AR | NT | John | Chapter 9 | Verse 39] فَقَالَ يَسُوعُ: «لِدَيْنُونَةٍ أَتَيْتُ إِلَى هَذَا الْعَالَمِ: لِيُبْصِرَ الْعُمْيَانُ، وَيَعْمَى الْمُبْصِرُونَ!»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 40] فَسَمِعَ ذَلِكَ بَعْضُ الْفَرِّيسِيِّينَ الَّذِينَ كَانُوا مَعَهُ فَسَأَلُوهُ: «وَهَلْ نَحْنُ أَيْضاً عُمْيَانٌ؟»
[VANDYKE | AR | NT | John | Chapter 9 | Verse 41] فَأَجَابَهُمْ يَسُوعُ: «لَوْ كُنْتُمْ عُمْيَاناً بِالْفِعْلِ، لَمَا كَانَتْ عَلَيْكُمْ خَطِيئَةٌ. وَلَكِنَّكُمْ تَدَّعُونَ أَنَّكُمْ تُبْصِرُونَ، وَلِذلِكَ فَإِنَّ خَطِيئَتَكُمْ بَاقِيَةٌ».
