[JPS | EN | OT | Psalms | Chapter 106 | Verse 1] Hallelujah. O give thanks unto the LORD; for He is good; for His mercy endureth for ever.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 28] They joined themselves also unto Baal of Peor, and ate the sacrifices of the dead.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 29] Thus they provoked Him with their doings, and the plague broke in upon them.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 30] Then stood up Phinehas, and wrought judgment, and so the plague was stayed.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 31] And that was counted unto him for righteousness, unto all generations for ever.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 32] They angered Him also at the waters of Meribah, and it went ill with Moses because of them;
[JPS | EN | OT | Psalms | Chapter 106 | Verse 33] For they embittered his spirit, and he spoke rashly with his lips.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 34] They did not destroy the peoples, as the LORD commanded them;
[JPS | EN | OT | Psalms | Chapter 106 | Verse 35] But mingled themselves with the nations, and learned their works;
[JPS | EN | OT | Psalms | Chapter 106 | Verse 36] And they served their idols, which became a snare unto them;
[JPS | EN | OT | Psalms | Chapter 106 | Verse 37] Yea, they sacrificed their sons and their daughters unto demons,
[JPS | EN | OT | Psalms | Chapter 106 | Verse 38] And shed innocent blood, even the blood of their sons and of their daughters, whom they sacrificed unto the idols of Canaan; and the land was polluted with blood.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 39] Thus were they defiled with their works, and went astray in their doings.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 40] Therefore was the wrath of the LORD kindled against His people, and He abhorred His inheritance.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 41] And He gave them into the hand of the nations; and they that hated them ruled over them.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 42] Their enemies also oppressed them, and they were subdued under their hand.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 43] Many times did He deliver them; but they were rebellious in their counsel, and sank low through their iniquity.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 44] Nevertheless He looked upon their distress, when He heard their cry;
[JPS | EN | OT | Psalms | Chapter 106 | Verse 45] And He remembered for them His covenant, and repented according to the multitude of His mercies.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 46] He made them also to be pitied of all those that carried them captive.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 47] Save us, O LORD our God, and gather us from among the nations, that we may give thanks unto Thy holy name, that we may triumph in Thy praise.
[JPS | EN | OT | Psalms | Chapter 106 | Verse 48] Blessed be the LORD, the God of Israel, from everlasting even to everlasting, and let all the people say: 'Amen.' Hallelujah.
