[JPS | EN | OT | Psalms | Chapter 119 | Verse 1] ALEPH. Happy are they that are upright in the way, who walk in the law of the LORD.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 23] Even though princes sit and talk against me, thy servant doth meditate in Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 24] Yea, Thy testimonies are my delight, they are my counsellors.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 25] DALETH. My soul cleaveth unto the dust; quicken Thou me according to Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 26] I told of my ways, and Thou didst answer me; teach me Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 27] Make me to understand the way of Thy precepts, that I may talk of Thy wondrous works.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 28] My soul melteth away for heaviness; sustain me according unto Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 29] Remove from me the way of falsehood; and grant me Thy law graciously.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 30] I have chosen the way of faithfulness; Thine ordinances have I set before me.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 31] I cleave unto Thy testimonies; O LORD, put me not to shame.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 32] I will run the way of Thy commandments, for Thou dost enlarge my heart.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 33] HE. Teach me, O LORD, the way of Thy statutes; and I will keep it at every step.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 34] Give me understanding, that I keep Thy law and observe it with my whole heart.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 35] Make me to tread in the path of Thy commandments; for therein do I delight.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 36] Incline my heart unto Thy testimonies, and not to covetousness.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 37] Turn away mine eyes from beholding vanity, and quicken me in Thy ways.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 38] Confirm Thy word unto Thy servant, which pertaineth unto the fear of Thee.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 39] Turn away my reproach which I dread; for Thine ordinances are good.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 40] Behold, I have longed after Thy precepts; quicken me in Thy righteousness.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 41] VAV. Let Thy mercies also come unto me, O LORD, even Thy salvation, according to Thy word;
[JPS | EN | OT | Psalms | Chapter 119 | Verse 42] That I may have an answer for him that taunteth me; for I trust in Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 43] And take not the word of truth utterly out of my mouth; for I hope in Thine ordinances;
[JPS | EN | OT | Psalms | Chapter 119 | Verse 44] So shall I observe Thy law continually for ever and ever;
[JPS | EN | OT | Psalms | Chapter 119 | Verse 45] And I will walk at ease, for I have sought Thy precepts;
[JPS | EN | OT | Psalms | Chapter 119 | Verse 46] I will also speak of Thy testimonies before kings, and will not be ashamed.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 47] And I will delight myself in Thy commandments, which I have loved.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 48] I will lift up my hands also unto Thy commandments, which I have loved; and I will meditate in Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 49] ZAIN. Remember the word unto Thy servant, because Thou hast made me to hope.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 50] This is my comfort in my affliction, that Thy word hath quickened me.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 51] The proud have had me greatly in derision; yet have I not turned aside from Thy law.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 52] I have remembered Thine ordinances which are of old, O LORD, and have comforted myself.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 53] Burning indignation hath taken hold upon me, because of the wicked that forsake Thy law.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 54] Thy statutes have been my songs in the house of my pilgrimage.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 55] I have remembered Thy name, O LORD, in the night, and have observed Thy law.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 56] This I have had, that I have kept Thy precepts.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 57] HETH. My portion is the LORD, I have said that I would observe Thy words.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 58] I have entreated Thy favour with my whole heart; be gracious unto me according to Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 59] I considered my ways, and turned my feet unto Thy testimonies.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 60] I made haste, and delayed not, to observe Thy commandments.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 61] The bands of the wicked have enclosed me; but I have not forgotten Thy law.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 62] At midnight I will rise to give thanks unto Thee because of Thy righteous ordinances.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 63] I am a companion of all them that fear Thee, and of them that observe Thy precepts.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 64] The earth, O LORD, is full of Thy mercy; teach me Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 65] TETH. Thou hast dealt well with Thy servant, O LORD, according unto Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 66] Teach me good discernment and knowledge; for I have believed Thy commandments.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 67] Before I was afflicted, I did err; but now I observe Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 68] Thou art good, and doest good; teach me Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 69] The proud have forged a lie against me; but I with my whole heart will keep Thy precepts.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 70] Their heart is gross like fat; but I delight in Thy law.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 71] It is good for me that I have been afflicted, in order that I might learn Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 72] The law of Thy mouth is better unto me than thousands of gold and silver.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 73] JOD. Thy hands have made me and fashioned me; give me understanding, that I may learn Thy commandments.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 74] They that fear Thee shall see me and be glad, because I have hope in Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 75] I know, O LORD, that Thy judgments are righteous, and that in faithfulness Thou hast afflicted me.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 76] Let, I pray Thee, Thy lovingkindness be ready to comfort me, according to Thy promise unto Thy servant.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 77] Let Thy tender mercies come unto me, that I may live; for Thy law is my delight.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 78] Let the proud be put to shame, for they have distorted my cause with falsehood; but I will meditate in Thy precepts.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 79] Let those that fear Thee return unto me, and they that know Thy testimonies.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 80] Let my heart be undivided in Thy statutes, in order that I may not be put to shame.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 81] CAPH. My soul pineth for Thy salvation; in Thy word do I hope.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 82] Mine eyes fail for Thy word, saying: 'When wilt Thou comfort me?'
[JPS | EN | OT | Psalms | Chapter 119 | Verse 83] For I am become like a wine-skin in the smoke; yet do I not forget Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 84] How many are the days of Thy servant? When wilt Thou execute judgment on them that persecute me?
[JPS | EN | OT | Psalms | Chapter 119 | Verse 85] The proud have digged pits for me, which is not according to Thy law.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 86] All Thy commandments are faithful; they persecute me for nought; help Thou me.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 87] They had almost consumed me upon earth; but as for me, I forsook not Thy precepts.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 88] Quicken me after Thy lovingkindness, and I will observe the testimony of Thy mouth.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 89] LAMED. For ever, O LORD, Thy word standeth fast in heaven.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 90] Thy faithfulness is unto all generations; Thou hast established the earth, and it standeth.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 91] They stand this day according to Thine ordinances; for all things are Thy servants.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 92] Unless Thy law had been my delight, I should then have perished in mine affliction.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 93] I will never forget Thy precepts; for with them Thou hast quickened me.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 94] I am Thine, save me; for I have sought Thy precepts.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 95] The wicked have waited for me to destroy me; but I will consider Thy testimonies.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 96] I have seen an end to every purpose; but Thy commandment is exceeding broad.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 97] MEM. O how love I Thy law! It is my meditation all the day.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 98] Thy commandments make me wiser than mine enemies: for they are ever with me.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 99] I have more understanding than all my teachers; for Thy testimonies are my meditation.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 100] I understand more than mine elders, because I have keep Thy precepts.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 101] I have refrained my feet from every evil way, in order that I might observe Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 102] I have not turned aside from Thine ordinances; for Thou hast instructed me.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 103] How sweet are Thy words unto my palate! yea, sweeter than honey to my mouth!
[JPS | EN | OT | Psalms | Chapter 119 | Verse 104] From Thy precepts I get understanding; therefore I hate every false way.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 105] NUN. Thy word is a lamp unto my feet, and a light unto my path.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 106] I have sworn, and have confirmed it, to observe Thy righteous ordinances.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 107] I am afflicted very much; quicken me, O LORD, according unto Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 108] Accept, I beseech Thee, the freewill-offerings of my mouth, O LORD, and teach me Thine ordinances.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 109] My soul is continually in my hand; yet have I not forgotten Thy law.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 110] The wicked have laid a snare for me; yet went I not astray from Thy precepts.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 111] Thy testimonies have I taken as a heritage for ever; for they are the rejoicing of my heart.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 112] I have inclined my heart to perform Thy statutes, for ever, at every step.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 113] SAMECH. I hate them that are of a double mind; but Thy law do I love.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 114] Thou art my covert and my shield; in Thy word do I hope.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 115] Depart from me, ye evildoers; that I may keep the commandments of my God.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 116] Uphold me according unto Thy word, that I may live; and put me not to shame in my hope.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 117] Support Thou me, and I shall be saved; and I will occupy myself with Thy statutes continually.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 118] Thou hast made light of all them that err from Thy statutes; for their deceit is vain.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 119] Thou puttest away all the wicked of the earth like dross; therefore I love Thy testimonies.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 120] My flesh shuddereth for fear of Thee; and I am afraid of Thy judgments.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 121] AIN. I have done justice and righteousness; leave me not to mine oppressors.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 122] Be surety for Thy servant for good; let not the proud oppress me.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 123] Mine eyes fail for Thy salvation, and for Thy righteous word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 124] Deal with Thy servant according unto Thy mercy, and teach me Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 125] I am Thy servant, give me understanding, that I may know Thy testimonies.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 126] It is time for the LORD to work; they have made void Thy law.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 127] Therefore I love Thy commandments above gold, yea, above fine gold.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 128] Therefore I esteem all Thy precepts concerning all things to be right; every false way I hate.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 129] PE. Thy testimonies are wonderful; therefore doth my soul keep them.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 130] The opening of Thy words giveth light; it giveth understanding unto the simple.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 131] I opened wide my mouth, and panted; for I longed for Thy commandments.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 132] Turn Thee towards me, and be gracious unto me, as is Thy wont to do unto those that love Thy name.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 133] Order my footsteps by Thy word; and let not any iniquity have dominion over me.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 134] Redeem me from the oppression of man, and I will observe Thy precepts.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 135] Make Thy face to shine upon Thy servant; and teach me Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 136] Mine eyes run down with rivers of water, because they observe not Thy law.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 137] TZADE. Righteous art Thou, O LORD, and upright are Thy judgments.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 138] Thou hast commanded Thy testimonies in righteousness and exceeding faithfulness.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 139] My zeal hath undone me, because mine adversaries have forgotten Thy words.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 140] Thy word is tried to the uttermost, and Thy servant loveth it.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 141] I am small and despised; yet have I not forgotten Thy precepts.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 142] Thy righteousness is an everlasting righteousness, and Thy law is the truth.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 143] Trouble and anguish have overtaken me; yet Thy commandments are my delight.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 144] Thy testimonies are righteous for ever; give me understanding, and I shall live.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 145] KOPH. I have called with my whole heart; answer me, O LORD; I will keep Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 146] I have called Thee, save me, and I will observe Thy testimonies.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 147] I rose early at dawn, and cried; I hoped in Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 148] Mine eyes forestalled the night-watches, that I might meditate in Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 149] Hear my voice according unto Thy lovingkindness; quicken me, O LORD, as Thou art wont.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 150] They draw nigh that follow after wickedness; they are far from Thy law.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 151] Thou art nigh, O LORD; and all Thy commandments are truth.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 152] Of old have I known from Thy testimonies that Thou hast founded them for ever.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 153] RESH. O see mine affliction, and rescue me; for I do not forget Thy law.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 154] Plead Thou my cause, and redeem me; quicken me according to Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 155] Salvation is far from the wicked; for they seek not Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 156] Great are Thy compassions, O LORD; quicken me as Thou art wont.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 157] Many are my persecutors and mine adversaries; yet have I not turned aside from Thy testimonies.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 158] I beheld them that were faithless, and strove with them; because they observed not Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 159] O see how I love Thy precepts; quicken me, O LORD, according to Thy lovingkindness.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 160] The beginning of Thy word is truth; and all Thy righteous ordinance endureth for ever.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 161] SCHIN. Princes have persecuted me without a cause; but my heart standeth in awe of Thy words.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 162] I rejoice at Thy word, as one that findeth great spoil.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 163] I hate and abhor falsehood; Thy law do I love.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 164] Seven times a day do I praise Thee, because of Thy righteous ordinances.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 165] Great peace have they that love Thy law; and there is no stumbling for them.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 166] I have hoped for Thy salvation, O LORD, and have done Thy commandments.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 167] My soul hath observed Thy testimonies; and I love them exceedingly.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 168] I have observed Thy precepts and Thy testimonies; for all my ways are before Thee.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 169] TAV. Let my cry come near before Thee, O LORD; give me understanding according to Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 170] Let my supplication come before Thee; deliver me according to Thy word.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 171] Let my lips utter praise: because Thou teachest me Thy statutes.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 172] Let my tongue sing of Thy word; for all Thy commandments are righteousness.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 173] Let Thy hand be ready to help me; for I have chosen Thy precepts.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 174] I have longed for Thy salvation, O LORD; and Thy law is my delight.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 175] Let my soul live, and it shall praise Thee; and let Thine ordinances help me.
[JPS | EN | OT | Psalms | Chapter 119 | Verse 176] I have gone astray like a lost sheep; seek Thy servant; for I have not forgotten Thy commandments.
