[IRV | ML | OT | Joshua | Chapter 15 | Verse 1] യെഹൂദാമക്കളുടെ ഗോത്രത്തിന്നു കുടുംബംകുടുംബമായി കിട്ടിയ ഓഹരി തെക്കെദേശത്തിന്റെ തെക്കെ അറ്റത്തു എദോമിന്റെ അതിരായ സീൻമരുഭൂമിവരെ തന്നേ.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 12] പടിഞ്ഞാറെ അതിർ നെടുകെ മഹാസമുദ്രം തന്നേ; ഇതു യെഹൂദാമക്കൾക്കു കുടുംബംകുടുംബമായി കിട്ടിയ അവകാശത്തിന്റെ ചുറ്റുമുള്ള അതിർ.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 13] യഹോവ യോശുവയോടു കല്പിച്ചതുപോലെ അവൻ യെഫുന്നെയുടെ മകനായ കാലേബിന്നു യെഹൂദാമക്കളുടെ ഇടയിൽ ഓഹരിയായിട്ടു അനാക്കിന്റെ അപ്പനായ അർബ്ബയുടെ പട്ടണമായ ഹെബ്രോൻ കൊടുത്തു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 14] അവിടെനിന്നു കാലേബ് അനാക്കിന്റെ പുത്രന്മാരായ ശേശായി, അഹീമാൻ, തൽമായി എന്നീ മൂന്നു അനാക്യരെ നീക്കിക്കളഞ്ഞു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 15] അവിടെനിന്നു അവൻ ദെബീർനിവാസികളുടെ നേരെ ചെന്നു; ദെബീരിന്റെ പേർ മുമ്പെ കിര്യത്ത്-സേഫെർ എന്നായിരുന്നു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 16] കിര്യത്ത്-സേഫെർ ജയിക്കുന്നവന്നു ഞാൻ എന്റെ മകൾ അക്സയെ ഭാര്യയായി കൊടുക്കും എന്നു കാലേബ് പറഞ്ഞു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 17] കാലേബിന്റെ സഹോദരനായ കെനസിന്റെ മകൻ ഒത്നീയേൽ അതിനെ പിടിച്ചു; അവൻ തന്റെ മകൾ അക്സയെ അവന്നു ഭാര്യയായി കൊടുത്തു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 18] അവൾ വന്നാറെ തന്റെ അപ്പനോടു ഒരു നിലം ചോദിപ്പാൻ അവനെ ഉത്സാഹിപ്പിച്ചു; അവൾ കഴുതപ്പുറത്തുനിന്നു ഇറങ്ങിയപ്പോൾ കാലേബ് അവളോടു: നിനക്കു എന്തുവേണം എന്നു ചോദിച്ചു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 19] എനിക്കു ഒരു അനുഗ്രഹം തരേണം; നീ എന്നെ തെക്കെ ദേശത്തേക്കല്ലോ കൊടുത്തിരിക്കുന്നതു; നീരുറവുകളെയുംകൂടെ എനിക്കു തരേണം എന്നു അവൾ ഉത്തരം പറഞ്ഞു അവൻ അവൾക്കു മലയിലും താഴ്‌വരയിലും നീരുറവുകളെ കൊടുത്തു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 20] യെഹൂദാഗോത്രത്തിന്നു കുടുംബംകുടുംബമായി കിട്ടിയ അവകാശം ഇതത്രേ.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 21] എദോമിന്റെ അതിർക്കരികെ തെക്കെ അറ്റത്തു യെഹൂദാഗോത്രത്തിന്നുള്ള പട്ടണങ്ങൾ: കെബ്സെയേൽ, ഏദെർ, യാഗൂർ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 22] കീന, ദിമോന, അദാദ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 23] കേദെശ്, ഹാസോർ, യിത്നാൻ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 24] സീഫ്, തേലെം, ബയാലോത്ത്,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 25] ഹാസോർ, ഹദത്ഥ, കെരീയോത്ത്-ഹാസോർ, എന്ന കെരീയോത്ത്-ഹെസ്രോൻ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 26] അമാം, ശെമ, മോലാദ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 27] ഹസർ-ഗദ്ദ, ഹെശ്മോൻ, ബേത്ത്-പേലെത്,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 28] ഹസർ-ശൂവാൽ, ബേർ-ശേബ, ബിസോത്യ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 29] ബാല, ഇയ്യീം, ഏസെം,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 30] എൽതോലദ്, കെസീൽ, ഹോർമ്മ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 31] സിക്ലാഗ്, മദ്മന്ന, സൻസന്ന,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 32] ലെബായോത്ത്, ശിൽഹീം, ആയീൻ, രിമ്മോൻ; ഇങ്ങനെ ആകെ ഇരുപത്തൊമ്പതു പട്ടണവും അവയുടെ ഗ്രാമങ്ങളും തന്നേ.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 33] താഴ്‌വീതിയിൽ എസ്തായോൽ, സൊരാ, അശ്ന,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 34] സനോഹ, ഏൻ-ഗന്നീം, തപ്പൂഹ, ഏനാം,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 35] യർമ്മൂത്ത്, അദുല്ലാം, സോഖോ, അസേക്ക,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 36] ശാരയീം, അദീഥയീം, ഗെദേരാ, ഗെദെരോഥയീം; ഇങ്ങനെ പതിനാലു പട്ടണവും അവയുടെ ഗ്രാമങ്ങളും;
[IRV | ML | OT | Joshua | Chapter 15 | Verse 37] സെനാൻ, ഹദാശ, മിഗ്ദൽ-ഗാദ്,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 38] ദിലാൻ, മിസ്പെ, യൊക്തെയേൽ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 39] ലാഖിശ്, ബൊസ്കത്ത്, എഗ്ലോൻ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 40] കബ്ബോൻ, ലപ്മാസ്, കിത്ത്ളീശ്,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 41] ഗെദേരോത്ത്, ബേത്ത്-ദാഗോൻ, നാമ, മക്കേദ; ഇങ്ങനെ പതിനാറു പട്ടണവും അവയുടെ ഗ്രാമങ്ങളും;
[IRV | ML | OT | Joshua | Chapter 15 | Verse 42] ലിബ്ന, ഏഥെർ, ആശാൻ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 43] യിപ്താഹ്, അശ്ന, നെസീബ്,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 44] കെയില, അക്ലീബ്, മാരേശ; ഇങ്ങനെ ഒമ്പതു പട്ടണവും അവയുടെ ഗ്രാമങ്ങളും;
[IRV | ML | OT | Joshua | Chapter 15 | Verse 45] എക്രോനും അതിന്റെ അധീനനഗരങ്ങളും ഗ്രാമങ്ങളും;
[IRV | ML | OT | Joshua | Chapter 15 | Verse 46] എക്രോൻ മുതൽ സമുദ്രംവരെ അസ്തോദിന്നു സമീപത്തുള്ളവ ഒക്കെയും അവയുടെ ഗ്രാമങ്ങളും;
[IRV | ML | OT | Joshua | Chapter 15 | Verse 47] അസ്തോദും അതിന്റെ അധീനനഗരങ്ങളും ഗ്രാമങ്ങളും ഗസ്സയും, മിസ്രയീംതോടുവരെയുള്ള അതിന്റെ അധീനനഗരങ്ങളും ഗ്രാമങ്ങളും; മഹാസമുദ്രം അതിന്നു നെടുകെ അതിരായിരുന്നു.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 48] മലനാട്ടിൽ ശാമീർ, യത്ഥീർ, സോഖോ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 49] ദന്ന, ദെബീർ എന്ന കിര്യത്ത്-സന്ന,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 50] അനാബ്, എസ്തെമോ, ആനീം,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 51] ഗോശെൻ, ഹോലോൻ, ഗീലോ; ഇങ്ങനെ പതിനൊന്നുപട്ടണവും അവയുടെ ഗ്രാമങ്ങളും;
[IRV | ML | OT | Joshua | Chapter 15 | Verse 52] അരാബ്, ദൂമ, എശാൻ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 53] യാനീം, ബേത്ത്-തപ്പൂഹ, അഫേക്ക,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 54] ഹുമ്ത, ഹെബ്രോൻ എന്ന കിര്യത്ത്-അർബ്ബ, സീയോർ ഇങ്ങനെ ഒമ്പതു പട്ടണവും അവയുടെ ഗ്രാമങ്ങളും.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 55] മാവോൻ, കർമ്മേൽ, സീഫ്, യൂത,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 56] യിസ്രെയേൽ, യോക്ക്ദെയാം, സാനോഹ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 57] കയീൻ, ഗിബെയ, തിമ്ന; ഇങ്ങനെ പത്തു പട്ടണവും അവയുടെ ഗ്രാമങ്ങളും;
[IRV | ML | OT | Joshua | Chapter 15 | Verse 58] ഹൽഹൂൽ, ബേത്ത്-സൂർ, ഗെദോർ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 59] മാരാത്ത്, ബേത്ത്-അനോത്ത്, എൽതെക്കോൻ; ഇങ്ങനെ ആറു പട്ടണവും അവയുടെ ഗ്രാമങ്ങളും;
[IRV | ML | OT | Joshua | Chapter 15 | Verse 60] കിര്യത്ത്-യെയാരീം എന്ന കിര്യത്ത്-ബാൽ, രബ്ബ; ഇങ്ങനെ രണ്ടു പട്ടണവും അവയുടെ ഗ്രാമങ്ങളും;
[IRV | ML | OT | Joshua | Chapter 15 | Verse 61] മരുഭൂമിയിൽ ബേത്ത്-അരാബ, മിദ്ദീൻ, സെഖാഖ,
[IRV | ML | OT | Joshua | Chapter 15 | Verse 62] നിബ്ശാൻ, ഈർ-ഹമേലഹ്, ഏൻ-ഗെദി; ഇങ്ങനെ ആറു പട്ടണവും അവയുടെ ഗ്രാമങ്ങളും.
[IRV | ML | OT | Joshua | Chapter 15 | Verse 63] യെരൂശലേമിൽ പാർത്തിരുന്ന യെബൂസ്യരെയോ യെഹൂദാമക്കൾക്കു നീക്കിക്കളവാൻ കഴിഞ്ഞില്ല; അങ്ങനെ യെബൂസ്യർ ഇന്നുവരെ യെഹൂദാമക്കളോടുകൂടെ യെരൂശലേമിൽ പാർത്തുവരുന്നു.
