[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 1] Now was it that the high priest Simon bowed his knees over against the holy place, and spread out his hands in reverent form, and uttered the following supplication:
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 18] We have trampled upon the holy house, as idolatrous houses are trampled upon.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 19] Blot out our iniquities, and do away with our errors, and show forth thy compassion in this hour.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 20] Let thy mercies quickly go before us. Grant us peace, that the cast down and brokenhearted may praise thee with their mouth.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 21] At that time God, who seeth all things, who is beyond all Holy among the holy, heard that prayer, so suitable; and scourged the man greatly uplifted with scorn and insolence.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 22] Shaking him to and fro as a reed is shaken with the wind, he cast him upon the pavement, powerless, with limbs paralyzed; by a righteous judgment deprived of the faculty of speech.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 23] His friends and bodyguards, beholding the swift recompense which had suddenly overtaken him, struck with exceeding terror, and fearing that he would die, speedily removed him.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 24] When in course of time he had come to himself, this severe check caused no repentance within him, but he departed with bitter threatenings.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 25] He proceeded to Egypt, grew worse in wickedness through his before mentioned companions in wine, who were lost to all goodness;
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 26] and not satisfied with countless acts of impiety, his audacity so increased that he raised evil reports there, and many of his friends, watching his purpose attentively, joined in furthering his will.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 27] His purpose was to inflict a public stigma upon our race; wherefore he erected a pillar at the tower porch, and caused the following inscription to be engraven upon it:
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 28] That entrance to their own temple was to be refused to all those who would not sacrifice; that all the Jews were to be registered among the common people; that those who resisted were to be forcibly seized and put to death;
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 29] that those who were thus registered, were to be marked on their persons by the ivy-leaf symbol of Bacchus, and to be set apart with these limited rights.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 30] To do away with the appearance of hating them all, he had it written underneath, that if any of them should elect to enter the community of those initiated in the rites, these should have equal rights with the Alexandrians.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 31] Some of those who were over the city, therefore, abhorring any approach to the city of piety, unhesitatingly gave in to the king, and expected to derive some great honor from a future connection with him.
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 32] A nobler spirit, however, prompted the majority to cling to their religious observances, and by paying money that they might live unmolested, these sought to escape the registration:
[ASV | EN | OT | 3 Maccabees | Chapter 2 | Verse 33] cheerfully looking forward to future aid, they abhorred their own apostates, considering them to be national foes, and debarring them from the common usages of social intercourse.
