[DRA | EN | NT | Mark | Chapter 14 | Verse 1] Now the feast of the pasch, and of the Azymes was after two days; and the chief priests and the scribes sought how they might by some wile lay hold on him, and kill him.
[DRA | EN | NT | Mark | Chapter 14 | Verse 42] Rise up, let us go. Behold, he that will betray me is at hand.
[DRA | EN | NT | Mark | Chapter 14 | Verse 43] And while he was yet speaking, cometh Judas Iscariot, one of the twelve: and with him a great multitude with swords and staves, from the chief priests and the scribes and the ancients.
[DRA | EN | NT | Mark | Chapter 14 | Verse 44] And he that betrayed him, had given them a sign, saying: Whomsoever I shall kiss, that is he; lay hold on him, and lead him away carefully.
[DRA | EN | NT | Mark | Chapter 14 | Verse 45] And when he was come, immediately going up to him, he saith: Hail, Rabbi; and he kissed him.
[DRA | EN | NT | Mark | Chapter 14 | Verse 46] But they laid hands on him, and held him.
[DRA | EN | NT | Mark | Chapter 14 | Verse 47] An one of them that stood by, drawing a sword, struck a servant of the chief priest, and cut off his ear.
[DRA | EN | NT | Mark | Chapter 14 | Verse 48] And Jesus answering, said to them: Are you come out as to a robber, with swords and staves to apprehend me?
[DRA | EN | NT | Mark | Chapter 14 | Verse 49] I was daily with you in the temple teaching, and you did not lay hands on me. But that the scriptures may be fulfilled.
[DRA | EN | NT | Mark | Chapter 14 | Verse 50] Then his disciples leaving him, all fled away.
[DRA | EN | NT | Mark | Chapter 14 | Verse 51] And a certain young man followed him, having a linen cloth cast about his naked body; and they laid hold on him.
[DRA | EN | NT | Mark | Chapter 14 | Verse 52] But he, casting off the linen cloth, fled from them naked.
[DRA | EN | NT | Mark | Chapter 14 | Verse 53] And they brought Jesus to the high priest; and all the priests and the scribes and the ancients assembled together.
[DRA | EN | NT | Mark | Chapter 14 | Verse 54] And Peter followed him from afar off, even into the court of the high priest; and he sat with the servants at the fire, and warmed himself.
[DRA | EN | NT | Mark | Chapter 14 | Verse 55] And the chief priests and all the council sought for evidence against Jesus, that they might put him to death, and found none.
[DRA | EN | NT | Mark | Chapter 14 | Verse 56] For many bore false witness against him, and their evidences were not agreeing.
[DRA | EN | NT | Mark | Chapter 14 | Verse 57] And some rising up, bore false witness against him, saying:
[DRA | EN | NT | Mark | Chapter 14 | Verse 58] We heard him say, I will destroy this temple made with hands, and within three days I will build another not made with hands.
[DRA | EN | NT | Mark | Chapter 14 | Verse 59] And their witness did not agree.
[DRA | EN | NT | Mark | Chapter 14 | Verse 60] And the high priest rising up in the midst, asked Jesus, saying: Answerest thou nothing to the things that are laid to thy charge by these men?
[DRA | EN | NT | Mark | Chapter 14 | Verse 61] But he held his peace, and answered nothing. Again the high priest asked him, and said to him: Art thou the Christ the Son of the blessed God?
[DRA | EN | NT | Mark | Chapter 14 | Verse 62] And Jesus said to him: I am. And you shall see the Son of man sitting on the right hand of the power of God, and coming with the clouds of heaven.
[DRA | EN | NT | Mark | Chapter 14 | Verse 63] Then the high priest rending his garments, saith: What need we any further witnesses?
[DRA | EN | NT | Mark | Chapter 14 | Verse 64] You have heard the blasphemy. What think you? Who all condemned him to be guilty of death.
[DRA | EN | NT | Mark | Chapter 14 | Verse 65] And some began to spit on him, and to cover his face, and to buffet him, and to say unto him: Prophesy: and the servants struck him with the palms of their hands.
[DRA | EN | NT | Mark | Chapter 14 | Verse 66] Now when Peter was in the court below, there cometh one of the maidservants of the high priest.
[DRA | EN | NT | Mark | Chapter 14 | Verse 67] And when she had seen Peter warming himself, looking on him she saith: Thou also wast with Jesus of Nazareth.
[DRA | EN | NT | Mark | Chapter 14 | Verse 68] But he denied, saying: I neither know nor understand what thou sayest. And he went forth before the court; and the cock crew.
[DRA | EN | NT | Mark | Chapter 14 | Verse 69] And again a maidservant seeing him, began to say to the standers by: This is one of them.
[DRA | EN | NT | Mark | Chapter 14 | Verse 70] But he denied again. And after a while they that stood by said again to Peter: Surely thou art one of them; for thou art also a Galilean.
[DRA | EN | NT | Mark | Chapter 14 | Verse 71] But he began to curse and to swear, saying; I know not this man of whom you speak.
[DRA | EN | NT | Mark | Chapter 14 | Verse 72] And immediately the cock crew again. And Peter remembered the word that Jesus had said unto him: Before the cock crow twice, thou shalt thrice deny me. And he began to weep.
