[GNV | EN | OT | Leviticus | Chapter 19 | Verse 1] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 19] Yee shall keepe mine ordinances. Thou shalt not let thy cattel gender with others of diuers kindes. Thou shalt not sowe thy fielde with mingled seede, neyther shall a garment of diuers thinges, as of linen and wollen come vpon thee.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 20] Whosoeuer also lyeth and medleth with a woman that is a bonde mayde, affianced to a husband, and not redeemed, nor freedome giuen her, she shalbe scourged, but they shall not die, because she is not made free.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 21] And he shall bring for his trespasse offring vnto the Lord, at the doore of the Tabernacle of the Congregation, a ramme for a trespasse offering.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 22] Then the Priest shall make an atonement for him with the ramme of the trespasse offering before the Lord, concerning his sinne which he hath done, and pardon shalbe giuen him for his sinne which he hath committed.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 23] Also when ye shall come into the land, and haue planted euery tree for meate, ye shall count the fruite thereof as vncircumcised: three yeere shall it be vncircumcised vnto you, it shall not be eaten:
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 24] But in the fourth yere all the fruite thereof shalbe holy to the praise of the Lord.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 25] And in the fifth yeere shall ye eate of the fruite of it that it may yeelde to you the encrease thereof: I am the Lord your God.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 26] Ye shall not eat the flesh with the blood, ye shall not vse witchcraft, nor obserue times.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 27] Ye shall not cut rounde the corners of your heades, neither shalt thou marre the tuftes of thy beard.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 28] Ye shall not cut your flesh for the dead, nor make any print of a marke vpon you: I am the Lord,
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 29] Thou shalt not make thy daughter common, to cause her to be a whore, least the lande also fall to whoredome, and the lande bee full of wickednesse.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 30] Ye shall keepe my Sabbaths and reuerence my Sanctuarie: I am the Lord.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 31] Ye shall not regarde them that worke with spirites, neither soothsayers: ye shall not seeke to them to be defiled by them: I am the Lord your God.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 32] Thou shalt rise vp before the horehead, and honour the person of the old man, and dread thy God: I am the Lord.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 33] And if a stranger soiourne with thee in your lande, ye shall not vexe him.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 34] But the stranger that dwelleth with you, shalbe as one of your selues, and thou shalt loue him as thy selfe: for ye were strangers in the lad of Egypt: I am the Lord your God.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 35] Ye shall not doe vniustly in iudgement, in line, in weight, or in measure.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 36] You shall haue iust ballances, true weightes, a true Ephah, and a true Hin. I am the Lord your God, which haue brought you out of the lande of Egypt.
[GNV | EN | OT | Leviticus | Chapter 19 | Verse 37] Therefore shall ye obserue all mine ordinances, and all my iudgements, and doe them: I am the Lord.
