[BSB | EN | OT | Joshua | Chapter 19 | Verse 1] The second lot came out for the clans of the tribe of Simeon: Their inheritance lay within the territory of Judah
[BSB | EN | OT | Joshua | Chapter 19 | Verse 35] The fortified cities were Ziddim, Zer, Hammath, Rakkath, Chinnereth,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 36] Adamah, Ramah, Hazor,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 37] Kedesh, Edrei, En-hazor,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 38] Iron, Migdal-el, Horem, Beth-anath, and Beth-shemesh. There were nineteen cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 39] This was the inheritance of the clans of the tribe of Naphtali, including these cities and their villages.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 40] The seventh lot came out for the clans of the tribe of Dan:
[BSB | EN | OT | Joshua | Chapter 19 | Verse 41] The territory of their inheritance included Zorah, Eshtaol, Ir-shemesh,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 42] Shaalabbin, Aijalon, Ithlah,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 43] Elon, Timnah, Ekron,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 44] Eltekeh, Gibbethon, Baalath,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 45] Jehud, Bene-berak, Gath-rimmon,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 46] Me-jarkon, and Rakkon, including the territory across from Joppa.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 47] (Later, when the territory of the Danites was lost to them, they went up and fought against Leshem, captured it, and put it to the sword. So they took possession of Leshem, settled there, and renamed it after their father Dan.)
[BSB | EN | OT | Joshua | Chapter 19 | Verse 48] This was the inheritance of the clans of the tribe of Dan, including these cities and their villages.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 49] When they had finished distributing the land into its territories, the Israelites gave Joshua son of Nun an inheritance among them,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 50] as the LORD had commanded. They gave him the city of Timnath-serah in the hill country of Ephraim, as he requested. He rebuilt the city and settled in it.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 51] These are the inheritances that Eleazar the priest, Joshua son of Nun, and the heads of the families distributed by lot to the tribes of Israel at Shiloh before the LORD at the entrance to the Tent of Meeting. So they finished dividing up the land.
