[BSB | EN | OT | Joshua | Chapter 15 | Verse 1] Now the allotment for the clans of the tribe of Judah extended to the border of Edom, to the Wilderness of Zin at the extreme southern boundary:
[BSB | EN | OT | Joshua | Chapter 15 | Verse 37] Zenan, Hadashah, Migdal-gad,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 38] Dilan, Mizpeh, Joktheel,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 39] Lachish, Bozkath, Eglon,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 40] Cabbon, Lahmas, Chitlish,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 41] Gederoth, Beth-dagon, Naamah, and Makkedah—sixteen cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 42] Libnah, Ether, Ashan,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 43] Iphtah, Ashnah, Nezib,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 44] Keilah, Achzib, and Mareshah—nine cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 45] Ekron, with its towns and villages;
[BSB | EN | OT | Joshua | Chapter 15 | Verse 46] from Ekron to the sea, all the cities near Ashdod, along with their villages;
[BSB | EN | OT | Joshua | Chapter 15 | Verse 47] Ashdod, with its towns and villages; Gaza, with its towns and villages, as far as the Brook of Egypt and the coastline of the Great Sea.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 48] These were in the hill country: Shamir, Jattir, Socoh,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 49] Dannah, Kiriath-sannah (that is, Debir),
[BSB | EN | OT | Joshua | Chapter 15 | Verse 50] Anab, Eshtemoh, Anim,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 51] Goshen, Holon, and Giloh—eleven cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 52] Arab, Dumah, Eshan,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 53] Janim, Beth-tappuah, Aphekah,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 54] Humtah, Kiriath-arba (that is, Hebron), and Zior—nine cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 55] Maon, Carmel, Ziph, Juttah,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 56] Jezreel, Jokdeam, Zanoah,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 57] Kain, Gibeah, and Timnah—ten cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 58] Halhul, Beth-zur, Gedor,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 59] Maarath, Beth-anoth, and Eltekon—six cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 60] Kiriath-baal (that is, Kiriath-jearim), and Rabbah—two cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 61] These were in the wilderness: Beth-arabah, Middin, Secacah,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 62] Nibshan, the City of Salt, and En-gedi—six cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 63] But the descendants of Judah could not drive out the Jebusites living in Jerusalem. So to this day the Jebusites live there among the descendants of Judah.
