[BBE | EN | OT | Genesis | Chapter 31 | Verse 1] Now it came to the ears of Jacob that Laban's sons were saying, Jacob has taken away all our father's property, and in this way he has got all this wealth.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 22] And on the third day Laban had news of Jacob's flight.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 23] And taking the men of his family with him, he went after him for seven days and overtook him in the hill-country of Gilead.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 24] Then God came to Laban in a dream by night, and said to him, Take care that you say nothing good or bad to Jacob.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 25] Now when Laban overtook him, Jacob had put up his tent in the hill-country; and Laban and his brothers put up their tents in the hill-country of Gilead.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 26] And Laban said to Jacob, Why did you go away secretly, taking my daughters away like prisoners of war?
[BBE | EN | OT | Genesis | Chapter 31 | Verse 27] Why did you make a secret of your flight, not giving me word of it, so that I might have sent you away with joy and songs, with melody and music?
[BBE | EN | OT | Genesis | Chapter 31 | Verse 28] You did not even let me give a kiss to my sons and my daughters. This was a foolish thing to do.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 29] It is in my power to do you damage: but the God of your father came to me this night, saying, Take care that you say nothing good or bad to Jacob.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 30] And now, it seems, you are going because your heart's desire is for your father's house; but why have you taken my gods?
[BBE | EN | OT | Genesis | Chapter 31 | Verse 31] And Jacob, in answer, said to Laban, My fear was that you might take your daughters from me by force.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 32] As for your gods, if anyone of us has them, let him be put to death: make search before us all for what is yours, and take it. For Jacob had no knowledge that Rachel had taken them.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 33] So Laban went into Jacob's tent and into Leah's tent, and into the tents of the two servant-women, but they were not there; and he came out of Leah's tent and went into Rachel's.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 34] Now Rachel had taken the images, and had put them in the camels' basket, and was seated on them. And Laban, searching through all the tent, did not come across them.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 35] And she said to her father, Let not my lord be angry because I do not get up before you, for I am in the common condition of women. And with all his searching, he did not come across the images.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 36] Then Jacob was angry with Laban, and said, What crime or sin have I done that you have come after me with such passion?
[BBE | EN | OT | Genesis | Chapter 31 | Verse 37] Now that you have made search through all my goods, what have you seen which is yours? Make it clear now before my people and your people, so that they may be judges between us.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 38] These twenty years I have been with you; your sheep and your goats have had young without loss, not one of your he-goats have I taken for food.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 39] Anything which was wounded by beasts I did not take to you, but myself made up for the loss of it; you made me responsible for whatever was taken by thieves, by day or by night.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 40] This was my condition, wasted by heat in the day and by the bitter cold at night; and sleep went from my eyes.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 41] These twenty years I have been in your house; I was your servant for fourteen years because of your daughters, and for six years I kept your flock, and ten times was my payment changed.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 42] If the God of my father, the God of Abraham and the Fear of Isaac, had not been with me, you would have sent me away with nothing in my hands. But God has seen my troubles and the work of my hands, and this night he kept you back.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 43] Then Laban, answering, said, These women are my daughters and these children my children, the flocks and all you see are mine: what now may I do for my daughters and for their children?
[BBE | EN | OT | Genesis | Chapter 31 | Verse 44] Come, let us make an agreement, you and I; and let it be for a witness between us.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 45] Then Jacob took a stone and put it up as a pillar.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 46] And Jacob said to his people, Get stones together; and they did so; and they had a meal there by the stones.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 47] And the name Laban gave it was Jegar-sahadutha: but Jacob gave it the name of Galeed.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 48] And Laban said, These stones are a witness between you and me today. For this reason its name was Galeed,
[BBE | EN | OT | Genesis | Chapter 31 | Verse 49] And Mizpah, for he said, May the Lord keep watch on us when we are unable to see one another's doings.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 50] If you are cruel to my daughters, or if you take other wives in addition to my daughters, then though no man is there to see, God will be the witness between us.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 51] And Laban said, See these stones and this pillar which I have put between you and me;
[BBE | EN | OT | Genesis | Chapter 31 | Verse 52] They will be witness that I will not go over these stones to you, and you will not go over these stones or this pillar to me, for any evil purpose.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 53] May the God of Abraham and the God of Nahor, the God of their father, be our judge. Then Jacob took an oath by the Fear of his father Isaac.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 54] And Jacob made an offering on the mountain, and gave orders to his people to take food: so they had a meal and took their rest that night on the mountain.
