[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 1] Thus sayth the Lord, Beholde, I wil raise vp against Babel, and against the inhabitants that lift vp their heart against me, a destroying wind,
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 27] Set vp a standard in the lande: blowe the trumpets among the nations: prepare the nations against her: call vp the kingdomes of Ararat, Minni, and Ashchenaz against her: appoynt the prince against her: cause horses to come vp as the rough caterpillers.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 28] Prepare against her the nations with the Kings of the Medes, the dukes thereof, and the princes thereof, and all the land of his dominion.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 29] And the land shall tremble and sorow: for the deuise of the Lord shalbe performed against Babel, to make the lande of Babel waste without an inhabitant.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 30] The strong men of Babel haue ceased to fight: they haue remayned in their holdes: their strength hath fayled, and they were like women: they haue burnt her dwelling places, and her barres are broken.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 31] A post shall runne to meete the post, and a messenger to meete the messenger, to shew the King of Babel, that his citie is taken on a side thereof,
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 32] And that the passages are stopped, and the reedes burnt with fire, and the me of war troubled.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 33] For thus sayth the Lord of hosts the God of Israel, the daughter of Babel is like a threshing floore: the time of her threshing is come: yet a litle while, and the time of her haruest shall come.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 34] Nebuchad-nezzar the King of Babel hath deuoured me, and destroyed me: he hath made me an emptie vessel: he swallowed mee vp like a dragon, and filled his belly with my delicates, and hath cast me out.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 35] The spoyle of me, and that which was left of me, is brought vnto Babel, shall the inhabitant of Zion say: and my blood vnto the inhabitantes of Caldea, shall Ierusalem say.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 36] Therefore thus sayth the Lord, Beholde, I will maintayne thy cause, and take vengeance for thee, and I will drie vp the sea, and drie vp her springes.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 37] And Babel shall be as heapes, a dwelling place for dragons, an astonishment, and an hissing, without an inhabitant.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 38] They shall rore together like lions, and yell as the lyons whelpes.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 39] In their heate I will make them feastes, and I wil make them drunken, that they may reioyce, and sleepe a perpetual sleepe, and not wake, sayth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 40] I wil bring them downe like lambes to the slaughter, and like rams and goates.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 41] How is Sheshach taken! and howe is the glory of the whole earth taken! how is Babel become an astonishment among the nations!
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 42] The sea is come vp vpon Babel: he is couered with the multitude of the waues thereof.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 43] Her cities are desolate: the land is dry and a wildernes, a land wherein no man dwelleth, neither doth the sonne of man passe thereby.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 44] I wil also visite Bel in Babel, and I wil bring out of his mouth, that which he hath swallowed vp, and the nations shall runne no more vnto him, and the wall of Babel shall fall.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 45] My people, go out of the middes of her, and deliuer yee euery man his soule from the fierce wrath of the Lord,
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 46] Least your heart euen faynt, and ye feare the rumour, that shalbe heard in the land: the rumour shall come this yeere, and after that in the other yeere shall come a rumour, and crueltie in the land, and ruler against ruler.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 47] Therefore beholde, the dayes come, that I will visite the images of Babel, and the whole land shalbe confounded, and all her slayne shall fall in the middes of her.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 48] Then the heauen and the earth, and all that is therein, shall reioyce for Babel: for the destroyers shall come vnto her from the North, saith the Lord.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 49] As Babel caused the slaine of Israel to fal, so by Babel the slaine of all the earth did fall.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 50] Ye that haue escaped the sworde, goe away, stand not still: remember the Lord a farre of, and let Ierusalem come into your minde.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 51] Wee are confounded because wee haue heard reproch: shame hath couered our faces, for straungers are come into the Sanctuaries of the Lordes House.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 52] Wherefore behold, the dayes come, sayth the Lord, that I will visite her grauen images, and through all her land the wounded shall grone.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 53] Though Babel should mount vp to heauen, and though shee should defend her strength on hye, yet from mee shall her destroyers come, sayth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 54] A sound of a cry commeth from Babel, and great destruction from the land of the Caldeans,
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 55] Because the Lord hath layde Babel waste and destroyed from her the great voyce, and her waues shall roare like great waters, and a sounde was made by their noyse:
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 56] Because the destroyer is come vpon her, euen vpon Babel, and her strong men are taken, their bowes are broken: for the Lord God that recompenceth, shall surely recompence.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 57] And I will make drunke her princes, and her wise men, her dukes, and her nobles, and her strong men: and they shall sleepe a perpetuall sleepe, and not wake, sayth the King, whose Name is the Lord of hostes.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 58] Thus saith the Lord of hostes, The thicke wall of Babel shalbe broken, and her hie gates shall be burnt with fire, and the people shall labour in vaine, and the folke in ye fire, for they shalbe weary.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 59] The worde which Ieremiah the Prophet commanded Sheraiah the sonne of Neriiah, the sonne of Maaseiah, when he went with Zedekiah the King of Iudah into Babel, in the fourth yeere of his reigne: and this Sheraiah was a peaceable prince.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 60] So Ieremiah wrote in a booke all the euill that should come vpon Babel: euen al these things, that are written against Babel.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 61] And Ieremiah sayd to Sheraiah, Whe thou commest vnto Babel, and shalt see, and shalt reade all these wordes,
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 62] Then shalt thou say, O Lord, thou hast spoken against this place, to destroy it, that none should remaine in it, neither man nor beast, but that it should be desolate for euer.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 63] And when thou hast made an ende of reading this booke, thou shalt binde a stone to it, and cast it in the middes of Euphrates,
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 64] And shalt say, Thus shall Babel be drowned, and shall not rise from the euil, that I will bring vpon her: and they shall be weary. Thus farre are the wordes of Ieremiah.
