[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 1] Concerning Moab, thus saith ye Lord of hostes, the God of Israel, Woe vnto Nebo: for it is wasted: Kiriathaim is confounded and taken: Misgab is confounded and afraide.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 14] Howe thinke you thus, We are mightie and strong men of warre?
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 15] Moab is destroyed, and his cities burnt vp, and his chose yong men are gone downe to slaughter, saith ye King, whose name is ye Lord of hostes.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 16] The destruction of Moab is ready to come, and his plague hasteth fast.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 17] All ye that are about him, mourne for him, and all ye that knowe his name, say, Howe is the strong staffe broken, and the beautifull rod!
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 18] Thou daughter that doest inhabite Dibon, come downe from thy glory, and sit in thirst: for the destroyer of Moab shall come vpon thee, and he shall destroy thy strong holdes.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 19] Thou that dwellest in Aroer, stand by the way, and beholde: aske him that fleeth and that escapeth, and say, What is done?
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 20] Moab is cofouded: for it is destroied: howle, and cry, tell ye it in Arnon, that Moab is made waste,
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 21] And iudgement is come vpon the plaine countrey, vpon Holon and vpon Iahazah, and vpon Mephaath,
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 22] And vpon Dibon, and vpon Nebo, and vpon the house of Diblathaim,
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 23] And vpon Kiriathaim, and vpon Beth-gamul, and vpon Beth-meon,
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 24] And vpon Kerioth, and vpon Bozrah, and vpon all the cities of ye land of Moab farre or neere.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 25] The horne of Moab is cut off, and his arme is broken, saith the Lord.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 26] Make ye him drunken: for he magnified himselfe against the Lord: Moab shall wallowe in his vomite, and he also shalbe in derision.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 27] For diddest not thou deride Israel, as though he had bene found among theeues? for when thou speakest of him, thou art moued.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 28] O ye that dwell in Moab, leaue the cities, and dwell in the rockes, and be like the doue, that maketh her nest in the sides of the holes mouth.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 29] We haue heard the pride of Moab (hee is exceeding proude) his stoutnesse, and his arrogancie, and his pride, and the hautinesse of his heart.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 30] I know his wrath, saith ye Lord, but it shall not be so: and his dissimulatios, for they do not right.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 31] Therefore will I howle for Moab, and I will crie out for all Moab: mine heart shall mourne for the men of Kir-heres.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 32] O vine of Sibmah, I will weepe for thee, as I wept for Iazer: thy plants are gone ouer the sea, they are come to the sea of Iazer: ye destroyer is fallen vpon thy somer fruites, and vpon thy vintage,
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 33] And ioye, and gladnesse is taken from the plentifull fielde, and from the land of Moab: and I haue caused wine to faile from the winepresse: none shall treade with shouting: their shouting shall be no shouting.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 34] From the cry of Heshbon vnto Elaleh and vnto Iahaz haue they made their noyse from Zoar vnto Horonaim, ye heiffer of three yere old shall go lowing: for ye waters also of Nimrim shalbe wasted.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 35] Moreouer, I will cause to cease in Moab, saith the Lord, him that offered in the high places, and him that burneth incense to his gods.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 36] Therefore mine heart shall sounde for Moab like a shaume, and mine heart shall sound like a shaume for the men of Ker-heres, because the riches that he hath gotten, is perished.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 37] For euery head shalbe balde, and euery beard plucked: vpon all the handes shall be cuttings, and vpon the loynes sackecloth.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 38] And mourning shall be vpon all the house toppes of Moab and in all the streetes thereof: for I haue broken Moab like a vessell wherein is no pleasure, sayeth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 39] They shall howle, saying, How is he destroyed? howe hath Moab turned the backe with shame? so shall Moab be a derision, and a feare to all them about him.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 40] For thus saith the Lord, Beholde, he shall flee as an eagle, and shall spread his wings ouer Moab.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 41] The cities are taken, and the strong holdes are wonne, and ye mightie mens hearts in Moab at that day shalbe as ye heart of a woman in trauaile.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 42] And Moab shall be destroyed from being a people, because he hath set vp himselfe against the Lord.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 43] Feare, and pit and snare shall be vpon thee, O inhabitant of Moab, saith the Lord.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 44] He that escapeth from the feare, shall fall in the pit, and he that getteth vp out of the pit, shall be taken in the snare: for I will bring vpon it, euen vpon Moab, the yeere of their visitation, sayeth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 45] They that fled, stoode vnder the shadowe of Heshbon, because of the force: for the fire came out of Heshbon, and a flame from Sihon, and deuoured the corner of Moab, and the top of the seditious children.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 46] Wo be vnto thee, O Moab: the people of Chemosh perisheth: for thy sonnes are taken captiues, and thy daughters led into captiuitie.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 47] Yet will I bring againe the captiuitie of Moab in the latter dayes, sayeth the Lord. Thus farre of the iudgement of Moab.
