[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 1] The woordes that came to Ieremiah from the Lord, saying,
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 19] Doe they prouoke me to anger, sayeth the Lord, and not themselues to the confusion of their owne faces?
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 20] Therefore thus sayeth the Lord God, Beholde, mine anger and my wrath shall be powred vpon this place, vpon man and vpon beast, and vpon the tree of the fielde, and vpon the fruite of the grounde, and it shall burne and not bee quenched.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 21] Thus sayth the Lord of hostes, the God of Israel, Put your burnt offerings vnto your sacrifices, and eat the flesh.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 22] For I spake not vnto your fathers, nor commanded them, when I brought them out of the land of Egypt, concerning burnt offrings and sacrifices.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 23] But this thing commanded I them, saying, Obey my voyce, and I will be your God, and yee shalbe my people: and walke yee in all the wayes which I haue commanded you, that it may be well vnto you.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 24] But they would not obey, nor incline their eare, but went after the counsels and the stubbernesse of their wicked heart, and went backewarde and not forwarde.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 25] Since the day that your fathers came vp out of the lande of Egypt, vnto this day, I haue euen sent vnto you al my seruants the Prophets, rising vp earely euery day, and sending them.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 26] Yet would they not heare me nor encline their eare, but hardened their necke and did worse then their fathers.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 27] Therefore shalt thou speake al these words vnto them, but they will not heare thee: thou shalt also crie vnto them, but they will not answere thee.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 28] But thou shalt say vnto them, This is a nation that heareth not the voice of the Lord their God, nor receiueth discipline: trueth is perished, and is cleane gone out of their mouth.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 29] Cut off thine heare, O Ierusalem, and cast it away, and take vp a complaint on the hie places: for the Lord hath reiected and forsaken the generation of his wrath.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 30] For the children of Iudah haue done euill in my sight, sayth the Lord: they haue set their abominations in the House, whereupon my Name is called, to pollute it.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 31] And they haue built the hie place of Topheth, which is in the valley of Ben-Hinnom to burne their sonnes and their daughters in the fire, which I commanded them not, neither came it in mine heart.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 32] Therefore beholde, the dayes come, sayeth the Lord, that it shall no more be called Topheth, nor the valley of Ben-Hinnom, but the valley of slaughter: for they shall burie in Topheth til there be no place.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 33] And ye carkeises of this people shalbe meat for the foules of the heauen and for the beastes of the earth, and none shall fraie them away.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 34] Then I will cause to cease from the cities of Iudah and from the streetes of Ierusalem the voice of mirth and the voice of gladnesse, the voice of the bridegrom and the voice of the bride: for the lande shalbe desolate.
