[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 1] Moreover, the woorde of the Lord came vnto me, saying,
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 18] And what hast thou now to do in the way of Egypt? to drinke the water of Nilus? or what makest thou in the way of Asshur? to drinke the water of the Riuer?
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 19] Thine owne wickednes shall correct thee, and thy turnings backe shall reprooue thee: know therefore and beholde, that it is an euil thing, and bitter, that thou hast forsaken the Lord thy God, and that my feare is not in thee, sayeth the Lord God of hostes.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 20] For of olde time I haue broken thy yoke, and burst thy bondes, and thou saidest, I will no more transgresse, but like an harlot thou runnest about vpon al hie hilles, and vnder all greene trees.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 21] Yet I had planted thee, a noble vine, whose plants were all natural: howe then art thou turned vnto me into the plants of a strange vine?
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 22] Though thou wash thee with nitre, and take thee much sope, yet thine iniquitie is marked before me, sayeth the Lord God.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 23] Howe canst thou say, I am not polluted, neither haue I followed Baalim? beholde thy waies in the valley, and know, what thou hast done: thou art like a swift dromedarie, that runneth by his waies.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 24] And as a wilde asse, vsed to the wildernesse, that snuffeth vp the winde by occasion at her pleasure: who can turne her backe? all they that seeke her, will not wearie themselues, but wil finde her in her moneth.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 25] Keepe thou thy feete from barenes, and thy throte from thirst: but thou saidest desperately, No, for I haue loued strangers, and them will I follow.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 26] As the theefe is ashamed, when he is foud, so is the house of Israel ashamed, they, their kings, their princes and their Priests, and their Prophets,
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 27] Saying to a tree, Thou art my father, and to a stone, Thou hast begotten me: for they haue turned their back vnto me, and not their face: but in ye time of their troble they wil say, Arise, and help vs.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 28] But where are thy gods, that thou hast made thee? let them arise, if they can helpe thee in the time of thy trouble: for according to the nomber of thy cities, are thy gods, O Iudah.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 29] Wherefore wil ye pleade with me? ye all haue rebelled against me, sayeth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 30] I haue smitten your children in vaine, they receiued no correction: your owne sworde hath deuoured your Prophets like a destroying lyon.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 31] O generation, take heede to the worde of the Lord: haue I bene as a wildernesse vnto Israel? or a lande of darkenesse? Wherefore sayeth my people then, We are lordes, we will come no more vnto thee?
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 32] Can a maid forget her ornament, or a bride her attire? yet my people haue forgotten me, daies without number.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 33] Why doest thou prepare thy way, to seeke amitie? euen therefore will I teach thee, that thy waies are wickednesse.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 34] Also in thy wings is founde the bloud of the soules of ye poore innocents: I haue not found it in holes, but vpon all these places.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 35] Yet thou saiest, Because I am giltles, surely his wrath shall turne from mee: beholde, I will enter with thee into iudgement, because thou saiest, I haue not sinned.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 36] Why runnest thou about so much to change thy waies? for thou shalt be confounded of Egypt, as thou art confounded of Asshur.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 37] For thou shalt goe foorth from thence, and thine hands vpon thine head, because the Lord hath reiected thy confidence, and thou shalt not prosper thereby.
