[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 1] Unto the children of Ammon thus saith the Lord, Hath Israel no sonnes? or hath he none heire? Why then hath their king possessed God? and his people dwelt in his cities?
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 24] Damascus is discouraged, and turneth her selfe to flight and feare hath seased her: anguish and sorowes haue taken her as a woman in trauaile.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 25] How is the glorious citie not reserued, the citie of my ioy?
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 26] Therefore her yong men shall fall in her streetes, and all her men of warre shall be cut off in that day, sayeth the Lord of hostes.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 27] And I will kindle a fire in the wall of Damascus, which shall cosume the palaces of Benhadad.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 28] Vnto Kedar, and to the kingdomes of Hazor, which Nebuchad-nezzar, king of Babel shall smite, thus sayeth the Lord, Arise, and goe vp vnto Kedar, and destroy the men of the East.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 29] Their tents and their flocks shall they take away: yea, they shall take to themselues their curtaines and all their vessels, and their camels, and they shall crie vnto them, Feare is on euery side.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 30] Flee, get you farre off (they haue consulted to dwell) O ye inhabitants of Hazor, saith the Lord: for Nebuchad-nezzar King of Babel hath taken counsell against you, and hath deuised a purpose against you.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 31] Arise, and get you vp vnto the welthy nation that dwelleth without care, saith the Lord, which haue neither gates nor barres, but dwel alone.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 32] And their camels shall be a bootie, and the multitude of their cattel a spoile, and I will scatter them into all windes, and to the vtmost corners, and I will bring their destruction from al the sides thereof, sayeth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 33] And Hazor shall be a dwelling for dragons, and desolation for euer: there shall no man dwell there, nor the sonnes of men remaine in it.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 34] The woordes of the Lord that came to Ieremiah the Prophet, concerning Elam, in the beginning of the reigne of Zedekiah King of Iudah, saying,
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 35] Thus sayeth the Lord of hostes, Beholde, I will breake the bowe of Elam, euen the chiefe of their strength.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 36] And vpon Elam I will bring the foure windes from the foure quarters of heauen, and will scatter them towardes all these windes, and there shall bee no nation, whither the fugitiues of Elam shall not come.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 37] For I will cause Elam to be afraied before their enemies, and before them that seeke their liues, and will bring vpon them a plague, euen the indignation of my wrath, saieth the Lord, and I wil sende the sworde after them till I haue consumed them.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 38] And I wil set my throne in Elam, and I wil destroy both the King and the princes from thence, saith the Lord: but in the latter daies I wil bring againe the captiuitie of Elam, sayeth the Lord.
