[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 1] ಆದಾಮನ ಸಂತಾನದವರು; ಸೇತ್, ಎನೋಷ್,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 16] ಅರ್ವಾದಿಯರೂ, ಚೆಮಾರಿಯರೂ ಮತ್ತು ಹಮಾತಿಯರೂ ಕಾನಾನನಿಂದ ಹುಟ್ಟಿದವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 17] ಶೇಮನ ಸಂತಾನದವರು: ಏಲಾಮ್, ಅಶ್ಶೂರ್, ಅರ್ಪಕ್ಷದ್, ಲೂದ್, ಅರಾಮ್, ಊಚ್, ಹೂಲ್, ಗೆತೆರ್ ಮತ್ತು ಮೆಷೆಕ್ ಎಂಬುವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 18] ಅರ್ಪಕ್ಷದನಿಂದ ಶೆಲಹನೂ ಮತ್ತು ಶೆಳಹನಿಂದ ಏಬೆರನೂ ಹುಟ್ಟಿದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 19] ಏಬೆರನಿಗೆ ಇಬ್ಬರು ಮಕ್ಕಳು ಹುಟ್ಟಿದರು. ಒಬ್ಬನಿಗೆ ಪೆಲೆಗ್ (ವಿಂಗಡನೆ) ಎಂಬ ಹೆಸರು. ಇವನ ಕಾಲದಲ್ಲಿ ಭೂಮಿಯ ಜನರು ವಿಂಗಡಿಸಲ್ಪಟ್ಟರು. ಇವನ ತಮ್ಮನ ಹೆಸರು ಯೊಕ್ತಾನ್.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 20] ಯೋಕ್ತಾನನ ಸಂತಾನದವರು: ಅಲ್ಮೋದಾದ್, ಶೆಲೆಫ್, ಹಚರ್ಮಾವೆತ್, ಯೆರಹ,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 21] ಹದೋರಾಮ್, ಊಜಾಲ್, ದಿಕ್ಲ,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 22] ಎಬಾಲ್, ಅಬೀಮಾಯೇಲ್, ಶೆಬಾ,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 23] ಓಫೀರ್, ಹವೀಲಾ ಮತ್ತು ಯೋಬಾಬ್ ಎಂಬುವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 24] ಶೇಮನ ಸಂತಾನದವರು: ಅರ್ಪಕ್ಷದ್, ಶೆಲಹ,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 25] ಏಬೆರ್, ಪೆಲೆಗ್, ರೆಯೂ,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 26] ಸೆರೂಗ್, ನಾಹೋರ್, ತೆರಹ,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 27] ಅಬ್ರಾಮ್ ಎಂಬ ಹೆಸರು ಹೊಂದಿದ ಅಬ್ರಹಾಮ ಎಂಬುವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 28] ಅಬ್ರಹಾಮನ ಮಕ್ಕಳು: ಇಸಾಕ ಮತ್ತು ಇಷ್ಮಾಯೇಲ್.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 29] ಇಷ್ಮಾಯೇಲರ ವಂಶಾವಳಿ: ಇಷ್ಮಾಯೇಲನಿಗೆ ಮೊದಲು ಹುಟ್ಟಿದವನು ನೆಬಾಯೋತ್, ಆ ಮೇಲೆ ಹುಟ್ಟಿದವರು ಕೇದಾರ್, ಅದ್ಬೆಯೇಲ್, ಮಿಬ್ಸಾಮ್,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 30] ಮಿಷ್ಮ, ದೂಮಾ, ಮಸ್ಸ, ಹದದ್, ತೇಮ,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 31] ಯೆಟೂರ್, ನಾಫೀಷ್ ಮತ್ತು ಕೇದೆಮ್ ಎಂಬುವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 32] ಅಬ್ರಹಾಮನ ಉಪಪತ್ನಿಯಾದ ಕೆಟೂರಳ ಸಂತಾನದವರು: ಜಿಮ್ರಾನ್, ಯೊಕ್ಷಾನ್, ಮೆದಾನ್, ಮಿದ್ಯಾನ್, ಇಷ್ಬಾಕ್ ಮತ್ತು ಶೂಹ ಎಂಬವರು. ಯೊಕ್ಷಾನನು ಶೆಬಾ ಮತ್ತು ದೆದಾನ್ ಎಂಬವರನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 33] ಏಫ, ಏಫೆರ್, ಹನೋಕ್, ಅಬೀದ, ಎಲ್ದಾಯ ಎಂಬವರು ಮಿದ್ಯಾನನಿಂದ ಹುಟ್ಟಿದವರು. ಇವರೆಲ್ಲರೂ ಕೆಟೂರಳ ಸಂತತಿಯವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 34] ಅಬ್ರಹಾಮನು ಸಾರಳಿಂದ ಇಸಾಕನನ್ನು ಪಡೆದನು. ಏಸಾವ ಮತ್ತು ಇಸ್ರಾಯೇಲ್ ಇಸಾಕನ ಮಕ್ಕಳು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 35] ಏಸಾವನ ವಂಶಸ್ಥರು ಯಾರೆಂದರೆ ಎಲೀಫಜ್, ರೆಯೂವೇಲ್, ಯೆಯೂಷ್, ಯಳಾಮ್ ಮತ್ತು ಕೋರಹ ಇವರೇ.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 36] ಎಲೀಫಜನ ಮಕ್ಕಳು: ತೇಮಾನ್, ಓಮಾರ್, ಜೆಫೀ, ಗತಾಮ್, ಕೆನಜ್; ತಿಮ್ನ ಮತ್ತು ಅಮಾಲೇಕ್ ಎಂಬವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 37] ರೆಯೂವೇಲನ ಮಕ್ಕಳು: ನಹತ್, ಜೆರಹ, ಶಮ್ಮ ಮತ್ತು ಮಿಜ್ಜ.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 38] ಸೇಯೀರನಿಂದ ಹುಟ್ಟಿದವರು ಲೋಟಾನ್, ಶೋಬಾಲ್, ಚಿಬ್ಬೋನ್, ಅನಾಹ, ದೀಶೋನ್, ಏಚೆರ್ ಮತ್ತು ದೀಶಾನ್ ಸೇಯೀರನ ಮಕ್ಕಳು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 39] ಲೋಟಾನನ ಮಕ್ಕಳು ಹೋರೀ ಮತ್ತು ಹೋಮಾಮ್. ಲೋಟಾನನ ತಂಗಿ ತಿಮ್ನ.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 40] ಶೋಬಾಲನ ಮಕ್ಕಳು ಅಲ್ಯಾನ್, ಮಾನಹತ್, ಏಬಾಲ್, ಶೆಫೀ ಮತ್ತು ಓನಾಮ್. ಚಿಬ್ಬೋನನ ಮಕ್ಕಳು ಅಯ್ಯಾಹ ಮತ್ತು ಅನಾಹ.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 41] ಅನಾಹನ ಮಗನು ದೀಶೋನ್. ದೀಶೋನನ ಮಕ್ಕಳು ಹಮ್ರಾನ್, ಎಷ್ಬಾನ್, ಇತ್ರಾನ್ ಮತ್ತು ಕೆರಾನ್.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 42] ಏಚೆರನ ಮಕ್ಕಳು ಬಿಲ್ಹಾನ್, ಜಾವಾನ್ ಮತ್ತು ಯಾಕಾನ್. ದೀಶಾನನ ಮಕ್ಕಳು ಊಚ್ ಮತ್ತು ಅರಾನ್.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 43] ಇಸ್ರಾಯೇಲರ ಅರಸರು ಆಳ್ವಿಕೆ ಮಾಡುವುದಕ್ಕಿಂತ ಮೊದಲು ಎದೋಮ್ ದೇಶದಲ್ಲಿ ಅರಸರು ಆಳುತ್ತಿದ್ದರು. ಇವರಲ್ಲಿ ಬೆಯೋರನ ಮಗನಾದ ಬೆಳನು ಮೊದಲನೆಯವನು. ಅವನ ರಾಜಧಾನಿ ಹೆಸರು ದಿನ್ಹಾಬಾ.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 44] ಬೆಳನು ಸತ್ತ ನಂತರ ಬೊಚ್ರದವನಾದ ಜೆರಹನ ಮಗ ಯೋಬಾಬನು ಅಧಿಪತ್ಯಕ್ಕೆ ಬಂದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 45] ಯೋಬಾಬನು ಸತ್ತ ಮೇಲೆ ತೇಮಾನೀಯರ ದೇಶದವನಾದ ಹುಷಾಮನು ಆಳ್ವಿಕೆ ಮಾಡಿದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 46] ಹುಷಾಮನು ಸತ್ತ ಮೇಲೆ ಮೋವಾಬ್ಯರ ಬೈಲಿನಲ್ಲಿ ಮಿದ್ಯಾನರನ್ನು ಸೋಲಿಸಿದ ಬೆದದನ ಮಗನಾದ ಹದದನು ಅರಸನಾದನು. ಅವನ ರಾಜಧಾನಿಯ ಹೆಸರು ಅವೀತ್.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 47] ಹದದನು ಸತ್ತ ಮೇಲೆ ಮಸ್ರೇಕದವನಾದ ಸಮ್ಲಾಹನು ಪಟ್ಟಕ್ಕೆ ಬಂದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 48] ಸಮ್ಲಾಹನು ಸತ್ತ ಮೇಲೆ ಯೂಫ್ರೆಟಿಸ್ ನದಿ ತೀರದಲ್ಲಿರುವ ರೆಹೋಬೋತ್ ಊರಿನ ಸೌಲನು ಅರಸನಾದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 49] ಸೌಲನು ಸತ್ತ ಮೇಲೆ ಅಕ್ಬೋರನ ಮಗನಾದ ಬಾಳ್ಹಾನಾನು ಅರಸನಾದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 50] ಬಾಳ್ಹಾನಾನ್ ಸತ್ತ ಮೇಲೆ ಹದದನು ಅರಸನಾದನು. ಅವನ ರಾಜಧಾನಿಯ ಹೆಸರು ಪಾಗೀ. ಅವನ ಹೆಂಡತಿಯ ಹೆಸರು ಮೆಹೇಟಬೇಲ್; ಆಕೆ ಮೇಜಾಹಾಬನ ಮಗಳಾದ ಮಟ್ರೇದಳ ಮಗಳು,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 51] ಹದದನು ಸತ್ತ ನಂತರ ಎದೋಮ್ಯ ಕುಲಪತಿಗಳಾದವರು ಯಾರೆಂದರೆ, ತಿಮ್ನ, ಅಲ್ಯ, ಯೆತೇತ್,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 52] ಒಹೋಲಿಬಾಮ, ಏಲ, ಪೀನೋನ್,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 53] ಕೆನೆಜ್, ತೇಮಾನ್, ಮಿಬ್ಚಾರ್,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 54] ಮಗ್ದೀಯೇಲ್ ಮತ್ತು ಇರಾಮ್ ಇವರೇ.
