[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 1] ಲೇವಿಯ ಮಕ್ಕಳು: ಗೇರ್ಷೋನ್, ಕೆಹಾತ್ ಮತ್ತು ಮೆರಾರೀ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 27] ನಹತನ ಮಗ ಎಲೀಯಾಬ್, ಇವನ ಮಗ ಯೆರೋಹಾಮ್, ಇವನ ಮಗ ಎಲ್ಕಾನ್.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 28] ಸಮುವೇಲನ ಮಕ್ಕಳು ಯೋವೇಲ್ ಚೊಚ್ಚಲ ಮಗನು ಮತ್ತು ಅಬೀಯನು ಎರಡನೆಯವನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 29] ಮೆರಾರೀಯ ಸಂತಾನದವರು. ಇವನ ಮಗ ಮಹ್ಲೀ. ಇವನ ಮಗ ಲಿಬ್ನೀ, ಇವನ ಮಗ ಶಿಮ್ಮೀ. ಶಿಮ್ಮೀಯ ಮಗನು ಉಜ್ಜ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 30] ಇವನ ಮಗನು ಶಿಮ್ಮಾ, ಇವನ ಮಗನು ಹಗ್ಗೀಯ, ಇವನ ಮಗನು ಅಸಾಯ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 31] ಮಂಜೂಷವು ವಿಶ್ರಾಂತಿಹೊಂದಿದ ಮೇಲೆ ದಾವೀದನಿಂದ ಯೆಹೋವನ ಆಲಯದಲ್ಲಿ ವಾದ್ಯ ಸೇವೆಗೆ ನೇಮಿಸಲ್ಪಟ್ಟವರ ಪಟ್ಟಿ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 32] ಸೊಲೊಮೋನನು ಯೆರೂಸಲೇಮಿನಲ್ಲಿ ಯೆಹೋವನ ಆಲಯವನ್ನು ಕಟ್ಟುವ ತನಕ ಅವರು ದೇವದರ್ಶನದ ಗುಡಾರವೆಂಬ ಆಲಯದ ಮುಂದೆ ತಮ್ಮ ಕ್ರಮಾನುಸಾರವಾಗಿ ವಾದ್ಯ ಸೇವೆಯನ್ನು ನಡೆಸುತ್ತಿದ್ದರು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 33] ದೇವಾಲಯದ ಸೇವಕರೂ ಅವರ ವಂಶಾವಳಿಯೂ: ಕೆಹಾತ್ಯನಾದ ಹೇಮಾನನು ಮೊದಲನೆಯವನು. ಪ್ರಥಮ ಸಂಗೀತ ಮಂಡಳಿಯ ಗಾಯಕನಾದ ಇವನು ಯೋವೇಲನ ಮಗ, ಇವನು ಸಮುವೇಲನ ಮಗ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 34] ಸಮುವೇಲನು ಎಲ್ಕಾನನ ಮಗ. ಇವನು ಯೆರೋಹಾಮನ ಮಗ, ಯೆರೋಹಾಮನು ಎಲೀಯೇಲನ ಮಗ, ಇವನು ತೋಹನ ಮಗ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 35] ತೋಹನು ಚೂಫನ ಮಗ, ಇವನು ಎಲ್ಕಾನನ ಮಗ, ಎಲ್ಕಾನನು ಮಹತನ ಮಗ, ಮಹತನನು ಅಮಾಸೈಯ ಮಗ, ಅಮಾಸೈಯನು ಎಲ್ಕಾನನ ಮಗ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 36] ಎಲ್ಕಾನನು ಯೋವೇಲನ ಮಗ, ಇವನು ಅಜರ್ಯನ ಮಗ. ಅಜರ್ಯನು ಚೆಫನ್ಯನ ಮಗ,
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 37] ಇವನು ತಹತನ ಮಗ. ತಹತನು ಅಸೀರನ ಮಗ, ಅಸ್ಸೀರನು ಎಬ್ಯಾಸಾಫನ ಮಗ, ಇವನು ಕೋರಹನ ಮಗ, ಕೋರಹನು ಇಚ್ಹಾರನ ಮಗ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 38] ಇಚ್ಹಾರನು ಕೆಹಾತನ ಮಗ, ಇವನು ಲೇವಿಯನ ಮಗ, ಲೇವಿಯು ಇಸ್ರಾಯೇಲನ ಮಗ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 39] ಇವನ ಬಲಗಡೆಯಲ್ಲಿ ನಿಲ್ಲುತ್ತಿದ್ದ ಇವನ ಸಹೋದರನಾದ ಆಸಾಫನು ಎರಡನೆಯವನು. ಇವನು ಬೆರೆಕ್ಯನ ಮಗ, ಇವನು ಶಿಮ್ಮನ ಮಗ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 40] ಶಿಮ್ಮನು ಮೀಕಾಯೇಲನ ಮಗ, ಇವನು ಬಾಸೇಯನ ಮಗ, ಬಾಸೇಯನು ಮಲ್ಕೀಯನ ಮಗ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 41] ಮಲ್ಕೀಯನು ಎತ್ನಿಯ ಮಗ, ಇವನು ಜೆರಹನ ಮಗ, ಜೆರಹನು ಅದಾಯನ ಮಗನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 42] ಅದಾಯನು ಏತಾನನ ಮಗ, ಇವನು ಜಿಮ್ಮನ ಮಗ, ಜಿಮ್ಮನು ಶಿಮ್ಮೀಯ ಮಗ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 43] ಶಿಮ್ಮೀಯು ಯಹತನ ಮಗ, ಇವನು ಗೇರ್ಷೋಮನ ಮಗ, ಗೇರ್ಷೋಮನು ಲೇವಿಯ ಮಗ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 44] ಇವನ ಎಡಗಡೆಯಲ್ಲಿ ನಿಲ್ಲುತ್ತಿದ್ದ ಇವನ ಸಹೋದರನೂ, ಮೆರಾರಿಯನೂ ಆದ ಏತಾನನು ಮೂರನೆಯವನು. ಇವನು ಕೀಷೀಯ ಮಗ, ಇವನು ಅಬ್ದೀಯನ ಮಗ, ಇವನು ಮಲ್ಲೂಕನ ಮಗ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 45] ಮಲ್ಲೂಕನು ಹಷಬ್ಯನ ಮಗ, ಇವನು ಅಮಚ್ಯನ ಮಗ, ಇವನು ಹಿಲ್ಕೀಯನ ಮಗ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 46] ಹಿಲ್ಕೀಯನು ಅಮ್ಚೀಯನ ಮಗ, ಇವನು ಬಾನೀಯನ ಮಗ, ಬಾನೀಯು ಶೆಮೆರನ ಮಗ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 47] ಶೆಮೆರನು ಮಹ್ಲೀಯ ಮಗ, ಇವನು ಮೂಷೀಯ ಮಗ. ಮೂಷೀಯು ಮೆರಾರಿಯ ಮಗ, ಮೆರಾರಿಯು ಲೇವಿಯ ಮಗನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 48] ಅವರ ಸಹೋದರರಾದ ಇತರ ಲೇವಿಯರು ದೇವಾಲಯದ ಗುಡಾರದ ಸೇವೆಗಾಗಿ ನೇಮಿಸಲ್ಪಟ್ಟರು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 49] ದೇವರ ಸೇವಕನಾದ ಮೋಶೆಯ ಎಲ್ಲಾ ಆಜ್ಞೆಗಳಿಗೆ ಅನುಸಾರವಾಗಿ ಆರೋನನೂ, ಅವನ ಮಕ್ಕಳೂ ಇಸ್ರಾಯೇಲರಿಗೋಸ್ಕರ ಯಜ್ಞವೇದಿ, ಧೂಪವೇದಿ ಇವುಗಳ ಮೇಲೆ ಹೋಮ ಮಾಡುತ್ತಾ, ಧೂಪ ಹಾಕುತ್ತಾ, ದೇವಾಲಯದ ಅತಿಪರಿಶುದ್ಧ ಸ್ಥಳದ ಎಲ್ಲಾ ಸೇವೆಯನ್ನು ಮಾಡುತ್ತಾ, ದೋಷಪರಿಹಾರ ಮಾಡುತ್ತಾ ಇದ್ದರು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 50] ಆರೋನನ ಸಂತಾನದವರು: ಆರೋನನ ಮಗ ಎಲ್ಲಾಜಾರ್, ಇವನ ಮಗ ಫೀನೆಹಾಸ್, ಫೀನೆಹಾಸನ ಮಗ ಅಬೀಷೂವ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 51] ಅಬೀಷೂವನ ಮಗ ಬುಕ್ಕೀ, ಬುಕ್ಕೀಯ ಮಗ ಉಜ್ಜೀ, ಇವನ ಮಗ ಜೆರಹ್ಯಾಹ, ಇವನ ಮಗ ಮೆರಾಯೋತ್.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 52] ಮೆರಾಯೋತನ ಮಗ ಅಮರ್ಯ, ಅಮರ್ಯನ ಮಗ ಅಹೀಟೂಬ್.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 53] ಅಹೀಟೂಬನ ಮಗ ಚಾದೋಕ್, ಇವನ ಮಗ ಅಹಿಮಾಚ್.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 54] ಲೇವಿಯರಿಗೆ ಸ್ವತ್ತಾಗಿ ದೊರಕಿದ ಪಟ್ಟಣಗಳು: ಆರೋನನ ಸಂತಾನದವರಾದ ಕೇಹಾತನ ಗೋತ್ರದವರಿಗೆ ಚೀಟು ಮೊದಲು ಬಿದ್ದಿತು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 55] ಆದುದರಿಂದ ಇಸ್ರಾಯೇಲರು ಅವರಿಗೆ ಯೆಹೂದ ಸೀಮೆಯ ಹೆಬ್ರೋನ್ ಪಟ್ಟಣವನ್ನೂ ಮತ್ತು ಅದರ ಸುತ್ತಲಿನ ಗೋಮಾಳಗಳನ್ನು ಕೊಟ್ಟರು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 56] ಆದರೆ ಅದರ ಹೊಲಗಳನ್ನೂ ಅದಕ್ಕೆ ಸೇರಿದ ಗ್ರಾಮಗಳನ್ನೂ, ಯೆಫುನ್ನೆಯನ ಮಗನಾದ ಕಾಲೇಬನಿಗೆ ಕೊಟ್ಟರು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 57] ಆರೋನನ ವಂಶದವರಿಗೆ ಹೆಬ್ರೋನ್ ಎಂಬ ಆಶ್ರಯ ನಗರವನ್ನು, ಲಿಬ್ನ ಮತ್ತು ಅದರ ಗೋಮಾಳಗಳು, ಯತ್ತೀರ್, ಎಷ್ಟೆಮೋವ, ಅವುಗಳ ಉಪನಗರಗಳೂ,
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 58] ಹೀಲೇನ್, ದೆಬೀರ್
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 59] ಆಷಾನ್, ಬೇತ್‌ಷೆಮೆಷ್‌ ಎಂಬ ಗೋಮಾಳ ಸಹಿತವಾದ ಪಟ್ಟಣಗಳನ್ನೂ,
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 60] ಬೆನ್ಯಾಮೀನನ ಕುಲದಿಂದ ಗೆಬ, ಅಲೆಮೆತ್, ಅನಾತೋತ್ ಎಂಬ ಗೋಮಾಳಸಹಿತವಾದ ಪಟ್ಟಣಗಳನ್ನೂ ಕೊಟ್ಟರು. ಅವರ ಕುಟುಂಬಗಳಿಗೆ ದೊರಕಿದ ಒಟ್ಟು ಪಟ್ಟಣಗಳು ಹದಿಮೂರು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 61] ಕೆಹಾತ್ಯರ ಉಳಿದ ಕುಟುಂಬಗಳಿಗೆ ಚೀಟು ಹಾಕುವುದರ ಮೂಲಕ ಮನಸ್ಸೆ ಕುಲದ ಸ್ವತ್ತಿನಿಂದ ಹತ್ತು ಪಟ್ಟಣಗಳು ದೊರಕಿದವು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 62] ಗೇರ್ಷೋಮ್ಯರ ಕುಟುಂಬಗಳಿಗೆ ಇಸ್ಸಾಕಾರ್, ಆಶೇರ್, ನಫ್ತಾಲಿ, ಬಾಷಾನಿನಲ್ಲಿರುವ ಮನಸ್ಸೆ ಕುಲಗಳ ಸ್ವತ್ತಿನಿಂದ ಹದಿಮೂರು ಪಟ್ಟಣಗಳು ದೊರಕಿದವು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 63] ಮೆರಾರೀ ಕುಟುಂಬಗಳಿಗೆ ರೂಬೇನ್, ಗಾದ್, ಜೆಬುಲೂನ್ ಕುಲಗಳ ಸ್ವತ್ತಿನಿಂದ ಹನ್ನೆರಡು ಪಟ್ಟಣಗಳು ಚೀಟು ಹಾಕುವುದರಿಂದ ದೊರಕಿದವು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 64] ಇಸ್ರಾಯೇಲರು ಲೇವಿಯರಿಗೆ ಆ ಪಟ್ಟಣಗಳನ್ನಲ್ಲದೆ ಅವುಗಳಿಗೆ ಸೇರಿದ ಗೋಮಾಳುಗಳನ್ನೂ ಕೊಟ್ಟರು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 65] ಅವರು ಚೀಟು ಹಾಕಿ ಯೆಹೂದ, ಸಿಮೆಯೋನ್ ಮತ್ತು ಬೆನ್ಯಾಮೀನನ ಕುಲಗಳಿಂದ ಮೇಲೆ ಹೇಳಿದ ಪಟ್ಟಣಗಳನ್ನೂ ಕೊಟ್ಟರು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 66] ಕೆಹಾತ್ಯರ ಕುಟುಂಬಗಳಿಗೆ ಎಫ್ರಾಯೀಮ್ಯರ ಸ್ವತ್ತಿನಿಂದ
