[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 1] ಇಸ್ರಾಯೇಲನ ಮಕ್ಕಳು ಯಾರೆಂದರೆ ರೂಬೇನ್, ಸಿಮೆಯೋನ್, ಲೇವಿ, ಯೆಹೂದ, ಇಸ್ಸಾಕಾರ್, ಜೆಬುಲೂನ್,
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 20] ಹೂರನು ಊರಿಯನನ್ನು ಪಡೆದನು; ಊರಿಯನು ಬೆಚಲೇಲನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 21] ಹೆಚ್ರೋನನು ಅರವತ್ತು ವರ್ಷದವನಾದಾಗ ಗಿಲ್ಯಾದ್ಯರ ಮೂಲಪುರುಷನಾದ ಮಾಕೀರನ ಮಗಳನ್ನು ಮದುವೆಮಾಡಿಕೊಂಡನು. ಆಕೆಯು ಅವನಿಂದ ಸೆಗೂಬನನ್ನು ಪಡೆದಳು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 22] ಸೆಗೂಬನು ಯಾಯೀರನನ್ನು ಪಡೆದನು; ಇವನಿಗೆ ಗಿಲ್ಯಾದ್ ದೇಶದಲ್ಲಿ ಇಪ್ಪತ್ತ್ಮೂರು ಪಟ್ಟಣಗಳು ಇದ್ದವು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 23] ಗೆಷೂರ್ಯರು ಮತ್ತು ಅರಾಮ್ಯರು ಯಾಯೀರನ ಸಂತಾನದವರಿಂದ ಯಾಯೀರಿನ ಗ್ರಾಮಗಳನ್ನೂ ಕೆನತ್ ಪ್ರಾಂತ್ಯದ ಗ್ರಾಮಗಳನ್ನು, ಒಟ್ಟು ಅರವತ್ತು ಸಂಸ್ಥಾನಗಳನ್ನು ಗೆದ್ದುಕೊಂಡರು. ಈ ಸಂಸ್ಥಾನದವರೆಲ್ಲರೂ ಗಿಲ್ಯಾದ್ಯರ ಮೂಲಪುರುಷನಾದ ಮಾಕೀರನ ಗೋತ್ರದವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 24] ಹೆಚ್ರೋನನು ಕಾಲೇಬನ ಎಫ್ರಾತದಲ್ಲಿ ಮರಣಹೊಂದಿದ ನಂತರ ಅವನ ಹೆಂಡತಿಯಾದ ಅಬೀಯ ಎಂಬಾಕೆಯು ಅಷ್ಹೂರನನ್ನು ಹೆತ್ತಳು. ಇವನು ತೆಕೋವದವರ ಮೂಲಪುರುಷನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 25] ಹೆಚ್ರೋನನ ಚೊಚ್ಚಲಮಗನಾದ ಯೆರಹ್ಮೇಲನಿಗೆ ಐದು ಮಕ್ಕಳು: ರಾಮ್ ಚೊಚ್ಚಲು ಮಗನು ಹಾಗೆಯೇ ಬೂನ, ಓರೆನ್, ಓಚೆಮ್, ಅಹೀಯ ಎಂಬುವರು ಅನಂತರ ಹುಟ್ಟಿದವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 26] ಯೆರಹ್ಮೇಲನಿಗೆ ಅಟಾರ ಎಂಬ ಇನ್ನೊಬ್ಬ ಹೆಂಡತಿಯಿದ್ದಳು. ಈಕೆಯು ಓನಾಮನ ತಾಯಿ.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 27] ಯೆರಹ್ಮೇಲನ ಚೊಚ್ಚಲ ಮಗನಾದ ರಾಮನ ಮಕ್ಕಳು ಮಾಚ್, ಯಾಮೀನ್ ಮತ್ತು ಏಕೆರ್ ಇವರೇ.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 28] ಓನಾಮನ ಮಕ್ಕಳು ಶಮ್ಮೈ ಮತ್ತು ಯಾದ ಎಂಬುವವರು. ಶಮ್ಮೈನ ಮಕ್ಕಳು ನಾದಾಬ್ ಮತ್ತು ಅಬಿಷೂರ್.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 29] ಅಬಿಷೂರನ ಹೆಂಡತಿಯ ಹೆಸರು ಅಬೀಹೈಲ್. ಈಕೆಯಲ್ಲಿ ಅಹ್ಬಾನ್ ಮತ್ತು ಮೊಲೀದ್ ಎಂಬುವವರು ಹುಟ್ಟಿದರು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 30] ನಾದಾಬನ ಮಕ್ಕಳು ಸೆಲೆದ್ ಮತ್ತು ಅಪ್ಪಯಿಮ್ ಎಂಬುವವರು. ಸೇಲೆದನು ಮಕ್ಕಳಿಲ್ಲದೆ ಸತ್ತುಹೋದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 31] ಅಪ್ಪಯಿಮನ ಮಗ ಇಷ್ಷೀ. ಇಷ್ಷೀಯನ ಮಗ ಶೇಷಾನ್. ಶೇಷಾನನ ಮಗ ಅಹ್ಲೈ.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 32] ಶಮ್ಮೈಯ ತಮ್ಮನಾದ ಯಾದನ ಮಕ್ಕಳು ಯೆತೆರ್ ಮತ್ತು ಯೋನಾತಾನ್ ಇವರೇ. ಯೆತೆರನು ಮಕ್ಕಳಿಲ್ಲದೆ ಸತ್ತನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 33] ಯೋನಾತಾನನ ಮಕ್ಕಳು ಪೆಲೆತ್ ಮತ್ತು ಜಾಜ ಎಂಬುವವರು. ಇವರೆಲ್ಲರೂ ಯೆರಹ್ಮೇಲನ ಸಂತಾನದವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 34] ಶೇಷಾನನಿಗೆ ಹೆಣ್ಣು ಮಕ್ಕಳಿದ್ದರೇ ಹೊರತು ಗಂಡು ಮಕ್ಕಳಿರಲಿಲ್ಲ. ಇದಲ್ಲದೆ ಅವನಿಗೆ ಯರ್ಹನೆಂಬ ಒಬ್ಬ ಐಗುಪ್ತ ಸೇವಕನಿದ್ದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 35] ಶೇಷಾನನು ತನ್ನ ಮಗಳನ್ನು ಸೇವಕನಾದ ಯರ್ಹನಿಗೆ ಮದುವೆಮಾಡಿಕೊಟ್ಟನು. ಆಕೆಯು ಅವನಿಂದ ಅತ್ತೈಯನ್ನು ಹೆತ್ತಳು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 36] ಅತ್ತೈ ನಾತಾನನನ್ನು ಪಡೆದನು; ನಾತಾನನು ಜಾಬಾದನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 37] ಜಾಬಾದನು ಎಫ್ಲಾಲನನ್ನು ಪಡೆದನು; ಎಫ್ಲಾಲನು ಓಬೇದನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 38] ಓಬೇದನು ಯೇಹೂವನ್ನು ಪಡೆದನು; ಯೇಹೂವು ಅಜರ್ಯನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 39] ಅಜರ್ಯನು ಹೆಲೆಚನನ್ನು ಪಡೆದನು; ಹೆಲೆಚನು ಎಲ್ಲಾಸನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 40] ಎಲ್ಲಾಸನು ಸಿಸ್ಮೈಯನ್ನು ಪಡೆದನು; ಸಿಸ್ಮೈಯು ಶಲ್ಲೂಮನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 41] ಶಲ್ಲೂಮನು ಯೆಕಮ್ಯಾಹನನ್ನು ಪಡೆದನು; ಯೆಕಮ್ಯಾಹನನು ಎಲೀಷಾಮನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 42] ಯೆರಹೇಲ್ಮನ ಸಹೋದರನಾದ ಕಾಲೇಬನ ಸಂತಾನದವರು: ಚೊಚ್ಚಲನು ಜೀಫ್ಯರ ಮೂಲಪುರುಷನಾದ ಮೇಷನು, ಎರಡನೆಯವನು ಮಾರೇಷನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 43] ಮಾರೇಷನು ಹೆಬ್ರೋನ್ಯರ ಮೂಲಪುರುಷನು. ಹೆಬ್ರೋನ್ಯರ ಮಕ್ಕಳು ಕೋರಹ, ತಪ್ಪೂಹ, ರೆಕೆಮ್ ಮತ್ತು ಶೆಮ.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 44] ಶೆಮ್ಯರಿಂದ ರಹಮ್ಯರು, ರಹಮ್ಯರಿಂದ ಯೊರ್ಕೆಯಾಮ್ಯರು ಹುಟ್ಟಿದರು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 45] ರೆಕೆಮನು ಶಮ್ಮೈನನ್ನು ಪಡೆದನು. ಶಮ್ಮೈನಿಂದ ಮವೋನ್ಯರು, ಮವೋನ್ಯರಿಂದ ಬೇತ್‌ಚೂರಿನವರು ಹುಟ್ಟಿದರು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 46] ಕಾಲೇಬನ ಉಪಪತ್ನಿಯಾದ ಏಫಳಲ್ಲಿ ಹಾರಾನ್, ಮೋಚ ಮತ್ತು ಗಾಜೇಜ್ ಎಂಬುವವರು ಹುಟ್ಟಿದರು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 47] ಹಾರಾನನು ಗಾಜೇಜನನ್ನು ಪಡೆದನು. ಯಾದೈಯಳಲ್ಲಿ ರೆಗೆಮ್, ಯೋತಾಮ್, ಗೇಷಾನ್, ಪೆಲೆಟ್, ಏಫ ಮತ್ತು ಶಾಫ್ ಎಂಬುವವರು ಹುಟ್ಟಿದರು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 48] ಕಾಲೇಬನ ಉಪಪತ್ನಿಯಾದ ಮಾಕಳಲ್ಲಿ ಶೆಬೆರ್ ಮತ್ತು ತಿರ್ಹನ್ ಎಂಬುವವರು ಹುಟ್ಟಿದರು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 49] ಇವಳಲ್ಲಿ ಮದ್ಮನ್ನದವರ ಮೂಲಪುರುಷನಾದ ಶಾಫ್; ಮಕ್ಬೇನಾ ಮತ್ತು ಗಿಬ್ಯ ಪಟ್ಟಣದವರ ಮೂಲಪುರುಷನಾದ ಶೆವ ಇವರು ಹುಟ್ಟಿದರು. ಕಾಲೇಬನ ಮಗಳು ಅಕ್ಷಾ.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 50] ಕಾಲೇಬನ ಹೆಂಡತಿಯಾದ ಎಫ್ರಾತಳ ಚೊಚ್ಚಲ ಮಗನಾದ ಹೂರನ ಮಕ್ಕಳು ಕಿರ್ಯತ್ಯಾರೀಮರ ಮೂಲಪುರುಷನಾದ ಶೋಬಾಲ್,
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 51] ಬೇತ್ಲೆಹೇಮ್ಯರ ಮೂಲಪುರುಷನಾದ ಸಲ್ಮ ಮತ್ತು ಬೇತ್ಗಾದೇರಿನ ಮೂಲಪುರುಷನಾದ ಹಾರೇಫ್.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 52] ಕಿರ್ಯತ್ಯಾರೀಮಿನ ಮೂಲಪುರುಷನಾದ ಶೋಬಾಲನ ಸಂತಾನದವರು ಹಾರೋಯೆ, ಮಾನಹತಿಯರ ಅರ್ಧ ಜನರು,
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 53] ಕಿರ್ಯತ್ಯಾರೀಮ್ ಕುಟುಂಬಗಳವರು, ಯೆತೆರಿನವರು, ಪೂತ್ಯರು, ಶುಮಾತ್ಯರು ಮತ್ತು ಮಿಷ್ರಾಗ್ಯರು ಇವರೇ. ಇವರಿಂದ ಹುಟ್ಟಿದ ಜನಾಂಗ ಚೊರ್ರಾತ್ಯರೂ ಮತ್ತು ಎಷ್ಟಾವೋಲ್ಯರೂ.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 54] ಸಲ್ಮನಿಂದ ಬೇತ್ಲೆಹೇಮ್, ನೆಟೋಫಾ, ಅಟರೋತ್, ಬೇತ್ಯೋವಾಬ್ ಊರುಗಳವರೂ, ಚೊರ್ಗದಲ್ಲಿ ವಾಸಿಸುವ ಮಾನಹತಿಯರಲ್ಲಿ ಅರ್ಧ ಜನರೂ ಹುಟ್ಟಿದರು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 55] ಯಾಬೇಚಿನಲ್ಲಿ ವಾಸಿಸುವ ಬರವಣಿಗೆಯಲ್ಲಿ ಮತ್ತು ದಾಖಲೆಗಳನ್ನು ಬರೆಯುವುದರಲ್ಲೂ ಮತ್ತು ಪ್ರತಿಗಳನ್ನು ಮಾಡುವುದರಲ್ಲೂ ಪ್ರವೀಣರಾದ ತಿರ್ರಾತ್ಯರು, ಶಿಮ್ಗಾತ್ಯರು ಮತ್ತು ಸೂಕಾತ್ಯರು, ಇವರು ರೇಕಾಬನ ಮನೆಯವರ ಮೂಲ ಪುರುಷನಾಗಿರುವ ಹಮತನಿಂದ ಹುಟ್ಟಿದ ಕೇನ್ಯರು.
