[IRV | TE | NT | Galatians | Chapter 5 | Verse 1] స్వేచ్ఛగా ఉండడం కోసం క్రీస్తు మనలను విడుదల చేశాడు. కాబట్టి, స్థిరంగా నిలబడండి. మళ్ళీ బానిసత్వపు కాడి కింద చిక్కుకోవద్దు.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 15] అయితే మీరు ఒకరినొకరు కరచుకుని తినేస్తే ఒకడి వలన ఒకడు బొత్తిగా నశించిపోతారేమో చూసుకోండి.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 16] నేను చెప్పేది ఏమిటంటే, ఆత్మానుసారంగా నడుచుకోండి. అప్పుడు మీరు శరీర కోరికలను నెరవేర్చరు.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 17] శరీర స్వభావం ఆశించేవి ఆత్మకు విరోధంగా ఉంటాయి, ఆత్మ ఆశించేవి శరీరానికి విరోధంగా పని చేస్తాయి. ఇవి ఒకదాని కొకటి వ్యతిరేకంగా ఉన్నాయి. కాబట్టి మీరు ఏవి చేయాలని ఇష్టపడతారో వాటిని చేయరు.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 18] ఆత్మ మిమ్మల్ని నడిపిస్తే ధర్మశాస్త్రానికి లోనైన వారు కాదు.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 19] శరీర స్వభావ క్రియలు స్పష్టంగా ఉన్నాయి. అవేవంటే, జారత్వం, అపవిత్రత, కామవికారం,
[IRV | TE | NT | Galatians | Chapter 5 | Verse 20] విగ్రహారాధన, మంత్ర తంత్రాలు, ద్వేషం, కలహం, ఈర్ష్య భావాలు, కోపోద్రేకాలు, కక్షలు,
[IRV | TE | NT | Galatians | Chapter 5 | Verse 21] శత్రుత్వాలు, కలతలు, అసూయలు, తాగుబోతుల పోకిరీతనం మొదలైనవి. వీటిని గురించి నేను ముందే చెప్పినట్లు ఇలాంటి పనులు చేసే వారు దేవుని రాజ్యానికి వారసులు కాలేరు.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 22] అయితే ఆత్మఫలం ఏదంటే ప్రేమ, ఆనందం, శాంతి సమాధానాలు, సహనం, కనికరం, మంచితనం, విశ్వాసం, సాత్వికం, ఆశానిగ్రహం.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 23] అలాంటి వాటికి వ్యతిరేకంగా ఏ చట్టమూ లేదు.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 24] క్రీస్తు యేసుకు చెందిన వారు, శరీర స్వభావాన్నీ దానితో కూడా దాని చెడ్డ కోరికలనూ సిలువ వేశారు.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 25] మనం దేవుని ఆత్మతో జీవిస్తూ ఉంటే ఆ ఆత్మ ననుసరించి నడుద్దాం.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 26] అహంభావం లేకుండా జగడాలు రేపుకోకుండా ఒకరిపై ఒకరు అసూయ పడకుండా ఉందాం.
