[DARBY | EN | OT | Genesis | Chapter 24 | Verse 1] And Abraham was old, [and] advanced in age; and Jehovah had blessed Abraham in all things.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 29] And Rebecca had a brother, named Laban; and Laban ran out to the man, to the well.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 30] And it came to pass when he saw the ring and the bracelets on his sister's hand, and when he heard the words of Rebecca his sister, saying, Thus spoke the man to me — that he came to the man, and behold, he was standing by the camels, by the well.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 31] And he said, Come in, blessed of Jehovah! why standest thou outside? for I have prepared the house, and room for the camels.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 32] And the man came into the house; and he ungirded the camels, and gave the camels straw and provender, and water to wash his feet, and the feet of the men who were with him.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 33] And there was set [meat] before him to eat; but he said, I will not eat until I have made known my business. And he said, Speak on.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 34] And he said, I am Abraham's servant.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 35] And Jehovah has blessed my master greatly, and he is become great; and he has given him sheep and cattle, and silver and gold, and bondmen and bondwomen, and camels and asses.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 36] And Sarah, my master's wife, bore a son to my master after she had grown old; and unto him has he given all that he has.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 37] And my master made me swear, saying, Thou shalt not take a wife for my son of the daughters of the Canaanite, in whose land I am dwelling;
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 38] but thou shalt by all means go to my father's house and to my family, and take a wife for my son.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 39] And I said to my master, Perhaps the woman will not follow me?
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 40] And he said to me, Jehovah, before whom I have walked, will send his angel with thee, and prosper thy way, that thou mayest take a wife for my son of my family, and out of my father's house.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 41] Then shalt thou be quit of my oath, when thou shalt have come to my family. And if they give thee not [one], thou shalt be quit of my oath.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 42] And I came this day to the well, and said, Jehovah, God of my master Abraham, if now thou wilt prosper my way on which I go,
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 43] behold, I stand by the well of water, and let it come to pass that the damsel who cometh forth to draw [water], and to whom I shall say, Give me, I pray thee, a little water out of thy pitcher to drink,
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 44] and she shall say to me, Both drink thou, and I will also draw for thy camels — that she should be the woman whom Jehovah hath appointed for my master's son.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 45] Before I ended speaking in my heart, behold, Rebecca came forth with her pitcher on her shoulder, and went down to the well, and drew [water]; and I said to her, Give me, I pray thee, to drink.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 46] And she hasted and let down her pitcher from her [shoulder], and said, Drink, and I will give thy camels drink also. And I drank; and she gave the camels drink also.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 47] And I asked her, and said, Whose daughter art thou? And she said, The daughter of Bethuel, Nahor's son, whom Milcah bore to him. And I put the ring on her nose, and the bracelets on her hands.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 48] And I stooped, and bowed down before Jehovah; and I blessed Jehovah, God of my master Abraham, who has led me the right way to take my master's brother's daughter for his son.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 49] And now, if ye will deal kindly and truly with my master, tell me; and if not, tell me; and I will turn to the right hand or to the left.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 50] And Laban and Bethuel answered and said, The thing proceeds from Jehovah: we cannot speak to thee bad or good.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 51] Behold, Rebecca is before thee: take [her], and go away; and let her be wife of thy master's son, as Jehovah has said.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 52] And it came to pass, when Abraham's servant heard their words, that he bowed down to the earth before Jehovah.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 53] And the servant brought forth silver articles, and gold articles, and clothing, and he gave [them] to Rebecca; and he gave to her brother, and to her mother, precious things.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 54] And they ate and drank, he and the men that were with him, and lodged. And they rose up in the morning; and he said, Send me away to my master.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 55] And her brother and her mother said, Let the maiden abide with us [some] days, or [say] ten; after that she shall go.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 56] And he said to them, Do not hinder me, seeing Jehovah has prospered my way: send me away, and I will go to my master.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 57] And they said, Let us call the maiden and inquire at her mouth.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 58] And they called Rebecca and said to her, Wilt thou go with this man? And she said, I will go.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 59] And they sent away Rebecca their sister, and her nurse, and Abraham's servant, and his men.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 60] And they blessed Rebecca, and said to her, Thou art our sister; mayest thou become thousands of tens of thousands; and may thy seed possess the gate of their enemies!
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 61] And Rebecca arose, and her maids, and they rode upon the camels, and followed the man. And the servant took Rebecca, and went away.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 62] And Isaac had just returned from Beer-lahai-roi; for he was dwelling in the south country.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 63] And Isaac had gone out to meditate in the fields toward the beginning of evening. And he lifted up his eyes and saw, and behold, camels were coming.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 64] And Rebecca lifted up her eyes and saw Isaac, and she sprang off the camel.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 65] And she had said to the servant, Who is the man that is walking in the fields to meet us? And the servant said, That is my master! Then she took the veil, and covered herself.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 66] And the servant told Isaac all things that he had done.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 67] And Isaac led her into his mother Sarah's tent; and he took Rebecca, and she became his wife, and he loved her. And Isaac was comforted after [the death of] his mother.
