[DARBY | EN | OT | Genesis | Chapter 30 | Verse 1] And when Rachel saw that she bore Jacob no children, Rachel envied her sister, and said to Jacob, Give me children, or else I die.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 17] And God hearkened to Leah, and she conceived, and bore Jacob a fifth son.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 18] And Leah said, God has given me my hire, because I have given my maidservant to my husband; and she called his name Issachar.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 19] And Leah again conceived, and bore Jacob a sixth son;
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 20] and Leah said, God has endowed me with a good dowry; this time will my husband dwell with me, because I have borne him six sons. And she called his name Zebulun.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 21] And afterwards she bore a daughter, and called her name Dinah.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 22] And God remembered Rachel, and God listened to her, and opened her womb.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 23] And she conceived, and bore a son, and said, God has taken away my reproach.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 24] And she called his name Joseph; and said, Jehovah will add to me another son.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 25] And it came to pass when Rachel had borne Joseph, that Jacob said to Laban, Send me away, that I may go to my place and to my country.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 26] Give [me] my wives for whom I have served thee, and my children; that I may go away, for thou knowest my service which I have served thee.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 27] And Laban said to him, I pray thee, if I have found favour in thine eyes — I have discovered that Jehovah has blessed me for thy sake.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 28] And he said, Appoint to me thy wages, and I will give it.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 29] And he said to him, Thou knowest how I have served thee, and what thy cattle has become with me.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 30] For it was little that thou hadst before me, and it is increased to a multitude, and Jehovah has blessed thee from the time I came; and now, when shall I also provide for my house?
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 31] And he said, What shall I give thee? And Jacob said, Thou shalt not give me anything. If thou doest this for me, I will again feed [and] keep thy flock:
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 32] I will pass through all thy flock to-day, to remove thence all the speckled and spotted sheep, and all the brown lambs, and the spotted and speckled among the goats; and [that] shall be my hire.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 33] And my righteousness shall answer for me hereafter, when thou comest about my hire, before thy face: all that is not speckled and spotted among the goats, and brown among the lambs, let that be stolen with me.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 34] And Laban said, Well, let it be according to thy word.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 35] And he removed that day the he-goats that were ringstraked and spotted, and all the she-goats that were speckled and spotted, every one that had white in it, and all the brown among the lambs, and gave [them] into the hand of his sons.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 36] And he put three days' journey between himself and Jacob. And Jacob fed the rest of Laban's flock.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 37] And Jacob took fresh rods of white poplar, almond-tree, and maple; and peeled off white stripes in them, uncovering the white which was on the rods.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 38] And he set the rods which he had peeled before the flock, in the troughs at the watering-places where the flock came to drink, and they were ardent when they came to drink.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 39] And the flock was ardent before the rods; and the flock brought forth ringstraked, speckled, and spotted.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 40] And Jacob separated the lambs, and set the faces of the flock toward the ringstraked, and all the brown in the flock of Laban; and he made himself separate flocks, and did not put them with Laban's flock.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 41] And it came to pass whensoever the strong cattle were ardent, that Jacob laid the rods before the eyes of the flock in the gutters, that they might become ardent among the rods;
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 42] but when the sheep were feeble, he put [them] not in; so the feeble were Laban's, and the strong Jacob's.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 43] And the man increased very, very much, and had much cattle, and bondwomen, and bondmen, and camels, and asses.
