[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 1] ਸੋ ਯਹੋਵਾਹ ਦਾ ਸੰਦੂਕ ਸੱਤ ਮਹੀਨਿਆਂ ਤੱਕ ਫ਼ਲਿਸਤੀਆਂ ਦੇ ਦੇਸ ਵਿੱਚ ਰਿਹਾ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 12] ਤਦ ਗਊਆਂ ਸਿੱਧੀਆਂ ਬੈਤਸ਼ਮਸ਼ ਦੇ ਰਾਹ ਵੱਲ ਤੁਰ ਪਈਆਂ ਅਤੇ ਉਸ ਸੜਕ ਉੱਤੇ ਤੁਰੀਆਂ ਅਤੇ ਅੜਿੰਗਦੀਆਂ ਜਾਂਦੀਆਂ ਸਨ ਅਤੇ ਸੱਜੇ ਖੱਬੇ ਪਾਸੇ ਨਾ ਮੁੜੀਆਂ ਅਤੇ ਫ਼ਲਿਸਤੀ ਸਰਦਾਰ ਉਨ੍ਹਾਂ ਦੇ ਪਿੱਛੇ ਬੈਤ ਸ਼ਮਸ਼ ਦੇ ਬੰਨ੍ਹੇ ਤੱਕ ਗਏ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 13] ਬੈਤ ਸ਼ਮਸ਼ ਦੇ ਲੋਕ ਕਣਕ ਦੀਆਂ ਵਾਢੀਆਂ ਕਰਦੇ ਸਨ। ਜਦ ਉਨ੍ਹਾਂ ਨੇ ਅੱਖਾਂ ਚੁੱਕ ਕੇ ਸੰਦੂਕ ਨੂੰ ਵੇਖਿਆ ਤਾਂ ਵੇਖਦੇ ਸਾਰ ਅਨੰਦ ਹੋ ਗਏ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 14] ਗੱਡੀ ਬੈਤਸ਼ਮਸ਼ੀ ਯਹੋਸ਼ੁਆ ਦੀ ਪੈਲੀ ਵਿੱਚ ਆਈ ਅਤੇ ਜਿੱਥੇ ਇੱਕ ਵੱਡਾ ਪੱਥਰ ਸੀ ਉੱਥੇ ਖਲੋ ਗਈ। ਸੋ ਉਨ੍ਹਾਂ ਨੇ ਗੱਡੀ ਦੀਆਂ ਲੱਕੜੀਆਂ ਨੂੰ ਚੀਰਿਆ ਅਤੇ ਗਊਆਂ ਨੂੰ ਹੋਮ ਦੀ ਬਲੀ ਕਰਕੇ ਯਹੋਵਾਹ ਲਈ ਚੜ੍ਹਾਇਆ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 15] ਲੇਵੀਆਂ ਨੇ ਯਹੋਵਾਹ ਦੇ ਸੰਦੂਕ ਨੂੰ ਉਸ ਸੰਦੂਕ ਸਮੇਤ ਜੋ ਉਸ ਦੇ ਨਾਲ ਸੀ ਅਤੇ ਜਿਸ ਦੇ ਵਿੱਚ ਸੋਨੇ ਦੀਆਂ ਵਸਤਾਂ ਸਨ, ਹੇਠਾਂ ਉਤਾਰਿਆ ਅਤੇ ਉਹ ਨੂੰ ਉਸ ਵੱਡੇ ਪੱਥਰ ਉੱਤੇ ਧਰਿਆ ਅਤੇ ਬੈਤ ਸ਼ਮਸ਼ ਦੇ ਲੋਕਾਂ ਨੇ ਉਸੇ ਦਿਨ ਯਹੋਵਾਹ ਦੇ ਲਈ ਹੋਮ ਬਲੀਆਂ ਚੜ੍ਹਾਈਆਂ ਅਤੇ ਹੋਰ ਬਲੀਆਂ ਵੀ ਦਿੱਤੀਆਂ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 16] ਜਦ ਉਨ੍ਹਾਂ ਪੰਜਾਂ ਫ਼ਲਿਸਤੀ ਸਰਦਾਰਾਂ ਨੇ ਇਹ ਡਿੱਠਾ ਤਾਂ ਉਹ ਉਸੇ ਦਿਨ ਅਕਰੋਨ ਨੂੰ ਮੁੜ ਗਏ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 17] ਇਹ ਸੋਨੇ ਦੀਆਂ ਗਿਲ੍ਹਟੀਆਂ ਜੋ ਫ਼ਲਿਸਤੀਆਂ ਨੇ ਦੋਸ਼ ਦੀ ਭੇਟ ਲਈ ਚੜ੍ਹਾਈਆਂ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਇੱਕ ਅਸ਼ਦੋਦ ਵੱਲੋਂ ਸੀ, ਇੱਕ ਅੱਜ਼ਾਹ ਦੀ, ਇੱਕ ਅਸ਼ਕਲੋਨ ਦੀ, ਇੱਕ ਗਥ ਦੀ ਅਤੇ ਇੱਕ ਅਕਰੋਨ ਦੀ
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 18] ਅਤੇ ਇਹ ਸੋਨੇ ਦੇ ਚੂਹੇ ਫ਼ਲਿਸਤੀਆਂ ਦੇ ਪੰਜਾਂ ਸਰਦਾਰਾਂ ਦੀ ਗਿਣਤੀ ਅਨੁਸਾਰ ਸਨ ਭਾਵੇਂ ਗੜ੍ਹ ਵਾਲੇ ਸ਼ਹਿਰਾਂ ਦੇ ਭਾਵੇਂ ਬਾਹਰਲੇ ਪਿੰਡਾਂ ਦੇ ਜਿੰਨੇ ਅਬੇਲ ਦੇ ਵੱਡੇ ਪੱਥਰ ਤੱਕ ਸਨ ਜਿਹ ਦੇ ਉੱਤੇ ਉਨ੍ਹਾਂ ਨੇ ਯਹੋਵਾਹ ਦੇ ਸੰਦੂਕ ਨੂੰ ਰੱਖਿਆ ਸੀ। ਉਹ ਅੱਜ ਦੇ ਦਿਨ ਤੱਕ ਬੈਤਸ਼ਮਸ਼ੀ ਯਹੋਸ਼ੁਆ ਦੀ ਪੈਲੀ ਵਿੱਚ ਹੈ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 19] ਉਹ ਨੇ ਬੈਤ ਸ਼ਮਸ਼ ਦੇ ਲੋਕਾਂ ਨੂੰ ਇਸ ਲਈ ਮਾਰਿਆ ਜੋ ਉਨ੍ਹਾਂ ਨੇ ਯਹੋਵਾਹ ਦੇ ਸੰਦੂਕ ਦੇ ਵਿੱਚ ਵੇਖਿਆ ਸੋ ਉਸ ਨੇ ਪੰਜਾਹ ਹਜ਼ਾਰ ਤੇ ਸੱਤਰ ਮਨੁੱਖ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਮਾਰ ਸੁੱਟੇ ਅਤੇ ਉੱਥੋਂ ਦੇ ਲੋਕ ਦੁਖੀ ਹੋਏ ਇਸ ਲਈ ਜੋ ਯਹੋਵਾਹ ਨੇ ਲੋਕਾਂ ਨੂੰ ਵੱਡੀ ਮਾਰ ਨਾਲ ਮਾਰਿਆ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 20] ਸੋ ਬੈਤ ਸ਼ਮਸ਼ ਦੇ ਲੋਕ ਬੋਲੇ, ਭਲਾ, ਕਿਸ ਦੀ ਹਿੰਮਤ ਹੈ ਜੋ ਕੋਈ ਇਸ ਪਵਿੱਤਰ ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਦੇ ਅੱਗੇ ਖਲੋਵੇ ਅਤੇ ਉਹ ਸਾਡੇ ਕੋਲੋਂ ਕਿਸ ਦੇ ਵੱਲ ਜਾਵੇ?
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 21] ਤਦ ਉਨ੍ਹਾਂ ਨੇ ਕਿਰਯਥ-ਯਾਰੀਮ ਦੇ ਲੋਕਾਂ ਵੱਲ ਦੂਤ ਘੱਲੇ ਅਤੇ ਆਖਿਆ, ਫ਼ਲਿਸਤੀ ਯਹੋਵਾਹ ਦੇ ਸੰਦੂਕ ਨੂੰ ਮੋੜ ਲਿਆਏ ਹਨ ਸੋ ਤੁਸੀਂ ਆਓ ਅਤੇ ਆਪਣੀ ਵੱਲ ਲੈ ਜਾਓ।
