[IRV | PA | OT | Proverbs | Chapter 17 | Verse 1] ਚੈਨ ਨਾਲ ਰੁੱਖੀ ਮਿੱਸੀ ਇਹ ਦੇ ਨਾਲੋਂ ਚੰਗੀ ਹੈ, ਭਈ ਘਰ ਵਿੱਚ ਬਹੁਤ ਪਦਾਰਥ ਹੋਣ ਪਰ ਝਗੜਾ ਹੋਵੇ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 12] ਮੂਰਖਤਾ ਦੇ ਵਿੱਚ ਡੁੱਬੇ ਹੋਏ ਮਨੁੱਖ ਨੂੰ ਮਿਲਣ ਨਾਲੋਂ, ਰਿੱਛਣੀ ਜਿਹ ਦੇ ਬੱਚੇ ਖੋਹ ਲਏ ਗਏ ਹੋਣ, ਨੂੰ ਮਿਲਣਾ ਭਲਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 13] ਜਿਹੜਾ ਭਲਿਆਈ ਦੇ ਬਦਲੇ ਬੁਰਿਆਈ ਕਰਦਾ ਹੈ, ਉਹ ਦੇ ਘਰੋਂ ਬੁਰਿਆਈ ਕਦੇ ਨਾ ਹੱਟੇਗੀ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 14] ਝਗੜੇ ਦਾ ਮੁੱਢ ਪਾਣੀ ਦੇ ਵਹਾ ਵਰਗਾ ਹੈ, ਇਸ ਲਈ ਝਗੜਾ ਛਿੜਨ ਤੋਂ ਪਹਿਲਾਂ ਉਹ ਨੂੰ ਛੱਡ ਦੇ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 15] ਜਿਹੜਾ ਦੁਸ਼ਟ ਨੂੰ ਧਰਮੀ ਠਹਿਰਾਉਂਦਾ ਹੈ ਅਤੇ ਜਿਹੜਾ ਧਰਮੀ ਤੇ ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ, ਯਹੋਵਾਹ ਉਹਨਾਂ ਦੋਹਾਂ ਤੋਂ ਘਿਣ ਕਰਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 16] ਮੂਰਖ ਦੇ ਹੱਥ ਵਿੱਚ ਬੁੱਧ ਨੂੰ ਮੁੱਲ ਲੈਣ ਲਈ ਪੈਸਾ ਹੋਣ ਦਾ ਕੀ ਲਾਭ, ਜਦ ਉਹ ਚਾਹੁੰਦਾ ਹੀ ਨਹੀਂ?
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 17] ਮਿੱਤਰ ਹਰ ਵੇਲੇ ਪ੍ਰੇਮ ਕਰਦਾ ਹੈ, ਅਤੇ ਭਰਾ ਬਿਪਤਾ ਦੇ ਦਿਨ ਲਈ ਜੰਮਿਆ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 18] ਬੇਸਮਝ ਆਦਮੀ ਹੱਥ ਮਿਲਾਉਂਦਾ ਹੈ ਅਤੇ ਆਪਣੇ ਗੁਆਂਢੀ ਦੇ ਸਾਹਮਣੇ ਜ਼ਮਾਨਤੀ ਬਣ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 19] ਜੋ ਝਗੜੇ ਨਾਲ ਪ੍ਰੇਮ ਕਰਦਾ ਹੈ ਉਹ ਅਪਰਾਧ ਦੇ ਨਾਲ ਵੀ ਪ੍ਰੇਮ ਕਰਦਾ ਹੈ, ਜਿਹੜਾ ਹੰਕਾਰ ਨਾਲ ਬੋਲਦਾ ਹੈ ਉਹ ਆਪਣਾ ਨਾਸ ਭਾਲਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 20] ਟੇਢੇ ਮਨ ਵਾਲਾ ਭਲਿਆਈ ਨਾ ਪਾਵੇਗਾ, ਅਤੇ ਪੁੱਠੀਆਂ ਗੱਲਾਂ ਕਰਨ ਵਾਲਾ ਬਿਪਤਾ ਵਿੱਚ ਪਵੇਗਾ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 21] ਮੂਰਖ ਨੂੰ ਜਨਮ ਦੇਣ ਵਾਲਾ ਦੁੱਖ ਹੀ ਪਾਉਂਦਾ ਹੈ, ਅਤੇ ਮੂਰਖ ਦੇ ਪਿਤਾ ਨੂੰ ਕੁਝ ਅਨੰਦ ਨਹੀਂ ਮਿਲਦਾ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 22] ਖੁਸ਼ ਦਿਲੀ ਚੰਗੀ ਦਵਾ ਹੈ, ਪਰ ਉਦਾਸ ਮਨ ਹੱਡੀਆਂ ਨੂੰ ਸੁਕਾਉਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 23] ਦੁਸ਼ਟ ਬੁੱਕਲ ਵਿੱਚੋਂ ਰਿਸ਼ਵਤ ਲੈਂਦਾ ਹੈ, ਤਾਂ ਜੋ ਉਹ ਨਿਆਂ ਦੇ ਮਾਰਗਾਂ ਨੂੰ ਵਿਗਾੜ ਦੇਵੇ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 24] ਬੁੱਧ ਸਮਝ ਵਾਲੇ ਦੇ ਅੱਗੇ ਰਹਿੰਦੀ ਹੈ, ਪਰ ਮੂਰਖ ਦੀਆਂ ਅੱਖਾਂ ਧਰਤੀ ਦੇ ਬੰਨਿਆ ਵੱਲ ਲੱਗੀਆਂ ਰਹਿੰਦੀਆਂ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 25] ਮੂਰਖ ਪੁੱਤਰ ਆਪਣੇ ਪਿਉ ਲਈ ਦੁੱਖ, ਅਤੇ ਆਪਣੀ ਮਾਂ ਲਈ ਕੁੜੱਤਣ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 26] ਧਰਮੀ ਨੂੰ ਸਜ਼ਾ ਦੇਣਾ ਚੰਗਾ ਨਹੀਂ, ਨਾ ਪ੍ਰਧਾਨਾਂ ਨੂੰ ਸਿਧਿਆਈ ਦੇ ਕਾਰਨ ਮਾਰਨਾ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 27] ਜਿਹੜਾ ਘੱਟ ਬੋਲਦਾ ਹੈ ਉਹ ਗਿਆਨੀ ਹੈ, ਅਤੇ ਸਮਝ ਵਾਲਾ ਸ਼ੀਲ ਸੁਭਾਓ ਹੁੰਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 17 | Verse 28] ਮੂਰਖ ਵੀ ਜਿੰਨਾਂ ਚਿਰ ਚੁੱਪ ਰਹੇ ਬੁੱਧਵਾਨ ਹੀ ਗਿਣੀਦਾ ਹੈ, ਜੇ ਮੂੰਹ ਬੰਦ ਰੱਖੇ ਤਾਂ ਸਿਆਣਾ ਸਮਝਿਆ ਜਾਂਦਾ ਹੈ।
