[LXX | EL | OT | Genesis | Chapter 42 | Verse 1] Ἰδὼν δὲ Ἰακὼβ ὅτι ἐστὶ πράσις ἐν Αἰγύπτῳ, εἶπε τοῖς υἱοῖς αὐτοῦ, ἱνατί ῥαθυμεῖτε;
[LXX | EL | OT | Genesis | Chapter 42 | Verse 15] Ἐν τούτῳ φανεῖσθε· νὴ τὴν ὑγίειαν Φαραὼ, οὐ μὴ ἐξέλθητε ἐντεῦθεν, ἐὰν μὴ ὁ ἀδελφὸς ὑμῶν ὁ νεώτερος ἔλθῃ ὧδε.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 16] Ἀποστείλατε ἐξ ὑμῶν ἕνα, καὶ λάβετε τὸν ἀδελφὸν ὑμῶν· ὑμεῖς δὲ ἀπάχθητε ἕως τοῦ φανερὰ γενέσθαι τὰ ῥήματα ὑμῶν, εἰ ἀληθεύετε ἢ οὔ· εἰ δὲ μὴ, νὴ τὴν ὑγίειαν Φαραὼ, ἦ μὴν κατάσκοποί ἐστε.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 17] Καὶ ἔθετο αὐτοὺς ἐν φυλακῇ ἡμέρας τρεῖς.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 18] Εἶπε δὲ αὐτοῖς τῇ ἡμέρᾳ τῇ τρίτῃ, τοῦτο ποιήσατε, καὶ ζήσεσθε· τὸν Θεὸν γὰρ ἐγὼ φοβοῦμαι.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 19] Εἰ εἰρηνικοί ἐστε, ἀδελφὸς ὑμῶν κατασχεθήτω εἷς ἐν τῇ φυλακῇ· αὐτοὶ δὲ βαδίσατε, καὶ ἀπαγάγετε τὸν ἀγορασμὸν τῆς σιτοδοσίας ὑμῶν.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 20] Καὶ τὸν ἀδελφὸν ὑμῶν τὸν νεώτερον ἀγάγετε πρός με, καὶ πιστευθήσονται τὰ ῥήματα ὑμῶν· εἰ δὲ μὴ, ἀποθανεῖσθε. Ἐποίησαν δὲ οὕτως.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 21] Καὶ εἶπεν ἕκαστος πρὸς τὸν ἀδελφὸν αὐτοῦ, ναὶ, ἐν ἁμαρτίαις γάρ ἐσμεν περὶ τοῦ ἀδελφοῦ ἡμῶν, ὅτι ὑπερίδομεν τὴν θλίψιν τῆς ψυχῆς αὐτοῦ, ὅτε κατεδέετο ἡμῶν, καὶ οὐκ εἰσηκούσαμεν αὐτοῦ· καὶ ἕνεκεν τούτου ἐπῆλθεν ἐφʼ ἡμᾶς ἡ θλίψις αὕτη.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 22] Ἀποκριθεὶς δὲ Ῥουβὴν εἶπεν αὐτοῖς, οὐκ ἐλάλησα ὑμῖν, λέγων, μὴ ἀδικήσητε τὸ παιδάριον, καὶ οὐκ εἰσηκούσατέ μου; καὶ ἰδοὺ τὸ αἷμα αὐτοῦ ἐκζητεῖται.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 23] Αὐτοὶ δὲ οὐκ ᾔδεισαν, ὅτι ἀκούει Ἰωσήφ· ὁ γὰρ ἑρμηνευτὴς ἀνὰ μέσον αὐτῶν ἦν·
[LXX | EL | OT | Genesis | Chapter 42 | Verse 24] Ἀποστραφεὶς δὲ ἀπʼ αὐτῶν ἔκλαυσεν Ἰωσήφ· καὶ πάλιν προσῆλθε πρὸς αὐτοὺς, καὶ εἶπεν αὐτοῖς· καὶ ἔλαβε τὸν Συμεὼν ἀπʼ αὐτῶν, καὶ ἔδησεν αὐτὸν ἐναντίον αὐτῶν.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 25] Ἐνετείλατο δὲ Ἰωσὴφ ἐμπλῆσαι τὰ ἀγγεῖα αὐτῶν σίτου, καὶ ἀποδοῦναι τὸ ἀργύριον αὐτῶν ἑκάστῳ εἰς τὸν σάκκον αὐτοῦ, καὶ δοῦναι αὐτοῖς ἐπισιτισμὸν εἰς τὴν ὁδόν· καὶ ἐγενήθη αὐτοῖς οὕτως.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 26] Καὶ ἐπιθέντες τὸν σῖτον ἐπὶ τοῦς ὄνους αὐτῶν, ἀπῆλθον ἐκεῖθεν.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 27] Λύσας δὲ εἷς τὸν μάρσιππον αὐτοῦ, δοῦναι χορτάσματα τοῖς ὄνοις αὐτοῦ, οὗ κατέλυσαν, καὶ εἶδε τὸν δεσμὸν τοῦ ἀργυρίου αὐτοῦ, καὶ ἦν ἐπάνω τοῦ στόματος τοῦ μαρσίππου.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 28] Καὶ εἶπε τοῖς ἀδελφοῖς αὐτοῦ, ἀπεδόθη μοι τὸ ἀργύριον, καὶ ἰδοὺ τοῦτο ἐν τῷ μαρσίππῳ μου· καὶ ἐξέστη ἡ καρδία αὐτῶν, καὶ ἐταράχθησαν πρὸς ἀλλήλους, λέγοντες, τί τοῦτο ἐποίησεν ὁ Θεὸς ἡμῖν;
[LXX | EL | OT | Genesis | Chapter 42 | Verse 29] Ἦλθον δὲ πρὸς Ἰακὼβ τὸν πατέρα αὐτῶν εἰς γὴν Χαναὰν, καὶ ἀπήγγειλαν αὐτῷ πάντα τὰ συμβάντα αὐτοῖς, λέγοντες,
[LXX | EL | OT | Genesis | Chapter 42 | Verse 30] Λελάληκεν ὁ ἄνθρωπος ὁ κύριος τῆς γῆς πρὸς ἡμᾶς σκληρὰ, καὶ ἔθετο ἡμᾶς ἐν φυλακῇ, ὡς κατασκοπεύοντας τὴν γῆν.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 31] Εἴπαμεν δὲ αὐτῷ, εἰρήνικοί ἐσμεν, οὐκ ἐσμὲν κατάσκοποι.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 32] Δώδεκα ἀδελφοί ἐσμεν, υἱοὶ τοῦ πατρὸς ἡμῶν· ὁ εἷς οὐχ ὑπάρχει· ὁ δὲ μικρὸς μετὰ τοῦ πατρὸς ἡμῶν σήμερον ἐν γῇ Χαναάν.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 33] Εἶπε δὲ ἡμῖν ὁ ἄνθρωπος ὁ κύριος τῆς γῆς, ἐν τούτῳ γνώσομαι, ὅτι εἰρηνικοί ἐστε· ἀδελφὸν ἕνα ἄφετε ὧδε μετʼ ἐμοῦ· τὸν δὲ ἀγορασμὸν τῆς σιτοδοσίας τοῦ οἴκου ὑμῶν λαβόντες ἀπέλθατε.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 34] Καὶ ἀγάγετε πρός με τὸν ἀδελφὸν ὑμῶν τὸν νεώτερον· καὶ γνώσομαι ὅτι οὐ κατάσκοποί ἐστε, ἀλλʼ ὅτι εἰρηνικοί ἐστε· καὶ τὸν ἀδελφὸν ὑμῶν ἀποδώσω ὑμῖν, καὶ τῇ γῇ ἐμπορεύσεσθε.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 35] Ἐγένετο δὲ ἐν τῷ κατακενοῦν αὐτοὺς τοὺς σάκκους αὐτῶν, καὶ ἦν ἑκάστου ὁ δεσμὸς τοῦ ἀργυρίου ἐν τῷ σάκκῳ αὐτῶν· καὶ εἶδον τοὺς δεσμοὺς τοῦ ἀργυρίου αὐτῶν αὐτοὶ, καὶ ὁ πατὴρ αὐτῶν, καὶ ἐφοβήθησαν.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 36] Εἶπε δὲ αὐτοῖς Ἰακὼβ ὁ πατὴρ αὐτῶν, ἐμὲ ἠτεκνώσατε· Ἰωσὴφ οὐκ ἔστι, Συμεὼν οὐκ ἔστι, καὶ τὸν Βενιαμὶν λήψεσθε; ἐπʼ ἐμὲ ἐγένετο ταῦτα πάντα.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 37] Εἶπε δὲ Ῥουβὴν τῷ πατρὶ αὐτῶν, λέγων, τοὺς δύο υἱούς μου ἀπόκτεινον, ἐὰν μὴ ἀγάγω αὐτὸν πρὸς σέ· δὸς αὐτὸν εἰς τὴν χεῖρά μου, κᾀγὼ ἀνάξω αὐτὸν πρὸς σέ.
[LXX | EL | OT | Genesis | Chapter 42 | Verse 38] Ὁ δὲ εἶπεν, οὐ καταβήσεται ὁ υἱός μου μεθʼ ὑμῶν, ὅτι ὁ ἀδελφὸς αὐτοῦ ἀπέθανε, καὶ αὐτὸς μόνος καταλέλειπται· καὶ συμβήσεται αὐτὸν μαλακισθῆναι ἐν τῇ ὁδῷ, ᾗ ἐὰν πορεύησθε, καὶ κατάξετέ μου τὸ γῆρας μετὰ λύπης εἰς ᾅδοῦ.
