[LXX | EL | OT | Genesis | Chapter 10 | Verse 1] Αὗται δὲ αἱ γενέσεις τῶν υἱῶν Νῶε, Σὴμ, Χὰμ, Ἰάφεθ· καὶ ἐγεννήθησαν αὐτοῖς υἱοὶ μετὰ τὸν κατακλυσμόν.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 12] καὶ τὴν Δασὴ ἀνὰ μέσον Νινευῒ, καὶ ἀνὰ μέσον Χαλάχ· αὕτη ἡ πόλις μεγάλη.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 13] Καὶ Μεσραῒν ἐγέννησε τοὺς Λουδιεὶμ, καὶ τοὺς Νεφθαλεὶμ, καὶ τοὺς Ἐνεμετιεὶμ, καὶ τοὺς Λαβιεὶμ,
[LXX | EL | OT | Genesis | Chapter 10 | Verse 14] καὶ τοὺς Πατροσωνιεὶμ, καὶ τοὺς Χασμωνιεὶμ, ὅθεν ἐξῆλθε Φυλιστιεὶμ, καὶ τοὺς Γαφθοριείμ.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 15] Χαναὰν δὲ ἐγέννησε τὸν Σιδῶνα πρωτότοκον αὐτοῦ, καὶ τὸν Χετταῖον,
[LXX | EL | OT | Genesis | Chapter 10 | Verse 16] καὶ τὸν Ἰεβουσαῖον, καὶ τὸν Ἀμοῤῥαῖον, καὶ τὸν Γεργεσαῖον,
[LXX | EL | OT | Genesis | Chapter 10 | Verse 17] καὶ τὸν Εὐαῖον, καὶ τὸν Ἀρουκαῖον, καὶ τὸν Ἀσενναῖον,
[LXX | EL | OT | Genesis | Chapter 10 | Verse 18] καὶ τον Ἀράδιον, καὶ τὸν Σαμαραῖον, καὶ τὸν Ἀμαθί. Καὶ μετὰ τοῦτο διεσπάρησαν αἱ φυλαὶ τῶν Χαναναίων.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 19] Καὶ ἐγένετο τὰ ὅρια τῶν Χαναναίων ἀπὸ Σιδῶνος ἕως ἐλθεῖν εἰς Γεραρὰ καὶ Γαζὰν, ἕως ἐλθεῖν ἕως Σοδόμων καὶ Γομόῤῥας, Ἀδαμὰ καὶ Σεβωῒμ ἕως Δασά.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 20] Οὗτοι υἱοὶ Χὰμ, ἐν ταῖς φυλαῖς αὐτῶν, κατὰ γλώσσας αὐτῶν, ἐν ταῖς χώραις αὐτῶν, καὶ ἐν τοῖς ἔθνεσιν αὐτῶν.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 21] Καὶ τῷ Σὴμ ἐγεννήθη καὶ αὐτῷ πατρὶ πάντων τῶν υἱῶν Ἕβερ, ἀδελφῷ Ἰάφεθ τοῦ μείζονος.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 22] Υἱοὶ Σὴμ, Ἐλὰμ, καὶ Ἀσσοὺρ, καὶ Ἀρφαξὰδ, καὶ Λοὺδ, καὶ Ἀρὰμ, καὶ Καϊνᾶν.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 23] Καὶ υἱοὶ Ἀρὰμ, Οὒζ, καὶ Οὒλ, καὶ Γατὲρ, καὶ Μοσόχ.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 24] Καὶ Ἀρφαξὰδ ἐγέννησε τὸν Καϊνᾶν, καὶ Καϊνᾶν ἐγέννησε τὸν Σαλά· Σαλὰ δὲ ἐγέννησε τὸν Ἕβερ.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 25] Καὶ τῷ Ἕβερ ἐγεννήθησαν δύο υἱοί· ὄνομα τῷ ἑνὶ, Φαλὲγ, ὅτι ἐν ταῖς ἡμέραις αὐτοῦ διεμερίσθη ἡ γῆ· καὶ ὄνομα τῷ ἀδελφῷ αὐτοῦ Ἰεκτάν.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 26] Ἰεκτὰν δὲ ἐγέννησε τὸν Ἐλμωδὰδ, καὶ Σαλὲθ, καὶ τὸν Σαρμὼθ, καὶ Ἰαρὰχ,
[LXX | EL | OT | Genesis | Chapter 10 | Verse 27] καὶ Ὁδοῤῥὰ, καὶ Αἰβὴλ, καὶ Δεκλὰ, καὶ Εὐὰλ,
[LXX | EL | OT | Genesis | Chapter 10 | Verse 28] καὶ Ἀβιμαὲλ, καὶ Σαβὰ,
[LXX | EL | OT | Genesis | Chapter 10 | Verse 29] καὶ Οὐφεὶρ, καὶ Εὑεϊλὰ, καὶ Ἰωβάβ· πάντες οὗτοι υἱοὶ Ἰεκτάν.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 30] Καὶ ἐγένετο ἡ κατοίκησις αὐτῶν, ἀπὸ Μασσῆ ἕως ἐλθεῖν εἰς Σαφηρὰ ὄρος ἀνατολῶν.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 31] Οὗτοι υἱοὶ Σὴμ, ἐν ταῖς φυλαῖς αὐτῶν, κατὰ γλώσσας αὐτῶν, ἐν ταῖς χώραις αὐτῶν, καὶ ἐν τοῖς ἔθνεσιν αὐτῶν.
[LXX | EL | OT | Genesis | Chapter 10 | Verse 32] Αὗται αἱ φυλαὶ υἱῶν Νῶε κατὰ γενέσεις αὐτῶν, κατὰ ἔθνη αὐτῶν· ἀπὸ τούτων διεσπάρησαν νῆσοι τῶν ἐθνῶν ἐπὶ τῆς γῆς μετὰ τὸν κατακλυσμόν.
