[YLT | EN | OT | Joshua | Chapter 15 | Verse 1] And the lot for the tribe of the sons of Judah, for their families, is unto the border of Edom; the wilderness of Zin southward, at the extremity of the south;
[YLT | EN | OT | Joshua | Chapter 15 | Verse 54] and Humtah, and Kirjath-Arba (it [is] Hebron), and Zior; nine cities and their villages.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 55] Maon, Carmel, and Ziph, and Juttah,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 56] and Jezreel, and Jokdeam, and Zanoah,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 57] Cain, Gibeah, and Timnah; ten cities and their villages.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 58] Halhul, Beth-Zur, and Gedor,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 59] and Maarath, and Beth-Anoth, and Eltekon; six cities and their villages.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 60] Kirjath-Baal (it [is] Kirjath-Jearim), and Rabbah; two cities and their villages.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 61] In the wilderness: Beth-Arabah, Middin, and Secacah,
[YLT | EN | OT | Joshua | Chapter 15 | Verse 62] and Nibshan, and the city of Salt, and En-Gedi; six cities and their villages.
[YLT | EN | OT | Joshua | Chapter 15 | Verse 63] As to the Jebusites, inhabitants of Jerusalem, the sons of Judah have not been able to dispossess them, and the Jebusite dwelleth with the sons of Judah in Jerusalem unto this day.
