[OEB | EN | NT | Luke | Chapter 18 | Verse 1] Jesus told his disciples a parable to show them that they should always pray and never despair.
[OEB | EN | NT | Luke | Chapter 18 | Verse 29] ‘I tell you,’ he answered, ‘that there is no one who has left house, or wife, or brothers, or parents, or children, for the sake of the kingdom of God,
[OEB | EN | NT | Luke | Chapter 18 | Verse 30] who will not receive many times as much in the present, and in the age that is coming eternal life.’
[OEB | EN | NT | Luke | Chapter 18 | Verse 31] Gathering the Twelve round him, Jesus said to them, ‘Listen! We are going up to Jerusalem; and there everything that is written in the prophets will be done to the Son of Man.
[OEB | EN | NT | Luke | Chapter 18 | Verse 32] For he will be given up to the Gentiles, mocked, insulted and spat on;
[OEB | EN | NT | Luke | Chapter 18 | Verse 33] they will scourge him, and then put him to death; and on the third day he will rise again.’
[OEB | EN | NT | Luke | Chapter 18 | Verse 34] The apostles did not comprehend any of this. His meaning was unintelligible to them and they did not understand what he was saying.
[OEB | EN | NT | Luke | Chapter 18 | Verse 35] As Jesus was getting near Jericho, a blind man was sitting by the roadside, begging.
[OEB | EN | NT | Luke | Chapter 18 | Verse 36] Hearing a crowd going by, the man asked what was the matter;
[OEB | EN | NT | Luke | Chapter 18 | Verse 37] and, when people told him that Jesus of Nazareth was passing,
[OEB | EN | NT | Luke | Chapter 18 | Verse 38] he shouted out, ‘Jesus, Son of David, take pity on me!’
[OEB | EN | NT | Luke | Chapter 18 | Verse 39] Those who were in front kept telling him to be quiet, but he continued to call out the louder, ‘Son of David, take pity on me!’
[OEB | EN | NT | Luke | Chapter 18 | Verse 40] Then Jesus stopped and ordered the man to be brought to him. And, when he had come close up to him, Jesus asked him,
[OEB | EN | NT | Luke | Chapter 18 | Verse 41] ‘What do you want me to do for you?’ ‘Master,’ he said, ‘I want to recover my sight.’
[OEB | EN | NT | Luke | Chapter 18 | Verse 42] And Jesus said, ‘Recover your sight, your faith has delivered you.’
[OEB | EN | NT | Luke | Chapter 18 | Verse 43] Instantly he recovered his sight, and began to follow Jesus, praising God. And all the people, on seeing it, gave glory to God.
