[OEB | EN | NT | Luke | Chapter 1 | Verse 1] To his Excellency, Theophilus. Many attempts have been already made to draw up an account of those events which have reached their conclusion among us,
[OEB | EN | NT | Luke | Chapter 1 | Verse 51] ‘Mighty are the deeds of his arm! He has scattered the self-satisfied proud,
[OEB | EN | NT | Luke | Chapter 1 | Verse 52] he has cast down the mighty from their thrones, and he uplifts the humble,
[OEB | EN | NT | Luke | Chapter 1 | Verse 53] he has filled the hungry with good things, and the rich he has sent away empty.
[OEB | EN | NT | Luke | Chapter 1 | Verse 54] ‘He has stretched out his hand to his servant Israel, ever mindful of his mercy,
[OEB | EN | NT | Luke | Chapter 1 | Verse 55] as he promised to our ancestors, to Abraham and his descendants for ever.’
[OEB | EN | NT | Luke | Chapter 1 | Verse 56] Mary stayed with Elizabeth about three months, and then returned to her home.
[OEB | EN | NT | Luke | Chapter 1 | Verse 57] When Elizabeth’s time came, she gave birth to a son;
[OEB | EN | NT | Luke | Chapter 1 | Verse 58] and her neighbours and relatives, hearing of the great goodness of the Lord to her, came to share her joy.
[OEB | EN | NT | Luke | Chapter 1 | Verse 59] A week later they met to circumcise the child, and were about to call him Zechariah after his father,
[OEB | EN | NT | Luke | Chapter 1 | Verse 60] when his mother spoke up, ‘No, he is to be called John.’
[OEB | EN | NT | Luke | Chapter 1 | Verse 61] ‘You have no relation of that name!’ they exclaimed;
[OEB | EN | NT | Luke | Chapter 1 | Verse 62] and they made signs to the child’s father, to find out what he wished the child to be called.
[OEB | EN | NT | Luke | Chapter 1 | Verse 63] Asking for a writing tablet, he wrote the words – “His name is John.” Everyone was surprised
[OEB | EN | NT | Luke | Chapter 1 | Verse 64] and immediately Zechariah recovered his voice and the use of his tongue, and began to bless God.
[OEB | EN | NT | Luke | Chapter 1 | Verse 65] All their neighbours were awe-struck at this, and throughout the hill-country of Judea the whole story was much talked about.
[OEB | EN | NT | Luke | Chapter 1 | Verse 66] All who heard it kept it in mind, asking one another – ‘What can this child be destined to become?’ For the Power of the Lord was with him.
[OEB | EN | NT | Luke | Chapter 1 | Verse 67] Then his father Zechariah was filled with the Holy Spirit, and, speaking under inspiration, said:
[OEB | EN | NT | Luke | Chapter 1 | Verse 68] ‘Blessed is the Lord, the God of Israel, who has visited his people and wrought their deliverance,
[OEB | EN | NT | Luke | Chapter 1 | Verse 69] and has raised up for us the strength of our salvation in the house of his servant David –
[OEB | EN | NT | Luke | Chapter 1 | Verse 70] as he promised by the lips of his holy prophets of old –
[OEB | EN | NT | Luke | Chapter 1 | Verse 71] salvation from our enemies and from the hands of all who hate us,
[OEB | EN | NT | Luke | Chapter 1 | Verse 72] showing mercy to our ancestors, and mindful of his sacred covenant.
[OEB | EN | NT | Luke | Chapter 1 | Verse 73] This was the oath which he swore to our ancestor Abraham –
[OEB | EN | NT | Luke | Chapter 1 | Verse 74] that we should be rescued from the hands of our enemies,
[OEB | EN | NT | Luke | Chapter 1 | Verse 75] and should serve him without fear in holiness and righteousness, in his presence all our days.
[OEB | EN | NT | Luke | Chapter 1 | Verse 76] And you, child, will be called prophet of the Most High, for you will go before the Lord to make ready his way,
[OEB | EN | NT | Luke | Chapter 1 | Verse 77] to give his people the knowledge of salvation through the forgiveness of their sins,
[OEB | EN | NT | Luke | Chapter 1 | Verse 78] through the tender mercy of our God, whereby the dawn will break on us from heaven,
[OEB | EN | NT | Luke | Chapter 1 | Verse 79] to give light to those who live in darkness and the shadow of death, and guide our feet into the way of peace.’
[OEB | EN | NT | Luke | Chapter 1 | Verse 80] The child grew and became strong in spirit, and he lived in the wilds until the time came for his appearance before Israel.
