[OEB | EN | NT | Luke | Chapter 10 | Verse 1] After this, the Master appointed seventy-two other disciples, and sent them on as his messengers, two and two, in advance, to every town and place that he was himself intending to visit.
[OEB | EN | NT | Luke | Chapter 10 | Verse 25] Just then a student of the Law came forward to test Jesus further. ‘Teacher,’ he said, ‘what must I do if I am to gain eternal life?’
[OEB | EN | NT | Luke | Chapter 10 | Verse 26] ‘What is said in the Law?’ answered Jesus. ‘What do you read there?’
[OEB | EN | NT | Luke | Chapter 10 | Verse 27] His reply was – ‘You must love the Lord your God with all your heart, and with all your soul, and with all your strength, and with all your mind; and your neighbour as you love yourself.’
[OEB | EN | NT | Luke | Chapter 10 | Verse 28] ‘You have answered right,’ said Jesus, ‘Do that, and you will live.’
[OEB | EN | NT | Luke | Chapter 10 | Verse 29] But the man, wanting to justify himself, said to Jesus, ‘And who is my neighbour?’
[OEB | EN | NT | Luke | Chapter 10 | Verse 30] To which Jesus replied, ‘A man was once going down from Jerusalem to Jericho when he fell into the hands of robbers, who stripped him of everything, and beat him, and went away leaving him half dead.
[OEB | EN | NT | Luke | Chapter 10 | Verse 31] As it chanced, a priest was going down by that road. He saw the man, but passed by on the opposite side.
[OEB | EN | NT | Luke | Chapter 10 | Verse 32] A Levite, too, did the same; he came up to the spot, but, when he saw the man, passed by on the opposite side.
[OEB | EN | NT | Luke | Chapter 10 | Verse 33] But a Samaritan, traveling that way, came upon the man, and, when he saw him, he was moved with compassion.
[OEB | EN | NT | Luke | Chapter 10 | Verse 34] He went to him and bound up his wounds, dressing them with oil and wine, and then put him on his own mule, and brought him to an inn, and took care of him.
[OEB | EN | NT | Luke | Chapter 10 | Verse 35] The next day he took out two silver coins and gave them to the innkeeper. “Take care of him,” he said, “and whatever more you may spend I will myself repay you on my way back.”
[OEB | EN | NT | Luke | Chapter 10 | Verse 36] Now which, do you think, of these three men,’ asked Jesus, ‘proved himself a neighbour to the man who fell into the robbers’ hands?’
[OEB | EN | NT | Luke | Chapter 10 | Verse 37] ‘The one that took pity on him,’ was the answer; at which Jesus said, ‘Go and do the same yourself.’
[OEB | EN | NT | Luke | Chapter 10 | Verse 38] As they continued their journey, Jesus came to a village, where a woman named Martha welcomed him to her house.
[OEB | EN | NT | Luke | Chapter 10 | Verse 39] She had a sister called Mary, who seated herself at the Master’s feet, and listened to his teaching;
[OEB | EN | NT | Luke | Chapter 10 | Verse 40] but Martha was distracted by the many preparations that she was making. So she went up to Jesus and said, ‘Master, do you approve of my sister’s leaving me to make preparations alone? Tell her to help me.’
[OEB | EN | NT | Luke | Chapter 10 | Verse 41] ‘Martha, Martha,’ replied the Master, ‘you are anxious and trouble yourself about many things;
[OEB | EN | NT | Luke | Chapter 10 | Verse 42] but only a few are necessary, or rather one. Mary has chosen the good part, and it will not be taken away from her.’
