[OEB | EN | NT | Luke | Chapter 8 | Verse 1] Shortly afterwards, Jesus went on a journey through the towns and villages, proclaiming the good news of the kingdom of God. With him went the Twelve,
[OEB | EN | NT | Luke | Chapter 8 | Verse 18] Take care, then, how you listen. For, to all those who have, more will be given; while, from all those who have nothing, even what they seem to have will be taken away.’
[OEB | EN | NT | Luke | Chapter 8 | Verse 19] Presently Jesus’ mother and brothers came where he was, but they were not able to join him because of the crowd.
[OEB | EN | NT | Luke | Chapter 8 | Verse 20] So word was brought to him – “Your mother and your brothers are standing outside, wanting to see you.”
[OEB | EN | NT | Luke | Chapter 8 | Verse 21] His reply, spoken to them all, was, ‘My mother and my brothers are those who listen to God’s teaching and do what it says.’
[OEB | EN | NT | Luke | Chapter 8 | Verse 22] One day about that time, Jesus got into a boat with his disciples and said to them, ‘Let us go across the lake.’
[OEB | EN | NT | Luke | Chapter 8 | Verse 23] So they put off. While they were sailing, Jesus fell asleep. A squall swept down on the lake, and their boat was filling and they were in danger.
[OEB | EN | NT | Luke | Chapter 8 | Verse 24] So the disciples came and roused him. ‘Sir, Sir,’ they cried, ‘we are lost!’ Jesus rose and rebuked the wind and the rushing waves, and they fell, and a calm followed.
[OEB | EN | NT | Luke | Chapter 8 | Verse 25] ‘Where is your faith?’ he exclaimed. But in great awe and amazement they said to one another, ‘Who can this be, who commands even the winds and the waves, and they obey him?’
[OEB | EN | NT | Luke | Chapter 8 | Verse 26] They reached the region of the Gerasenes, which is on the opposite side to Galilee,
[OEB | EN | NT | Luke | Chapter 8 | Verse 27] and, on getting ashore, Jesus met a man, who had demons in him, coming out of the town. For a long time this man had worn no clothing, and he had not lived in a house, but in the tombs.
[OEB | EN | NT | Luke | Chapter 8 | Verse 28] Catching sight of Jesus, he shrieked out and threw himself down before him, and in a loud voice exclaimed, ‘What do you want with me, Jesus, Son of the Most High God? I beg you not to torment me.’
[OEB | EN | NT | Luke | Chapter 8 | Verse 29] For Jesus was commanding the foul spirit to come out of the man. On many occasions it had seized him, and, even when secured with chains and fetters, and watched, he would break through anything that bound him, and be driven by the demon into the wilds.
[OEB | EN | NT | Luke | Chapter 8 | Verse 30] ‘What is your name?’ Jesus asked. ‘Legion,’ he answered (for many demons had taken possession of him);
[OEB | EN | NT | Luke | Chapter 8 | Verse 31] and the demons begged Jesus not to order them away into the bottomless pit.
[OEB | EN | NT | Luke | Chapter 8 | Verse 32] There was a herd of many pigs close by feeding on the hill-side; and the demons begged Jesus to give them leave to enter into them. Jesus gave them leave.
[OEB | EN | NT | Luke | Chapter 8 | Verse 33] They came out from the man and took possession of the pigs; and the herd rushed down the steep slope into the lake and were drowned.
[OEB | EN | NT | Luke | Chapter 8 | Verse 34] When the men who tended them saw what had happened, they ran away, and carried the news to the town, and to the country round.
[OEB | EN | NT | Luke | Chapter 8 | Verse 35] The people went out to see what had happened, and, when they came to Jesus, they found the man from whom the demons had gone out, sitting, clothed and in his right mind, at Jesus’ feet; and they were awe-struck.
[OEB | EN | NT | Luke | Chapter 8 | Verse 36] Those who had seen it told them how the possessed man had been delivered.
[OEB | EN | NT | Luke | Chapter 8 | Verse 37] Then all the people in the region of the Gerasenes asked Jesus to leave them, for they were terrified. Jesus got into a boat and returned.
[OEB | EN | NT | Luke | Chapter 8 | Verse 38] The man from whom the demons had gone out begged Jesus to let him be with him; but Jesus sent him away.
[OEB | EN | NT | Luke | Chapter 8 | Verse 39] ‘Go back to your home,’ he said, ‘and relate the story of all that God has done for you.’ So the man went through the whole town and proclaimed, as he went, all that Jesus had done for him.
[OEB | EN | NT | Luke | Chapter 8 | Verse 40] On his return, Jesus was welcomed by the people; for everyone was looking out for him.
[OEB | EN | NT | Luke | Chapter 8 | Verse 41] And a man named Jairus, who was a synagogue leader, came to Jesus, and threw himself at Jesus’ feet, with entreaties that he would come to his house,
[OEB | EN | NT | Luke | Chapter 8 | Verse 42] because his only daughter, who was about twelve years old, was dying. As Jesus was going, the people were pressing closely round him.
[OEB | EN | NT | Luke | Chapter 8 | Verse 43] And a woman, who had suffered from haemorrhage for twelve years, and whom no one could cure,
[OEB | EN | NT | Luke | Chapter 8 | Verse 44] came up behind and touched the tassel of his cloak. Instantly the haemorrhage ceased.
[OEB | EN | NT | Luke | Chapter 8 | Verse 45] ‘Who touched me?’ Jesus asked; and, while everyone was denying having done so, Peter exclaimed, ‘Why, Sir, the people are crowding round you and pressing against you!’
[OEB | EN | NT | Luke | Chapter 8 | Verse 46] ‘Somebody touched me,’ said Jesus, ‘for I felt that power had gone out from me.’
[OEB | EN | NT | Luke | Chapter 8 | Verse 47] Then the woman, when she saw that she was discovered, came forward trembling, and threw herself down before him; and, in the presence of all the people, she told him her reason for touching him, and that she had been cured instantly.
[OEB | EN | NT | Luke | Chapter 8 | Verse 48] ‘Daughter,’ he said, ‘your faith has delivered you. Go, and peace be with you.’
[OEB | EN | NT | Luke | Chapter 8 | Verse 49] Before he had finished speaking, someone came from the house of the synagogue leader and said, ‘Your daughter is dead! Do not trouble the teacher further.’
[OEB | EN | NT | Luke | Chapter 8 | Verse 50] But Jesus, hearing this, spoke to the leader, ‘Do not be afraid; only have faith, and she will yet be delivered.’
[OEB | EN | NT | Luke | Chapter 8 | Verse 51] When he reached the house, he did not allow anyone to go in with him, except Peter, John, and James, and the child’s father and mother.
[OEB | EN | NT | Luke | Chapter 8 | Verse 52] And everyone was weeping and mourning for her. ‘Do not weep,’ Jesus said, ‘she is not dead; she is asleep.’
[OEB | EN | NT | Luke | Chapter 8 | Verse 53] They began to laugh at him, for they knew that she was dead.
[OEB | EN | NT | Luke | Chapter 8 | Verse 54] But, taking her by the hand, Jesus said in a loud voice, ‘Child, rise!’
[OEB | EN | NT | Luke | Chapter 8 | Verse 55] The child’s spirit returned to her, and she instantly stood up; and Jesus ordered them to give her something to eat.
[OEB | EN | NT | Luke | Chapter 8 | Verse 56] Her parents were amazed, but Jesus impressed on them that they were not to tell anyone what had happened.
