[OEB | EN | NT | Luke | Chapter 6 | Verse 1] One Sabbath Jesus was walking through cornfields, and his disciples were picking the ears of wheat, and rubbing them in their hands, and eating them.
[OEB | EN | NT | Luke | Chapter 6 | Verse 39] Then, speaking in parables, Jesus said, ‘Can one blind person guide another? Will they not both fall into a ditch?
[OEB | EN | NT | Luke | Chapter 6 | Verse 40] A student is not above their teacher; yet every finished student will be like their teacher.
[OEB | EN | NT | Luke | Chapter 6 | Verse 41] And why do you look at the speck of sawdust in someone’s eye, while you pay no attention at all to the plank of wood in your own?
[OEB | EN | NT | Luke | Chapter 6 | Verse 42] How can you say to your friend “Friend, let me take out the speck in your eye,” while you yourself do not see the plank in your own? Hypocrite! Take out the plank from your own eye first, and then you will see clearly how to take out the speck in your friend’s.
[OEB | EN | NT | Luke | Chapter 6 | Verse 43] There is no such thing as a good tree bearing worthless fruit, or, on the other hand, a worthless tree bearing good fruit.
[OEB | EN | NT | Luke | Chapter 6 | Verse 44] For every tree is known by its own fruit. People do not gather figs off thorn bushes, nor pick a bunch of grapes off a bramble.
[OEB | EN | NT | Luke | Chapter 6 | Verse 45] A good person, from the good stores of their heart, brings out what is good; while a bad person, from their bad stores, brings out what is bad. For what fills someone’s heart will rise to their lips.
[OEB | EN | NT | Luke | Chapter 6 | Verse 46] Why do you call me “Master! Master!” and yet fail to do what I tell you?
[OEB | EN | NT | Luke | Chapter 6 | Verse 47] Everyone who comes to me and listens to my teaching and acts on it – I will show you to whom they may be compared.
[OEB | EN | NT | Luke | Chapter 6 | Verse 48] They may be compared to a person building a house, who dug, and went deep, and laid the foundation on the rock. Then, when a flood came, the river swept down on that house, but had no power to shake it, because it had been built well.
[OEB | EN | NT | Luke | Chapter 6 | Verse 49] But those who have listened and not acted on what they have heard may be compared to a person who built a house on the ground without any foundation. The river swept down on it, and the house immediately collapsed; and great was the crash that followed.’
