[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 1] And David spoke unto the LORD the words of this song in the day that the LORD delivered him out of the hand of all his enemies, and out of the hand of Saul;
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 19] They confronted me in the day of my calamity; but the LORD was a stay unto me.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 20] He brought me forth also into a large place; He delivered me, because He delighted in me.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 21] The LORD rewarded me according to my righteousness; according to the cleanness of my hands hath He recompensed me.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 22] For I have kept the ways of the LORD, and have not wickedly departed from my God.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 23] For all His ordinances were before me; and as for His statutes, I did not depart from them.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 24] And I was single-hearted toward Him, and I kept myself from mine iniquity.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 25] Therefore hath the LORD recompensed me according to my righteousness, according to my cleanness in His eyes.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 26] With the merciful Thou dost show Thyself merciful, with the upright man Thou dost show Thyself upright,
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 27] With the pure Thou dost show myself pure; and with the crooked Thou dost show Thyself subtle.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 28] And the afflicted people Thou dost save; but Thine eyes are upon the haughty, that Thou mayest humble them.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 29] For Thou art my lamp, O LORD; and the LORD doth lighten my darkness.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 30] For by Thee I run upon a troop; by my God do I scale a wall.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 31] As for God, His way is perfect; the word of the LORD is tried; He is a shield unto all them that take refuge in Him.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 32] For who is God, save the LORD? and who is a Rock, save our God?
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 33] The God who is my strong fortress, and who letteth my way go forth straight;
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 34] Who maketh my feet like hinds', and setteth me upon my high places;
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 35] Who traineth my hands for war, so that mine arms do bend a bow of brass.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 36] Thou hast also given me Thy shield of salvation; and Thy condescension hath made me great.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 37] Thou hast enlarged my steps under me, and my feet have not slipped.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 38] I have pursued mine enemies, and destroyed them; neither did I turn back till they were consumed.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 39] And I have consumed them, and smitten them through, that they cannot arise; yea, they are fallen under my feet.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 40] For Thou hast girded me with strength unto the battle; Thou hast subdued under me those that rose up against me.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 41] Thou hast also made mine enemies turn their backs unto me; yea, them that hate me, that I might cut them off.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 42] They looked, but there was none to save; even unto the LORD, but He answered them not.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 43] Then did I beat them small as the dust of the earth, I did stamp them as the mire of the streets, and did tread them down.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 44] Thou also hast delivered me from the contentions of my people; Thou hast kept me to be the head of the nations; a people whom I have not known serve me.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 45] The sons of the stranger dwindle away before me; as soon as they hear of me, they obey me.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 46] The sons of the stranger fade away, and come halting out of their close places.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 47] The LORD liveth, and blessed be my Rock; and exalted be the God, my Rock of salvation;
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 48] Even the God that executeth vengeance for me, and bringeth down peoples under me,
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 49] And that bringeth me forth from mine enemies; yea, Thou liftest me up above them that rise up against me; Thou deliverest me from the violent man.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 50] Therefore I will give thanks unto Thee, O LORD, among the nations, and will sing praises unto Thy name.
[JPS | EN | OT | 2 Samuel | Chapter 22 | Verse 51] A tower of salvation is He to His king; and showeth mercy to His anointed, to David and to his seed, for evermore.
