[IRV | KN | OT | Proverbs | Chapter 12 | Verse 1] ತಿಳಿವಳಿಕೆಯನ್ನು ಪ್ರೀತಿಸುವವನು ಶಿಕ್ಷಣವನ್ನು ಪ್ರೀತಿಸುತ್ತಾನೆ, ಮೂರ್ಖನು ಗದರಿಕೆಯನ್ನು ದ್ವೇಷಿಸುತ್ತಾನೆ.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 12] ಕೆಡುಕರ ಕೊಳ್ಳೆಯು ದುಷ್ಟರಿಗೆ ಇಷ್ಟ, ಆದರೆ ಶಿಷ್ಟರ ಬುಡ ಫಲದಾಯಕ.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 13] ದುಷ್ಟನು ತನ್ನ ತುಟಿಗಳ ದೋಷದಿಂದ ಬೋನಿಗೆ ಬೀಳುವನು, ಶಿಷ್ಟನು ಇಕ್ಕಟ್ಟಿನಿಂದ ಪಾರಾಗುವನು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 14] ಬಾಯಿಯ ಫಲವಾಗಿ ಮನುಷ್ಯನು ಬೇಕಾದಷ್ಟು ಸುಖವನ್ನು ಅನುಭವಿಸುವನು, ಅವನ ಕೈಕೆಲಸದ ಫಲವು ಅವನಿಗೆ ಪ್ರಾಪ್ತವಾಗುವುದು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 15] ಮೂರ್ಖನ ನಡತೆ ಅವನ ದೃಷ್ಟಿಗೆ ಸರಿ, ಜ್ಞಾನಿಯು ಉಚಿತಾಲೋಚನೆಯನ್ನು ಗಮನಿಸುವನು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 16] ಮೂರ್ಖನ ಸಿಟ್ಟು ತಟ್ಟನೆ ರಟ್ಟಾಗುವುದು, ಜಾಣನು ಅವಮಾನವನ್ನು ಮರೆಮಾಡುವನು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 17] ಸತ್ಯವನ್ನಾಡುವವನು ನ್ಯಾಯವನ್ನು ತೋರ್ಪಡಿಸುವನು, ಸುಳ್ಳುಸಾಕ್ಷಿಯು ಅಸತ್ಯವನ್ನು ನುಡಿಯುವನು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 18] ಕತ್ತಿ ತಿವಿದ ಹಾಗೆ ದುಡುಕಿ ಮಾತನಾಡುವವರುಂಟು, ಜ್ಞಾನವಂತರ ಮಾತು ಸ್ವಸ್ಥತೆಯನ್ನು ತರುವುದು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 19] ಸತ್ಯದ ತುಟಿ ಶಾಶ್ವತ, ಸುಳ್ಳಿನ ನಾಲಿಗೆ ಕ್ಷಣಿಕ.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 20] ಕೇಡನ್ನು ಕಲ್ಪಿಸುವವರ ಹೃದಯದಲ್ಲಿ ಮೋಸ, ಹಿತೋಪದೇಶಕರ ಮನಸ್ಸಿನಲ್ಲಿ ಉಲ್ಲಾಸ.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 21] ಸಜ್ಜನರಿಗೆ ಯಾವ ಹಾನಿಯೂ ಸಂಭವಿಸದು, ದುರ್ಜನರಿಗೆ ಕೇಡು ತುಂಬಿ ತುಳುಕುವುದು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 22] ಸುಳ್ಳುತುಟಿ ಯೆಹೋವನಿಗೆ ಅಸಹ್ಯವಾಗಿವೆ. ಸತ್ಯವಂತರು ಆತನಿಗೆ ಆನಂದ ತರುತ್ತಾರೆ.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 23] ಜಾಣನು ತನ್ನ ಜ್ಞಾನವನ್ನು ಗುಪ್ತಪಡಿಸುವನು, ಮೂಢರ ಮನಸ್ಸು ಮೂರ್ಖತನವನ್ನು ಪ್ರಕಟಿಸುವುದು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 24] ಚುರುಕುಗೈಯವನಿಗೆ ರಾಜ್ಯಾಧಿಕಾರ, ಮೈಗಳ್ಳನಿಗೆ ದಾಸತ್ವದ ಬದುಕು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 25] ಕಳವಳವು ಮನಸ್ಸನ್ನು ಕುಗ್ಗಿಸುವುದು, ಕನಿಕರದ ಮಾತು ಅದನ್ನು ಹಿಗ್ಗಿಸುವುದು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 26] ಸನ್ಮಾರ್ಗಿಯು ನೆರೆಯವನಿಗೆ ಮಾರ್ಗತೋರಿಸುವನು, ದುರ್ಮಾರ್ಗಿಯು ಮಾರ್ಗತಪ್ಪಿಸುವನು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 27] ಮೈಗಳ್ಳನು ಹಿಡಿದ ಬೇಟೆಯನ್ನೂ ಅನುಭವಿಸಲಾರನು, ಸನ್ಮಾರ್ಗದಲ್ಲಿ ನಡೆಯುವವನಿಗೆ ಅಮೂಲ್ಯ ಸಂಪತ್ತು ದೊರಕುವುದು.
[IRV | KN | OT | Proverbs | Chapter 12 | Verse 28] ಧರ್ಮಮಾರ್ಗದಿಂದ ಜೀವಲಾಭವು, ಆ ಮಾರ್ಗದಲ್ಲಿ ಮರಣವಿಲ್ಲ.
