[IRV | KN | OT | Proverbs | Chapter 6 | Verse 1] ಮಗನೇ, ನೀನು ನೆರೆಯವನ ಸಾಲಕ್ಕೆ ಹೊಣೆಯಾಗಿದ್ದರೆ, ಪರನೊಂದಿಗೆ ಪ್ರಮಾಣ ಮಾಡಿಕೊಂಡಿದ್ದರೆ,
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 17] ಅವು ಯಾವುವೆಂದರೆ, ಹೆಮ್ಮೆಯ ಕಣ್ಣು, ಸುಳ್ಳಿನ ನಾಲಿಗೆ, ನಿರ್ದೋಷಿಗಳ ರಕ್ತವನ್ನು ಸುರಿಸುವ ಕೈ,
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 18] ದುರಾಲೋಚನೆಗಳನ್ನು ಕಲ್ಪಿಸುವ ಹೃದಯ, ಕೇಡುಮಾಡಲು ತ್ವರೆಪಡುವ ಕಾಲು,
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 19] ಅಸತ್ಯವಾಡುವ ಸುಳ್ಳುಸಾಕ್ಷಿ ಮತ್ತು ಒಡಹುಟ್ಟಿದವರಲ್ಲಿ ಜಗಳಗಳನ್ನು ಬಿತ್ತುವವನು ಇವುಗಳೇ.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 20] ಕಂದಾ, ತಂದೆಯ ಆಜ್ಞೆಯನ್ನು ಕೈಕೊಳ್ಳು, ತಾಯಿಯ ಉಪದೇಶವನ್ನು ಬಿಡಬೇಡ.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 21] ಅವುಗಳನ್ನು ಸದಾ ನಿನ್ನ ಹೃದಯದಲ್ಲಿ ಇಟ್ಟುಕೋ, ನಿನ್ನ ಕೊರಳಿಗೆ ಅವುಗಳನ್ನು ಧರಿಸಿಕೋ.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 22] ನೀನು ನಡೆಯುವಾಗ ಆ ಉಪದೇಶವು ನಿನ್ನನ್ನು ಮುನ್ನಡೆಸುವುದು, ಮಲಗಿಕೊಂಡಾಗ ಅದು ನಿನ್ನನ್ನು ಕಾಯುವುದು, ಎಚ್ಚರಗೊಂಡಾಗ ನಿನ್ನೊಂದಿಗೆ ಮಾತನಾಡುವುದು.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 23] ಆಜ್ಞೆಯೇ ದೀಪ, ಉಪದೇಶವೇ ಬೆಳಕು, ಶಿಕ್ಷಣಪೂರ್ವಕವಾದ ಬೋಧನೆಯೇ ಜೀವದ ಮಾರ್ಗ.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 24] ಅದು ಕೆಟ್ಟ ಸ್ತ್ರೀಯಿಂದಲೂ, ವೇಶ್ಯೆಯ ಸಿಹಿನುಡಿಯಿಂದಲೂ ನಿನ್ನನ್ನು ರಕ್ಷಿಸತಕ್ಕದ್ದಾಗಿದೆ.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 25] ನಿನ್ನ ಹೃದಯವು ಅವಳ ಸೌಂದರ್ಯವನ್ನು ಮೋಹಿಸದಿರಲಿ, ಅವಳು ತನ್ನ ಕಣ್ಣುರೆಪ್ಪೆಗಳಿಂದ ನಿನ್ನನ್ನು ವಶಮಾಡಿಕೊಂಡಾಳು, ನೋಡಿಕೋ.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 26] ವೇಶ್ಯೆಯಿಂದ ಯಾವನಿಗಾದರೂ ಒಂದು ರೊಟ್ಟಿ ಮಾತ್ರ ಗತಿಯಾಗುವುದು, ಪರಸ್ತ್ರೀಯೋ ಅಮೂಲ್ಯವಾದ ಜೀವವನ್ನು ಬೇಟೆಯಾಡುವಳು.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 27] ಮಡಿಲಲ್ಲಿ ಬೆಂಕಿಯನ್ನು ಇಟ್ಟುಕೊಂಡರೆ ಬಟ್ಟೆ ಸುಡುವುದಿಲ್ಲವೋ?
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 28] ಧಗಧಗಿಸುವ ಕೆಂಡದ ಮೇಲೆ ನಡೆದರೆ ಕಾಲು ಬೇಯುವುದಿಲ್ಲವೋ?
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 29] ನೆರೆಯವನ ಹೆಂಡತಿಯ ಹತ್ತಿರ ಹೋಗುವವನಿಗೆ ಹೀಗೆಯೇ ಆಗುವುದು, ಯಾರು ಅವಳನ್ನು ಮುಟ್ಟುವನೋ ಅವನು ದಂಡನೆಯನ್ನು ಹೊಂದದೇ ಇರನು.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 30] ಕಳ್ಳನು ಹೊಟ್ಟೆಗಿಲ್ಲದೆ ಹಸಿವೆಯನ್ನು ನೀಗಿಸಲು ಕಳವು ಮಾಡಿದರೆ ಜನರು ಅಷ್ಟೇನೂ ಹೀಯಾಳಿಸರು.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 31] ಅವನ ತಪ್ಪು ಬಯಲಾದರೆ ಅವನು ಏಳರಷ್ಟು ಕೊಡಬೇಕಾಗುವುದು, ಅಥವಾ ತನ್ನ ಮನೆಯ ಆಸ್ತಿಯನ್ನೆಲ್ಲಾ ಕೊಟ್ಟು ತೀರಿಸಲೇಬೇಕು.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 32] ವ್ಯಭಿಚಾರಿಯೋ ಕೇವಲ ಬುದ್ಧಿಹೀನನು, ಇಂಥಾ ಕಾರ್ಯವನ್ನು ಮಾಡುವವನು ತನ್ನನ್ನೇ ನಾಶಪಡಿಸಿಕೊಳ್ಳುವನು.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 33] ಅವನಿಗೆ ಗಾಯವೂ, ಅವಮಾನವೂ ಆಗುವವು, ಅವನ ಕೆಟ್ಟ ಹೆಸರು ಎಂದಿಗೂ ಅಳಿಸಲ್ಪಡದು.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 34] ಏಕೆಂದರೆ ಮತ್ಸರವು ಪತಿಗೆ ಕ್ರೋಧವನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ, ಅವನು ಮುಯ್ಯಿತೀರಿಸತಕ್ಕ ದಿನದಲ್ಲಿ ವ್ಯಭಿಚಾರಿಯನ್ನು ಉಳಿಸನು.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 35] ಅವನು ಯಾವ ಈಡನ್ನೂ ಮುಟ್ಟನು; ಎಷ್ಟು ಲಂಚಕೊಟ್ಟರೂ ಒಪ್ಪನು.
