[IRV | KN | OT | Proverbs | Chapter 14 | Verse 1] ಜ್ಞಾನವಂತೆಯು ತನ್ನ ಮನೆಯನ್ನು ಕಟ್ಟಿಕೊಳ್ಳುವಳು, ಜ್ಞಾನಹೀನಳು ಅದನ್ನು ಸ್ವಂತ ಕೈಯಿಂದ ನಾಶಮಾಡುವಳು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 15] ಮೂಢನು ಯಾವ ಮಾತನ್ನಾದರೂ ನಂಬುವನು, ಜಾಣನು ತನ್ನ ನಡತೆಯನ್ನು ಚೆನ್ನಾಗಿ ಗಮನಿಸುವನು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 16] ಜ್ಞಾನಿಯು ಕೇಡಿಗೆ ಭಯಪಟ್ಟು ಓರೆಯಾಗುವನು, ಜ್ಞಾನಹೀನನು ಸೊಕ್ಕಿನಿಂದ ಭಯವನ್ನು ಲಕ್ಷಿಸನು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 17] ಮುಂಗೋಪಿಯು ಬುದ್ಧಿಹೀನನಾಗಿ ವರ್ತಿಸುವನು, ಕುಯುಕ್ತಿಯುಳ್ಳವನು ದ್ವೇಷಕ್ಕೆ ಪಾತ್ರನು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 18] ಮೂರ್ಖರಿಗೆ ಮೂರ್ಖತನವೇ ಸ್ವತ್ತು, ಜಾಣರಿಗೆ ಜ್ಞಾನವೇ ಕಿರೀಟ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 19] ಕೆಟ್ಟವರು ಒಳ್ಳೆಯವರಿಗೆ ಬಾಗುವರು, ದುಷ್ಟರು ಶಿಷ್ಟರ ಬಾಗಿಲಲ್ಲಿ ಅಡ್ಡಬೀಳುವರು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 20] ಬಡವನು ನೆರೆಯವನಿಗೂ ಅಸಹ್ಯ, ಧನವಂತನಿಗೆ ಬಹು ಜನ ಮಿತ್ರರು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 21] ನೆರೆಯವನನ್ನು ತಿರಸ್ಕರಿಸುವವನು ದೋಷಿ, ದರಿದ್ರನನ್ನು ಕನಿಕರಿಸುವವನು ಧನ್ಯನು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 22] ಕುಯುಕ್ತಿಯುಳ್ಳವರು ದಾರಿತಪ್ಪಿದವರೇ ಸರಿ, ಒಳ್ಳೆಯದನ್ನು ಕಲ್ಪಿಸುವವರು ಪ್ರೀತಿಸತ್ಯತೆಗಳಿಗೆ ಪಾತ್ರರು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 23] ಶ್ರಮೆಯಿಂದ ಸಮೃದ್ಧಿ, ಹರಟೆಯಿಂದ ಕೊರತೆ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 24] ಜ್ಞಾನಿಗಳ ಜ್ಞಾನಕಿರೀಟವೇ ಅವರ ಶ್ರೇಷ್ಠ ಸಂಪತ್ತು, ಜ್ಞಾನಹೀನರ ಮೂರ್ಖತನವು ಬರೀ ಮೂರ್ಖತನವೇ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 25] ಸತ್ಯಸಾಕ್ಷಿಯು ಪ್ರಾಣರಕ್ಷಕ, ಸುಳ್ಳುಸಾಕ್ಷಿಯು ವಂಚಕ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 26] ಯೆಹೋವನಿಗೆ ಭಯಪಡುವುದರಿಂದ ಕೇವಲ ನಿರ್ಭಯ, ಆತನ ಮಕ್ಕಳಿಗೆ ಆಶ್ರಯವಿದ್ದೇ ಇರುವುದು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 27] ಯೆಹೋವನ ಭಯ ಜೀವದ ಬುಗ್ಗೆ, ಮೃತ್ಯುಪಾಶದಿಂದ ತಪ್ಪಿಸಿಕೊಳ್ಳಲು ಅದು ಸಾಧನವಾಗಿದೆ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 28] ಪ್ರಜೆಗಳ ವೃದ್ಧಿ ರಾಜನ ಮಹಿಮೆ, ಪ್ರಜೆಗಳ ನಾಶ ಪ್ರಭುವಿಗೆ ಭಯ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 29] ದೀರ್ಘಶಾಂತನು ಕೇವಲ ಬುದ್ಧಿವಂತನು, ಮುಂಗೋಪಿಯು ಮೂರ್ಖತನವನ್ನು ಧ್ವಜವಾಗಿ ಎತ್ತುವನು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 30] ಶಾಂತಗುಣವು ದೇಹಕ್ಕೆ ಜೀವಾಧಾರವು, ಕ್ರೋಧವು ಎಲುಬಿಗೆ ಕ್ಷಯವು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 31] ಬಡವರನ್ನು ಹಿಂಸಿಸುವವನು ಸೃಷ್ಟಿಕರ್ತನನ್ನು ಹೀನೈಸುವನು, ಗತಿಯಿಲ್ಲದವರನ್ನು ಕರುಣಿಸುವವನು ಆತನನ್ನು ಘನಪಡಿಸುವನು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 32] ದುಷ್ಟನು ವಿಪತ್ತಿಗೊಳಗಾಗಿ ಹಾಳಾಗುವನು, ಶಿಷ್ಟನು ಮರಣಕಾಲದಲ್ಲಿಯೂ ಆಶ್ರಯಹೊಂದುವನು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 33] ವಿವೇಕಿಯ ಹೃದಯ ಜ್ಞಾನಾಶ್ರಯ, ಜ್ಞಾನಹೀನನ ಹೃದಯದಲ್ಲಿ ಅದು ಕಾಣದು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 34] ಪ್ರಜೆಗೆ ಧರ್ಮವು ಉನ್ನತಿ, ಅಧರ್ಮವು ಅವಮಾನ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 35] ಜಾಣನಾದ ಸೇವಕನಿಗೆ ರಾಜನ ಕೃಪೆ, ಮಾನಗೇಡಿಗೆ ರಾಜನ ರೌದ್ರ.
