[GNV | EN | NT | Acts | Chapter 2 | Verse 1] And when the day of Pentecost was come, they were al with one accord in one place.
[GNV | EN | NT | Acts | Chapter 2 | Verse 29] Men and brethren, I may boldly speake vnto you of the Patriarke Dauid, that hee is both dead and buried, and his sepulchre remaineth with vs vnto this day.
[GNV | EN | NT | Acts | Chapter 2 | Verse 30] Therefore, seeing hee was a Prophet, and knewe that God had sworne with an othe to him, that of the fruite of his loynes hee woulde raise vp Christ concerning the flesh, to set him vpon his throne,
[GNV | EN | NT | Acts | Chapter 2 | Verse 31] Hee knowing this before, spake of the resurrection of Christ, that his soule shoulde not bee left in graue, neither his flesh shoulde see corruption.
[GNV | EN | NT | Acts | Chapter 2 | Verse 32] This Iesus hath God raised vp, whereof we all are witnesses.
[GNV | EN | NT | Acts | Chapter 2 | Verse 33] Since then that he by the right hande of God hath bene exalted, and hath receiued of his Father the promise of the holy Ghost, hee hath shed foorth this which yee nowe see and heare.
[GNV | EN | NT | Acts | Chapter 2 | Verse 34] For Dauid is not ascended into heauen, but he sayth, The Lord sayd to my Lord, Sit at my right hande,
[GNV | EN | NT | Acts | Chapter 2 | Verse 35] Vntill I make thine enemies thy footestoole.
[GNV | EN | NT | Acts | Chapter 2 | Verse 36] Therefore, let all the house of Israel know for a suretie, that God hath made him both Lord, and Christ, this Iesus, I say, whome yee haue crucified.
[GNV | EN | NT | Acts | Chapter 2 | Verse 37] Now when they heard it, they were pricked in their heartes, and said vnto Peter and the other Apostles, Men and brethren, what shall we doe?
[GNV | EN | NT | Acts | Chapter 2 | Verse 38] Then Peter said vnto them, Amend your liues, and bee baptized euery one of you in the Name of Iesus Christ for the remission of sinnes: and ye shall receiue the gift of the holy Ghost.
[GNV | EN | NT | Acts | Chapter 2 | Verse 39] For the promise is made vnto you, and to your children, and to all that are a farre off, euen as many as the Lord our God shall call.
[GNV | EN | NT | Acts | Chapter 2 | Verse 40] And with many other words he besought and exhorted them, saying, Saue your selues from this froward generation.
[GNV | EN | NT | Acts | Chapter 2 | Verse 41] Then they that gladly receiued his word, were baptized: and the same day there were added to the Church about three thousand soules.
[GNV | EN | NT | Acts | Chapter 2 | Verse 42] And they continued in the Apostles doctrine, and fellowship, and breaking of bread, and prayers.
[GNV | EN | NT | Acts | Chapter 2 | Verse 43] And feare came vpon euery soule: and many wonders and signes were done by ye Apostles.
[GNV | EN | NT | Acts | Chapter 2 | Verse 44] And all that beleeued, were in one place, and had all things common.
[GNV | EN | NT | Acts | Chapter 2 | Verse 45] And they sold their possessions and goods, and parted them to all me, as euery one had need.
[GNV | EN | NT | Acts | Chapter 2 | Verse 46] And they continued dayly with one accord in the Temple, and breaking bread at home, did eate their meate together with gladnesse and singlenesse of heart,
[GNV | EN | NT | Acts | Chapter 2 | Verse 47] Praysing God, and had fauour with all the people: and the Lord added to the Church from day to day, such as should be saued.
