[GNV | EN | NT | Acts | Chapter 21 | Verse 1] And as we launched forth, and were departed from them, we came with a straight course vnto Coos, and the day following vnto the Rhodes, and from thence vnto Patara.
[GNV | EN | NT | Acts | Chapter 21 | Verse 25] For as touching ye Gentiles, which beleeue, we haue written, and determined that they obserue no such thing, but that they keepe themselues from things offred to idoles, and from blood, and from that that is strangled, and from fornication.
[GNV | EN | NT | Acts | Chapter 21 | Verse 26] Then Paul tooke the men, and the next day was purified with them, and entred into the Temple, declaring the accomplishment of the dayes of the purification, vntill that an offering should be offered for euery one of them.
[GNV | EN | NT | Acts | Chapter 21 | Verse 27] And when the seuen dayes were almost ended, the Iewes which were of Asia (when they sawe him in the Temple) moued all the people, and laide hands on him,
[GNV | EN | NT | Acts | Chapter 21 | Verse 28] Crying, Men of Israel, helpe: this is the man that teacheth all men euery where against the people, and the Lawe, and this place: moreouer, he hath brought Grecians into the Temple, and hath polluted this holy place.
[GNV | EN | NT | Acts | Chapter 21 | Verse 29] For they had seene before Trophimus an Ephesian with him in the citie, whom they supposed that Paul had brought into the Temple.
[GNV | EN | NT | Acts | Chapter 21 | Verse 30] Then all the citie was moued, and the people ran together: and they tooke Paul and drewe him out of the Temple, and forth with the doores were shut.
[GNV | EN | NT | Acts | Chapter 21 | Verse 31] But as they went about to kill him, tydings came vnto the chiefe captaine of the band, that all Hierusalem was on an vproare.
[GNV | EN | NT | Acts | Chapter 21 | Verse 32] Who immediately tooke souldiers and Centurions, and ran downe vnto them: and when they sawe the chiefe Captaine and the souldiers, they left beating of Paul.
[GNV | EN | NT | Acts | Chapter 21 | Verse 33] Then the chiefe Captaine came neere and tooke him, and commanded him to be bound with two chaines, and demaunded who he was, and what he had done.
[GNV | EN | NT | Acts | Chapter 21 | Verse 34] And one cryed this, another that, among the people. So when he could not know the certeintie for the tumult, he commanded him to be led into the castell.
[GNV | EN | NT | Acts | Chapter 21 | Verse 35] And when hee came vnto the grieces, it was so that he was borne of the souldiers, for the violence of the people.
[GNV | EN | NT | Acts | Chapter 21 | Verse 36] For the multitude of the people followed after, crying, Away with him.
[GNV | EN | NT | Acts | Chapter 21 | Verse 37] And as Paul should haue bene led into the castell, he sayd vnto the chiefe Captaine, May I speake vnto thee? Who sayd, Canst thou speake Greeke?
[GNV | EN | NT | Acts | Chapter 21 | Verse 38] Art not thou the Egyptian who before these dayes raised a sedition, and led out into the wildernesse foure thousande men that were murtherers?
[GNV | EN | NT | Acts | Chapter 21 | Verse 39] Then Paul sayde, Doubtlesse, I am a man which am a Iewe, and citizen of Tarsus, a famous citie of Cilicia, and I beseech thee, suffer mee to speake vnto the people.
[GNV | EN | NT | Acts | Chapter 21 | Verse 40] And when he had giuen him licence, Paul stoode on the grieces, and beckened with the hand vnto the people: and when there was made great silence, hee spake vnto them in the Hebrewe tongue, saying,
