[YLT | EN | NT | John | Chapter 7 | Verse 1] And Jesus was walking after these things in Galilee, for he did not wish to walk in Judea, because the Jews were seeking to kill him,
[YLT | EN | NT | John | Chapter 7 | Verse 30] They were seeking, therefore, to seize him, and no one laid the hand on him, because his hour had not yet come,
[YLT | EN | NT | John | Chapter 7 | Verse 31] and many out of the multitude did believe in him, and said — 'The Christ — when he may come — will he do more signs than these that this one did?'
[YLT | EN | NT | John | Chapter 7 | Verse 32] The Pharisees heard the multitude murmuring these things concerning him, and the Pharisees and the chief priests sent officers that they may take him;
[YLT | EN | NT | John | Chapter 7 | Verse 33] Jesus, therefore, said to them, 'Yet a little time I am with you, and I go away unto Him who sent me;
[YLT | EN | NT | John | Chapter 7 | Verse 34] ye will seek me, and ye shall not find; and where I am, ye are not able to come.'
[YLT | EN | NT | John | Chapter 7 | Verse 35] The Jews, therefore, said among themselves, 'Whither is this one about to go that we shall not find him? — to the dispersion of the Greeks is he about to go? and to teach the Greeks;
[YLT | EN | NT | John | Chapter 7 | Verse 36] what is this word that he said, Ye will seek me, and ye shall not find? and, Where I am, ye are not able to come?'
[YLT | EN | NT | John | Chapter 7 | Verse 37] And in the last, the great day of the feast, Jesus stood and cried, saying, 'If any one doth thirst, let him come unto me and drink;
[YLT | EN | NT | John | Chapter 7 | Verse 38] he who is believing in me, according as the Writing said, Rivers out of his belly shall flow of living water;'
[YLT | EN | NT | John | Chapter 7 | Verse 39] and this he said of the Spirit, which those believing in him were about to receive; for not yet was the Holy Spirit, because Jesus was not yet glorified.
[YLT | EN | NT | John | Chapter 7 | Verse 40] Many, therefore out of the multitude, having heard the word, said, 'This is truly the Prophet;'
[YLT | EN | NT | John | Chapter 7 | Verse 41] others said, 'This is the Christ;' and others said, 'Why, out of Galilee doth the Christ come?
[YLT | EN | NT | John | Chapter 7 | Verse 42] Did not the Writing say, that out of the seed of David, and from Bethlehem — the village where David was — the Christ doth come?'
[YLT | EN | NT | John | Chapter 7 | Verse 43] A division, therefore, arose among the multitude because of him.
[YLT | EN | NT | John | Chapter 7 | Verse 44] And certain of them were willing to seize him, but no one laid hands on him;
[YLT | EN | NT | John | Chapter 7 | Verse 45] the officers came, therefore, unto the chief priests and Pharisees, and they said to them, 'Wherefore did ye not bring him?'
[YLT | EN | NT | John | Chapter 7 | Verse 46] The officers answered, 'Never so spake man — as this man.'
[YLT | EN | NT | John | Chapter 7 | Verse 47] The Pharisees, therefore, answered them, 'Have ye also been led astray?
[YLT | EN | NT | John | Chapter 7 | Verse 48] did any one out of the rulers believe in him? or out of the Pharisees?
[YLT | EN | NT | John | Chapter 7 | Verse 49] but this multitude, that is not knowing the law, is accursed.'
[YLT | EN | NT | John | Chapter 7 | Verse 50] Nicodemus saith unto them — he who came by night unto him — being one of them,
[YLT | EN | NT | John | Chapter 7 | Verse 51] 'Doth our law judge the man, if it may not hear from him first, and know what he doth?'
[YLT | EN | NT | John | Chapter 7 | Verse 52] They answered and said to him, 'Art thou also out of Galilee? search and see, that a prophet out of Galilee hath not risen;'
[YLT | EN | NT | John | Chapter 7 | Verse 53] and each one went on to his house, but Jesus went on to the mount of the Olives.
