[IRV | PA | OT | Psalms | Chapter 73 | Verse 1] ਸੱਚ-ਮੁੱਚ ਇਸਰਾਏਲ ਲਈ ਅਰਥਾਤ ਖਾਲ਼ਸ ਦਿਲ ਵਾਲਿਆਂ ਦੇ ਲਈ ਪਰਮੇਸ਼ੁਰ ਭਲਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 16] ਜਾਂ ਮੈਂ ਇਸ ਨੂੰ ਸਮਝਣ ਲਈ ਸੋਚ ਕੀਤੀ, ਤਾਂ ਉਹ ਮੇਰੀ ਨਿਗਾਹ ਵਿੱਚ ਬਹੁਤ ਔਖਾ ਮਲੂਮ ਹੋਇਆ,
[IRV | PA | OT | Psalms | Chapter 73 | Verse 17] ਜਦ ਤੱਕ ਮੈਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਪਵਿੱਤਰ ਸਥਾਨ ਵਿੱਚ ਨਾ ਗਿਆ, - ਤਦ ਮੈਂ ਉਨ੍ਹਾਂ ਦਾ ਅੰਤ ਸਮਝਿਆ!
[IRV | PA | OT | Psalms | Chapter 73 | Verse 18] ਸੱਚ-ਮੁੱਚ ਤੂੰ ਉਨ੍ਹਾਂ ਨੂੰ ਤਿਲਕਣਿਆਂ ਥਾਵਾਂ ਵਿੱਚ ਰੱਖਦਾ ਹੈਂ, ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਬਰਬਾਦੀ ਵਿੱਚ ਸੁੱਟ ਦਿੰਦਾ ਹੈਂ!
[IRV | PA | OT | Psalms | Chapter 73 | Verse 19] ਓਹ ਛਿੰਨ ਮਾਤਰ ਵਿੱਚ ਕਿਹੋ ਜਿਹੇ ਉੱਜੜ ਗਏ! ਓਹ ਮੁੱਕ ਗਏ, ਓਹ ਭੈਜਲ ਨਾਲ ਮਿਟ ਗਏ ਹਨ!
[IRV | PA | OT | Psalms | Chapter 73 | Verse 20] ਹੇ ਪ੍ਰਭੂ, ਸੁਫ਼ਨੇ ਤੋਂ ਜਾਗਣ ਵਾਂਗੂੰ ਜਦ ਤੂੰ ਉੱਠੇਂਗਾ ਤਾਂ ਉਨ੍ਹਾਂ ਦੀ ਸ਼ਕਲ ਤੁੱਛ ਜਾਣੇਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 21] ਮੇਰਾ ਮਨ ਤਾਂ ਕੌੜਾ ਹੋਇਆ, ਅਤੇ ਮੇਰਾ ਦਿਲ ਛੇਦਿਆ ਗਿਆ,
[IRV | PA | OT | Psalms | Chapter 73 | Verse 22] ਮੈਂ ਐਡਾ ਜਾਹਲ ਤੇ ਅਣਜਾਣ ਸੀ, ਕਿ ਤੇਰੇ ਅੱਗੇ ਪਸ਼ੂ ਜਿਹਾ ਬਣਿਆ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 23] ਫੇਰ ਮੈਂ ਸਦਾ ਤੇਰੇ ਸੰਗ ਹਾਂ, ਤੂੰ ਮੇਰੇ ਸੱਜੇ ਹੱਥ ਨੂੰ ਫੜਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 24] ਤੂੰ ਆਪਣੇ ਗੁਰਮਤੇ ਨਾਲ ਮੇਰੀ ਅਗਵਾਈ ਕਰੇਂਗਾ, ਅਤੇ ਉਹ ਦੇ ਮਗਰੋਂ ਮੈਨੂੰ ਤੇਜ ਵਿੱਚ ਰੱਖੇਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 25] ਸਵਰਗ ਵਿੱਚ ਮੇਰਾ ਹੋਰ ਕੌਣ ਹੈ? ਅਤੇ ਧਰਤੀ ਉੱਤੇ ਤੈਥੋਂ ਬਿਨ੍ਹਾਂ ਮੈਂ ਕਿਸੇ ਹੋਰ ਨੂੰ ਲੋਚਦਾ ਨਹੀਂ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 26] ਮੇਰਾ ਤਨ ਤੇ ਮੇਰਾ ਮਨ ਢੱਲ਼ ਜਾਂਦੇ ਹਨ, ਪਰ ਪਰਮੇਸ਼ੁਰ ਸਦਾ ਲਈ ਮੇਰੇ ਮਨ ਦਾ ਬਲ ਅਤੇ ਮੇਰਾ ਭਾਗ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 27] ਤਾਂ ਵੇਖੋ, ਜੋ ਤੈਥੋਂ ਦੂਰ ਹਨ ਓਹ ਨਸ਼ਟ ਹੋਣਗੇ, ਤੂੰ ਆਪਣੇ ਅੱਗਿਓਂ ਸਾਰੇ ਵਿਭਚਾਰੀ ਗਰਕ ਕਰ ਦਿੱਤੇ!
[IRV | PA | OT | Psalms | Chapter 73 | Verse 28] ਪਰ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨੇੜੇ ਰਹਿਣਾ ਮੇਰੇ ਲਈ ਚੰਗਾ ਹੈ, ਮੈਂ ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਨੂੰ ਆਪਣੀ ਪਨਾਹ ਬਣਾਇਆ ਹੈ, ਤਾਂ ਜੋ ਮੈਂ ਤੇਰੇ ਸਾਰੇ ਕਾਰਜਾਂ ਦਾ ਵਰਣਨ ਕਰਾਂ।
