[IRV | PA | OT | Psalms | Chapter 33 | Verse 1] ਹੇ ਧਰਮੀਓ, ਯਹੋਵਾਹ ਦੀ ਜੈ-ਜੈਕਾਰ ਕਰੋ, ਖ਼ਰਿਆਂ ਨੂੰ ਉਸਤਤ ਕਰਨੀ ਫੱਬਦੀ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 12] ਧੰਨ ਉਹ ਕੌਮ ਹੈ ਜਿਸ ਦਾ ਪਰਮੇਸ਼ੁਰ ਯਹੋਵਾਹ ਹੈ, ਉਹ ਪਰਜਾ ਜਿਸ ਨੂੰ ਉਹ ਨੇ ਆਪਣੇ ਵਿਰਸੇ ਲਈ ਚੁਣ ਲਿਆ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 33 | Verse 13] ਯਹੋਵਾਹ ਸਵਰਗ ਤੋਂ ਨਿਗਾਹ ਮਾਰਦਾ ਹੈ, ਉਹ ਸਾਰੇ ਮਨੁੱਖਾਂ ਨੂੰ ਵੇਖਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 14] ਉਹ ਆਪਣੇ ਵਸੇਬੇ ਤੋਂ ਧਰਤੀ ਦੇ ਸਾਰੇ ਵਸਨੀਕਾਂ ਨੂੰ ਤੱਕਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 15] ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਦੇ ਦਿਲਾਂ ਨੂੰ ਉਹੋ ਰਚਦਾ ਹੈ, ਉਹੋ ਉਨ੍ਹਾਂ ਦੇ ਸਾਰਿਆਂ ਕੰਮਾਂ ਨੂੰ ਸਮਝਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 16] ਫੌਜ ਦੇ ਵਾਧੇ ਦੇ ਕਾਰਨ ਕਿਸੇ ਰਾਜੇ ਦਾ ਬਚਾਓ ਨਹੀਂ ਹੁੰਦਾ, ਨਾ ਸੂਰਮਾ ਬਹੁਤੇ ਬਲ ਦੇ ਕਾਰਨ ਛੁੱਟ ਸਕਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 17] ਬਚਾਓ ਦੇ ਲਈ ਘੋੜਾ ਤਾਂ ਬੇਕਾਰ ਹੈ, ਨਾ ਉਹ ਆਪਣੇ ਵੱਡੇ ਬਲ ਨਾਲ ਕਿਸੇ ਨੂੰ ਛੁਡਾ ਸਕਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 18] ਵੇਖੋ, ਯਹੋਵਾਹ ਦੀ ਨਜ਼ਰ ਆਪਣੇ ਭੈਅ ਮੰਨਣ ਵਾਲਿਆਂ ਦੇ ਉੱਤੇ ਹੈ, ਉਨ੍ਹਾਂ ਉੱਤੇ ਜਿਹੜੇ ਉਸ ਦੀ ਦਯਾ ਨੂੰ ਉਡੀਕਦੇ ਹਨ,
[IRV | PA | OT | Psalms | Chapter 33 | Verse 19] ਕਿ ਉਨ੍ਹਾਂ ਦੀ ਜਾਨ ਮੌਤ ਤੋਂ ਛੁਡਾਵੇ, ਅਤੇ ਕਾਲ ਵਿੱਚ ਉਹਨਾਂ ਨੂੰ ਜੀਉਂਦਿਆ ਰੱਖੇ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 20] ਸਾਡਾ ਮਨ ਯਹੋਵਾਹ ਦੀ ਉਡੀਕ ਕਰਦਾ ਹੈ, ਉਹੋ ਸਾਡਾ ਸਹਾਇਕ ਅਤੇ ਸਾਡੀ ਢਾਲ਼ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 21] ਸਾਡਾ ਮਨ ਤਾਂ ਉਸ ਵਿੱਚ ਆਨੰਦ ਰਹੇਗਾ, ਕਿਉਂ ਜੋ ਅਸੀਂ ਉਹ ਦੇ ਪਵਿੱਤਰ ਨਾਮ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 22] ਜਿਵੇਂ ਅਸੀਂ ਤੇਰੀ ਉਡੀਕ ਰੱਖੀ ਹੈ, ਤਿਵੇਂ ਹੇ ਯਹੋਵਾਹ, ਤੇਰੀ ਦਯਾ ਸਾਡੇ ਉੱਤੇ ਹੋਵੇ।
