[IRV | PA | OT | Psalms | Chapter 118 | Verse 1] ਯਹੋਵਾਹ ਦਾ ਧੰਨਵਾਦ ਕਰੋ ਕਿ ਉਹ ਭਲਾ ਹੈ, ਉਹ ਦੀ ਦਯਾ ਤਾਂ ਸਦੀਪਕ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 118 | Verse 12] ਉਨ੍ਹਾਂ ਨੇ ਸ਼ਹਿਦ ਦੀਆਂ ਮੱਖੀਆਂ ਵਾਂਗੂੰ ਮੈਨੂੰ ਘੇਰ ਲਿਆ, ਓਹ ਕੰਡਿਆਂ ਦੀ ਅੱਗ ਵਾਂਗੂੰ ਬੁੱਝ ਗਏ, ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਵੱਢ ਹੀ ਸੁੱਟਿਆ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 13] ਤੂੰ ਮੈਨੂੰ ਡੇਗਣ ਲਈ ਵੱਡਾ ਧੱਕਾ ਦਿੱਤਾ, ਪਰ ਯਹੋਵਾਹ ਨੇ ਮੇਰੀ ਸਹਾਇਤਾ ਕੀਤੀ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 14] ਯਹੋਵਾਹ ਮੇਰਾ ਬਲ ਤੇ ਗੀਤ ਹੈ, ਉਹ ਮੇਰਾ ਬਚਾਓ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 15] ਧਰਮੀਆਂ ਦੇ ਡੇਰਿਆਂ ਵਿੱਚ ਬਚਾਓ ਤੇ ਜੈਕਾਰੇ ਦੀ ਅਵਾਜ਼ ਹੈ, ਯਹੋਵਾਹ ਦਾ ਸੱਜਾ ਹੱਥ ਸੂਰਮਗਤੀ ਕਰਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 16] ਯਹੋਵਾਹ ਦਾ ਸੱਜਾ ਹੱਥ ਉੱਚਾ ਹੋਇਆ ਹੈ, ਯਹੋਵਾਹ ਦਾ ਸੱਜਾ ਹੱਥ ਸੂਰਮਗਤੀ ਕਰਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 17] ਮੈਂ ਮਰਾਂਗਾ ਨਹੀਂ ਸਗੋਂ ਮੈਂ ਜੀਆਂਗਾ, ਅਤੇ ਯਹੋਵਾਹ ਦੇ ਕੰਮਾਂ ਦਾ ਵਰਣਨ ਕਰਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 18] ਯਹੋਵਾਹ ਨੇ ਮੈਨੂੰ ਬਹੁਤ ਤਾੜਿਆ, ਪਰ ਮੈਨੂੰ ਮੌਤ ਦੇ ਹਵਾਲੇ ਨਾ ਕੀਤਾ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 19] ਧਰਮ ਦੇ ਫਾਟਕ ਮੇਰੇ ਲਈ ਖੋਲ੍ਹ ਦਿਓ, ਤਾਂ ਮੈਂ ਉਨ੍ਹਾਂ ਵਿੱਚ ਜਾ ਕੇ ਯਹੋਵਾਹ ਦਾ ਧੰਨਵਾਦ ਕਰਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 20] ਯਹੋਵਾਹ ਦਾ ਫਾਟਕ ਇਹ ਹੈ, ਧਰਮੀ ਇਹ ਦੇ ਵਿੱਚੋਂ ਦੀ ਜਾਣਗੇ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 21] ਮੈਂ ਤੇਰਾ ਧੰਨਵਾਦ ਕਰਾਂਗਾ ਕਿਉਂ ਜੋ ਤੂੰ ਮੈਨੂੰ ਉੱਤਰ ਦਿੱਤਾ ਹੈ, ਤੂੰ ਮੇਰਾ ਬਚਾਓ ਹੋਇਆ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 22] ਜਿਸ ਪੱਥਰ ਨੂੰ ਰਾਜਾਂ ਨੇ ਰੱਦਿਆ, ਸੋਈ ਖੂੰਜੇ ਦਾ ਸਿਰਾ ਹੋ ਗਿਆ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 23] ਇਹ ਯਹੋਵਾਹ ਦੀ ਵੱਲੋਂ ਹੈ, ਅਤੇ ਸਾਡੀ ਨਜ਼ਰ ਵਿੱਚ ਅਚਰਜ਼ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 24] ਇਹ ਦਿਨ ਯਹੋਵਾਹ ਨੇ ਬਣਾਇਆ, ਉਸ ਵਿੱਚ ਅਸੀਂ ਬਾਗ-ਬਾਗ ਤੇ ਅਨੰਦ ਹੋਈਏ!
[IRV | PA | OT | Psalms | Chapter 118 | Verse 25] ਹੇ ਯਹੋਵਾਹ, ਬੇਨਤੀ ਹੈ, ਬਚਾ ਲੈ, ਹੇ ਯਹੋਵਾਹ, ਬੇਨਤੀ ਹੈ, ਨਿਹਾਲ ਕਰ!
[IRV | PA | OT | Psalms | Chapter 118 | Verse 26] ਮੁਬਾਰਕ ਉਹ ਹੈ ਜਿਹੜਾ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਤੇ ਆਉਂਦਾ ਹੈ, ਅਸੀਂ ਤੁਹਾਨੂੰ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਤੋਂ ਬਰਕਤ ਦਿੱਤੀ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 27] ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਹੈ ਅਤੇ ਉਹ ਨੇ ਸਾਡੇ ਲਈ ਚਾਨਣ ਕੀਤਾ, ਜਗ ਪਸ਼ੂ ਨੂੰ ਰੱਸਿਆਂ ਨਾਲ ਬੰਨ੍ਹ ਦਿਓ, ਜਗਵੇਦੀ ਦੇ ਸਿੰਗਾਂ ਤੱਕ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 28] ਮੇਰਾ ਪਰਮੇਸ਼ੁਰ ਤੂੰ ਹੈਂ, ਮੈਂ ਤੇਰਾ ਧੰਨਵਾਦ ਕਰਾਂਗਾ। ਹੇ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ, ਮੈਂ ਤੇਰੀ ਬਜ਼ੁਰਗੀ ਕਰਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 29] ਯਹੋਵਾਹ ਦਾ ਧੰਨਵਾਦ ਕਰੋ ਜੋ ਉਹ ਭਲਾ ਹੈ, ਉਹ ਦੀ ਦਯਾ ਜੋ ਸਦੀਪਕ ਹੈ।
