[LXX | EL | OT | Isaiah | Chapter 40 | Verse 1] Παρακαλεῖτε παρακαλεῖτε τὸν λαόν μου, λέγει ὁ Θεός.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 12] Τίς ἐμέτρησε τῇ χειρὶ τὸ ὕδωρ, καὶ τὸν οὐρανὸν σπιθαμῇ, καὶ πᾶσαν τὴν γῆν δρακί; τίς ἔστησε τὰ ὄρη σταθμῷ, καὶ τὰς νάπας ζυγῷ;
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 13] Τίς ἔγνω νοῦν Κυρίου; καὶ τίς αὐτοῦ σύμβουλος ἐγένετο, ὃς συμβιβᾷ αὐτόν;
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 14] Ἢ πρὸς τίνα συνεβουλεύσατο, καὶ συνεβίβασεν αὐτόν; ἢ τίς ἔδειξεν αὐτῷ κρίσιν; ἢ ὁδὸν συνέσεως τίς ἔδειξεν αὐτῷ;
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 15] Εἰ πάντα τὰ ἔθνη ὡς σταγὼν ἀπὸ κάδου, καὶ ὡς ῥοπὴ ζυγοῦ ἐλογίσθησαν, ὡς σίελος λογισθήσονται;
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 16] Ὁ δὲ Λίβανος οὐχ ἱκανὸς εἰς καῦσιν, καὶ πάντα τὰ τετράποδα οὐχ ἱκανὰ εἰς ὁλοκάρπωσιν,
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 17] καὶ πάντα τὰ ἔθνη ὡς οὐδέν εἰσι, καὶ εἰς οὐθὲν ἐλογίσθησαν.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 18] Τίνι ὡμοιώσατε Κύριον; καὶ τίνι ὁμοιώματι ὡμοιώσατε αὐτόν;
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 19] Μὴ εἰκόνα ἐποίησε τέκτων, ἢ χρυσοχόος χωνεύσας χρυσίον περιεχρύσωσεν αὐτὸν, ὁμοίωμα κατεσκεύασεν αὐτόν;
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 20] Ξύλον γὰρ ἄσηπτον ἐκλέγεται τέκτων, καὶ σοφῶς ζητήσει πῶς στήσει εἰκόνα αὐτοῦ, καὶ ἵνα μὴ σαλεύηται.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 21] Οὐ γνώσεσθε; οὐκ ἀκούσεσθε; οὐκ ἀνηγγέλη ἐξ ἀρχῆς ὑμῖν; οὐκ ἔγνωτε τὰ θεμέλια τῆς γῆς;
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 22] Ὁ κατέχων τὸν γῦρον τῆς γῆς, καὶ οἱ ἐνοικοῦντες ἐν αὐτῇ ὡς ἀκρίδες· ὁ στήσας ὡς καμάραν τὸν οὐρανὸν, καὶ διατείνας ὡς σκηνὴν κατοικεῖν·
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 23] Ὁ διδοὺς ἄρχοντας ὡς οὐδὲν ἄρχειν, τὴν δὲ γῆν ὡς οὐδὲν ἐποίησεν.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 24] Οὐ γὰρ μὴ φυτεύσωσιν, οὐδὲ μὴ σπείρωσιν, οὐδὲ μὴ ῥιζωθῇ εἰς τὴν γῆν ἡ ῥίζα αὐτῶν· ἔπνευσεν ἐπʼ αὐτοὺς, καὶ ἐξηράνθησαν, καὶ καταιγὶς ὡς φρύγανα λήψεται αὐτούς.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 25] Νῦν οὖν τίνι με ὡμοιώσατε, καὶ ὑψωθήσομαι; εἶπεν ὁ ἅγιος.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 26] Ἀναβλέψατε εἰς ὕψος τοὺς ὀφθαλμοὺς ὑμῶν, καὶ ἴδετε, τίς κατέδειξε ταῦτα πάντα; ὁ ἐκφέρων κατʼ ἀριθμὸν τὸν κόσμον αὐτοῦ, πάντας ἐπʼ ὀνόματι καλέσει ἀπὸ πολλῆς δόξης, καὶ ἐν κράτει ἰσχύος αὐτοῦ· οὐδέν σε ἔλαθε.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 27] Μὴ γὰρ εἴπῃς Ἰακὼβ, καὶ τί ἐλάλησας Ἰσραήλ; ἀπεκρύβη ἡ ὁδός μου ἀπὸ τοῦ Θεοῦ, καὶ ὁ Θεός μου τὴν κρίσιν ἀφεῖλε, καὶ ἀπέστη.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 28] Καὶ νῦν οὐκ ἔγνως; εἰ μὴ ἤκουσας; Θεὸς αἰώνιος, ὁ Θεὸς ὁ κατασκευάσας τὰ ἄκρα τῆς γῆς· οὐ πεινάσει, οὐδὲ κοπιάσει, οὐδὲ ἔστιν ἐξεύρεσις τῆς φρονήσεως αὐτοῦ,
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 29] διδοὺς τοῖς πεινῶσιν ἰσχὺν, καὶ τοῖς μὴ ὀδυνωμένοις λύπην.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 30] Πεινάσουσι γὰρ νεώτεροι, καὶ κοπιάσουσι νεανίσκοι, καὶ ἐκλεκτοὶ ἀνίσχυες ἔσονται.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 31] Οἱ δὲ ὑπομένοντες τὸν Θεὸν, ἀλλάξουσιν ἰσχὺν, πτεροφυήσουσιν ὡς ἀετοὶ, δραμοῦνται καὶ οὐ κοπιάσουσι, βαδιοῦνται καὶ οὐ πεινάσουσιν.
