[LXX | EL | OT | Isaiah | Chapter 3 | Verse 1] Ἰδοὺ δὴ ὁ δεσπότης Κύριος σαβαὼθ ἀφελεῖ ἀπὸ Ἱερουσαλὴμ, καὶ ἀπὸ τῆς Ἰουδαίας, ἰσχύοντα καὶ ἰσχύουσαν, ἰσχὺν ἄρτου καὶ ἰσχὺν ὕδατος,
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 17] Καὶ ταπεινώσει ὁ Θεὸς ἀρχούσας θυγατέρας Σιών· καὶ Κύριος ἀνακαλύψει τὸ σχῆμα αὐτῶν
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 18] ἐν τῇ ἡμέρᾳ ἐκείνῃ, καὶ ἀφελεῖ Κύριος τὴν δόξαν τοῦ ἱματισμοῦ αὐτῶν, τὰ ἐμπλόκια, καὶ τοὺς κοσύμβους, καὶ τοὺς μηνίσκους,
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 19] καὶ τὸ κάθεμα, καὶ τὸν κόσμον τοῦ προσώπου αὐτῶν,
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 20] καὶ τὴν σύνθεσιν τοῦ κόσμου τῆς δόξης, καὶ τοὺς χλιδῶνας, καὶ τὰ ψέλλια, καὶ τὸ ἐμπλόκιον, καὶ τοὺς δακτυλίους, καὶ τὰ περιδέξια, καὶ τὰ ἐνώτια,
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 21] καὶ τὰ περιπόρφυρα, καὶ τὰ μεσοπόρφυρα,
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 22] καὶ τὰ ἐπιβλήματα τὰ κατὰ τὴν οἰκίαν, καὶ τὰ διαφανῆ Λακωνικά,
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 23] καὶ τὰ βύσσινα, καὶ τὰ ὑακίνθινα, καὶ κόκκινα, καὶ τὴν βύσσον, σὺν χρυσῷ καὶ ὑακίνθῳ συγκαθυφασμένα, καὶ θέριστρα κατάκλιτα.
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 24] Καὶ ἔσται ἀντὶ ὀσμῆς ἡδείας, κονιορτός· καὶ ἀντὶ ζώνης, σχοινίῳ ζώσῃ· καὶ ἀντὶ τοῦ κόσμου τῆς κεφαλῆς τοῦ χρυσίου, φαλάκρωμα ἕξεις διὰ τὰ ἔργα σοῦ· καὶ ἀντὶ τοῦ χιτῶνος τοῦ μεσοπορφύρου, περιζώσῃ σάκκον.
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 25] Καὶ ὁ υἱός σου ὁ κάλλιστος ὃν ἀγαπᾷς, μαχαίρᾳ πεσεῖται· καὶ οἱ ἰσχύοντες ὑμῶν, μαχαίρᾳ πεσοῦνται, καὶ ταπεινωθήσονται·
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 26] Καὶ πενθήσουσιν αἱ θῆκαι τοῦ κόσμου ὑμῶν· καὶ καταλειφθήσῃ μόνη, καὶ εἰς τὴν γῆν ἐδαφισθήσῃ.
