[LXX | EL | OT | Isaiah | Chapter 41 | Verse 1] Ἐγκαινίζεσθε πρὸς μὲ νῆσοι, οἱ γὰρ ἄρχοντες ἀλλάξουσιν ἰσχύν· ἐγγισάτωσαν καὶ λαλησάτωσαν ἅμα, τότε κρίσιν ἀναγγειλάτωσαν.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 13] Ὅτι ἐγὼ ὁ Θεός σου, ὁ κρατῶν τῆς δεξιᾶς σου, ὁ λέγων σοι,
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 14] μὴ φοβοῦ Ἰακὼβ ὀλιγοστὸς Ἰσραὴλ· ἐγὼ ἐβοήθησά σοι, λέγει ὁ Θεὸς σου, ὁ λυτρούμενὸσσε Ἰσραήλ.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 15] Ἰδοὺ ἐποίησά σε ὡς τροχοὺς ἁμάξης ἀλοῶντας καινοὺς πριστηροειδεῖς, καὶ ἀλοήσεις ὄρη, καὶ λεπτυνεῖς βουνοὺς, καὶ ὡς χνοῦν θήσεις,
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 16] καὶ λικήσεις, καὶ ἄνεμος λήμψεται αὐτοὺς, καὶ καταιγὶς διασπερεῖ αὐτούς· σὺ δὲ εὐφρανθήσῃ ἐν τοῖς ἁγίοις Ἰσραήλ.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 17] Καὶ ἀγαλλιάσονται οἱ πτωχοὶ καὶ οἱ ἐνδεεῖς· ζητήσουσι γὰρ ὕδωρ, καὶ οὐκ ἔσται, ἡ γλῶσσα αὐτῶν ἀπὸ τῆς δίψης ἐξηράνθη· ἐγὼ Κύριος ὁ Θεὸς, ἐγὼ ἐπακούσομαι ὁ Θεὸς Ἰσραὴλ, καὶ οὐκ ἐγκαταλείψω αὐτοὺς,
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 18] ἀλλὰ ἀνοίξω ἐπὶ τῶν ὀρέων ποταμοὺς, καὶ ἐν μέσῳ πεδίων πηγάς· ποιήσω τὴν ἔρημον εἰς ἕλη ὑδάτων, καὶ τὴν διψῶσαν γῆν ἐν ὑδραγωγοῖς.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 19] Θήσω εἰς τὴν ἄνυδρον γῆν, κέδρον καὶ πύξον, μυρσίνην καὶ κυπάρισσον, καὶ λεύκην·
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 20] Ἵνα ἴδωσι καὶ γνῶσι, καὶ ἐννοηθῶσι καὶ ἐπιστῶνται ἅμα, ὅτι χεὶρ Κυρίου ἐποίησε ταῦτα, καὶ ὁ ἅγιος τοῦ Ἰσραὴλ κατέδειξεν.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 21] Ἐγγίζει ἡ κρίσις ὑμῶν, λέγει Κύριος ὁ Θεός· ἤγγισαν αἱ βουλαὶ ὑμῶν, λέγει ὁ βασιλεὺς Ἰακώβ.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 22] Ἐγγισάτωσαν, καὶ ἀναγγειλάτωσαν ὑμῖν ἃ συμβήσεται, ἢ τὰ πρότερον τίνα ἦν, εἴπατε, καὶ ἐπιστήσομεν τὸν νοῦν, καὶ γνωσόμεθα τί τὰ ἔσχατα καὶ τὰ ἐπερχόμενα·
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 23] εἴπατε ἡμῖν, ἀναγγείλατε ἡμῖν τὰ ἐπερχόμενα ἐπʼ ἐσχάτου, καὶ γνωσόμεθα ὅτι θεοί ἐστε· εὐποιήσατε καὶ κακώσατε, καὶ θαυμασόμεθα, καὶ ὀψόμεθα ἅμα
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 24] ὅτι πόθεν ἐστὲ ὑμεῖς, καὶ πόθεν ἡ ἐργασία ὑμῶν· ἐκ γῆς βδέλυγμα ἐξελέξαντο ὑμᾶς.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 25] Ἐγὼ δὲ ἤγειρα τὸν ἀπὸ Βοῤῥᾶ, καὶ τὸν ἀφʼ ἡλίου ἀνατολῶν· κληθήσονται τῷ ὀνόματί μου· ἐρχέσθωσαν ἄρχοντες, καὶ ὡς πηλὸς κεραμέως, καὶ ὡς κεραμεὺς καταπατῶν τὸν πηλὸν, οὕτω καταπατηθήσεσθε.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 26] Τίς γὰρ ἀναγγελεῖ τὰ ἐξ ἀρχῆς, ἵνα γνῶμεν καὶ τὰ ἔμπροσθεν, καἰ ἐροῦμεν ὅτι ἀληθῆ ἐστιν; οὐκ ἔστιν ὁ προλέγων, οὐδὲ ὁ ἀκούων ὑμῶν τοὺς λόγους.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 27] Ἀρχὴν Σιὼν δώσω, καὶ Ἱερουσαλὴμ παρακαλέσω εἰς ὁδόν.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 28] Ἀπὸ γὰρ τῶν ἐθνῶν, ἰδοὺ οὐδείς· καὶ ἀπὸ τῶν εἰδώλων αὐτῶν οὐκ ἦν ὁ ἀναγγέλλων· καὶ ἐὰν ἐρωτήσω αὐτοὺς, πόθεν ἐστέ; οὐ μὴ ἀποκριθῶσί μοι.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 29] Εἰσὶ γὰρ οἱ ποιοῦντες ὑμᾶς, καὶ μάτην οἱ πλανῶντες ὑμᾶς.
