[IRV | PA | OT | Genesis | Chapter 8 | Verse 1] ਫੇਰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਨੂਹ ਨੂੰ, ਹਰ ਜੰਗਲੀ ਜਾਨਵਰ ਨੂੰ, ਹਰ ਡੰਗਰ ਨੂੰ ਅਤੇ ਜੋ ਵੀ ਉਸ ਦੇ ਨਾਲ ਕਿਸ਼ਤੀ ਵਿੱਚ ਸਨ, ਯਾਦ ਕੀਤਾ। ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਧਰਤੀ ਉੱਤੇ ਹਵਾ ਵਗਾਈ ਅਤੇ ਜਿਸ ਕਾਰਨ ਪਾਣੀ ਘਟਣ ਲੱਗ ਪਿਆ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 12] ਤਦ ਉਹ ਨੇ ਹੋਰ ਸੱਤ ਦਿਨ ਬਾਅਦ ਘੁੱਗੀ ਨੂੰ ਫਿਰ ਛੱਡਿਆ ਅਤੇ ਉਹ ਮੁੜ ਉਹ ਦੇ ਕੋਲ ਨਾ ਆਈ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 13] ਨੂਹ ਦੀ ਉਮਰ ਦੇ ਛੇ ਸੌ ਇੱਕ ਸਾਲ ਦੇ ਪਹਿਲੇ ਮਹੀਨੇ ਦੇ ਪਹਿਲੇ ਦਿਨ ਪਾਣੀ ਧਰਤੀ ਉੱਤੋਂ ਸੁੱਕ ਗਿਆ ਅਤੇ ਨੂਹ ਨੇ ਕਿਸ਼ਤੀ ਦੀ ਛੱਤ ਖੋਲ੍ਹ ਕੇ ਨਿਗਾਹ ਮਾਰੀ ਅਤੇ ਵੇਖੋ ਜ਼ਮੀਨ ਦੀ ਪਰਤ ਸੁੱਕ ਗਈ ਸੀ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 14] ਦੂਜੇ ਮਹੀਨੇ ਦੇ ਸਤਾਈਵੇਂ ਦਿਨ ਧਰਤੀ ਪੂਰੀ ਤਰ੍ਹਾਂ ਸੁੱਕ ਗਈ ਸੀ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 15] ਤਦ ਪਰਮੇਸ਼ੁਰ ਨੂਹ ਨਾਲ ਬੋਲਿਆ
[IRV | PA | OT | Genesis | Chapter 8 | Verse 16] ਕਿ ਤੂੰ ਕਿਸ਼ਤੀ ਵਿੱਚੋਂ ਨਿੱਕਲ ਜਾ, ਤੇਰੀ ਪਤਨੀ, ਤੇਰੇ ਪੁੱਤਰ ਅਤੇ ਤੇਰੀਆਂ ਨੂੰਹਾਂ ਵੀ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 17] ਹਰ ਇੱਕ ਜਾਨਵਰ ਨੂੰ ਜਿਹੜਾ ਤੇਰੇ ਕੋਲ ਸਾਰੇ ਪ੍ਰਾਣੀਆਂ ਵਿੱਚੋਂ ਹੈ ਅਰਥਾਤ ਪੰਛੀ, ਡੰਗਰ, ਧਰਤੀ ਉੱਤੇ ਘਿੱਸਰਨ ਵਾਲੇ ਨੂੰ ਤੂੰ ਆਪਣੇ ਨਾਲ ਬਾਹਰ ਲੈ ਜਾ ਤਾਂ ਜੋ ਓਹ ਧਰਤੀ ਉੱਤੇ ਉਹ ਆਪਣੀ ਪ੍ਰਜਾਤੀ ਨੂੰ ਵਧਾਉਣ, ਫਲਣ ਅਤੇ ਧਰਤੀ ਉੱਤੇ ਵਧਣ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 18] ਤਦ ਨੂਹ, ਉਹ ਦੇ ਪੁੱਤਰ, ਉਹ ਦੀ ਪਤਨੀ ਅਤੇ ਉਹ ਦੀਆਂ ਨੂੰਹਾਂ ਉਹ ਦੇ ਨਾਲ ਬਾਹਰ ਨਿੱਕਲ ਗਏ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 19] ਹਰੇਕ ਜਾਨਵਰ, ਹਰੇਕ ਘਿੱਸਰਨ ਵਾਲਾ, ਹਰੇਕ ਪੰਛੀ, ਅਤੇ ਹਰੇਕ ਧਰਤੀ ਉੱਤੇ ਚੱਲਣ ਵਾਲਾ ਆਪੋ-ਆਪਣੀ ਪ੍ਰਜਾਤੀ ਦੇ ਅਨੁਸਾਰ ਕਿਸ਼ਤੀ ਵਿੱਚੋਂ ਬਾਹਰ ਨਿੱਕਲ ਆਏ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 20] ਤਦ ਨੂਹ ਨੇ ਯਹੋਵਾਹ ਲਈ ਇੱਕ ਜਗਵੇਦੀ ਬਣਾਈ ਅਤੇ ਸ਼ੁੱਧ ਪਸ਼ੂਆਂ, ਸ਼ੁੱਧ ਪੰਛੀਆਂ ਵਿੱਚੋਂ ਲੈ ਕੇ ਉਸ ਨੇ ਜਗਵੇਦੀ ਉੱਤੇ ਹੋਮ ਬਲੀਆਂ ਚੜ੍ਹਾਈਆਂ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 21] ਯਹੋਵਾਹ ਨੇ ਉਸ ਸੁਖਦਾਇਕ ਸੁਗੰਧੀ ਨੂੰ ਲਿਆ ਅਤੇ ਆਪਣੇ ਮਨ ਵਿੱਚ ਆਖਿਆ, ਮੈਂ ਫੇਰ ਕਦੀ ਧਰਤੀ ਨੂੰ ਮਨੁੱਖ ਦੇ ਕਾਰਨ ਸਰਾਪ ਨਹੀਂ ਦਿਆਂਗਾ ਭਾਵੇਂ ਮਨੁੱਖ ਦੇ ਮਨ ਦੀ ਭਾਵਨਾ ਮੁੱਢੋਂ ਹੀ ਬੁਰੀ ਹੈ ਅਤੇ ਮੈਂ ਫੇਰ ਕਦੀ ਸਾਰੇ ਪ੍ਰਾਣੀਆਂ ਨੂੰ ਨਾਸ ਨਾ ਕਰਾਂਗਾ ਜਿਵੇਂ ਮੈਂ ਹੁਣ ਕੀਤਾ ਹੈ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 22] ਜਦੋਂ ਤੱਕ ਧਰਤੀ ਹੈ, ਉਦੋਂ ਤੱਕ ਬੀਜਣ ਅਤੇ ਵੱਢਣ, ਠੰਡ ਅਤੇ ਧੁੱਪ, ਹਾੜ੍ਹੀ ਅਤੇ ਸਾਉਣੀ ਅਤੇ ਦਿਨ ਰਾਤ ਨਹੀਂ ਮੁੱਕਣਗੇ।
