[IRV | GU | OT | Numbers | Chapter 29 | Verse 1] સાતમાં મહિનાના પ્રથમ દિવસે તમારે યહોવાહના આદરમાં પવિત્રસભા રાખવી. રોજનું નિયત કામ કરવું નહિ. તે દિવસ તમારે માટે રણશિંગડાં વગાડવાનો છે.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 12] સાતમા મહિનાના પંદરમે દિવસે તમારે યહોવાહના આદરમાં પવિત્રસભા રાખવી. રોજનું નિયત કામ કરવું નહિ, સાત દિવસ સુધી યહોવાહને માટે પર્વ પાળો.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 13] તે દિવસે તમે યહોવાહને માટે દહનીયાર્પણ, યહોવાહને સારુ સુવાસિત હોમયજ્ઞ ચઢાવો. તમારે ખામી વગરના તેર વાછરડા, બે ઘેટાં અને એક વર્ષની ઉંમરના ચૌદ નર હલવાન ચઢાવવાં.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 14] તેર બળદોમાંનાં દરેક બળદની સાથે તેઓનું ખાદ્યાર્પણ ત્રણ દશાંશ એફાહ તેલથી મોહેલા મેંદાનું ચઢાવવું, બે દશાંશ બે ઘેટામાંના દરેક ઘેટાંની સાથે,
[IRV | GU | OT | Numbers | Chapter 29 | Verse 15] એક દશાંશ એફાહ ચૌદ હલવાનોમાંના દરેક હલવાન સાથે.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 16] નિયમિત થતાં દહનીયાર્પણો, ખાદ્યાર્પણો તથા પેયાર્પણ ઉપરાંત પાપાર્થાર્પણ તરીકે એક બકરો ચઢાવવો.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 17] સભાના બીજે દિવસે તમારે બાર વાછરડા, બે ઘેટાં તથા એક વર્ષની ઉંમરના ખોડખાંપણ વગરના ચૌદ નર હલવાનો ચઢાવવા.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 18] તેઓનું ખાદ્યાર્પણ તથા તેઓનાં પેયાર્પણો બળદોને સારુ, ઘેટાઓને સારુ, હલવાનોને સારુ, તેઓની ગણતરી પ્રમાણે તથા વિધિ મુજબ ચઢાવવાં.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 19] તદુપરાંત પ્રતિદિન થતાં દહનીયાર્પણ, તેઓનાં ખાદ્યાર્પણ તથા તેઓનાં પેયાર્પણ ઉપરાંત પાપાર્થાર્પણને માટે એક બકરો ચઢાવવો.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 20] સભાના ત્રીજા દિવસે અગિયાર બળદો, બે ઘેટા તથા એક વર્ષની ઉંમરના ખામી વગરના ચૌદ હલવાનો ચઢાવવા.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 21] તથા તેની સાથે તેઓની ગણતરી પ્રમાણે તથા વિધિ પ્રમાણે તેઓનાં ખાદ્યાર્પણ તથા પેયાર્પણ બળદોને સારુ, ઘેટાઓને સારુ, હલવાનોને સારુ ચઢાવવાં.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 22] પ્રતિદિન થતાં દહનીયાર્પણો, ખાદ્યાર્પણો અને પેયાર્પણ ઉપરાંત પાપાર્થાર્પણ તરીકે એક બકરો ચઢાવવો.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 23] સભાના ચોથા દિવસે દસ બળદો, બે ઘેટા તથા એક વર્ષની ઉંમરના ખામી વગરના ચૌદ નર હલવાનો ચઢાવવા.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 24] તેઓની ગણતરી તથા વિધિ પ્રમાણે તેઓના ખાદ્યાર્પણ તથા તેઓનાં પેયાર્પણ બળદોને સારુ, ઘેટાઓને સારુ તથા હલવાનોને સારુ ચઢાવવાં.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 25] પ્રતિદિન થતાં દહનીયાર્પણ, ખાદ્યાર્પણ તથા પેયાર્પણો ઉપરાંત પાપાર્થાર્પણ તરીકે એક બકરો ચઢાવવો.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 26] સભાના પાંચમા દિવસે નવ વાછરડા, બે ઘેટા અને એક વર્ષની ઉંમરના ખામી વગરના ચૌદ હલવાન ચઢાવવા.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 27] તેઓની ગણતરી તથા વિધિ પ્રમાણે તેઓનું ખાદ્યાર્પણ તથા તેઓનાં પેયાર્પણો બળદોને સારુ, ઘેટાઓને સારુ તથા હલવાનોને સારુ ચઢાવવાં.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 28] પ્રતિદિન થતાં દહનીયાર્પણ, તેઓનાં ખાદ્યાર્પણ તથા તેઓનાં પેયાર્પણો ઉપરાંત પાપાર્થાર્પણ માટે એક બકરો ચઢાવવો.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 29] સભાના છઠ્ઠા દિવસે આઠ વાછરડા, બે ઘેટા તથા એક વર્ષની ઉંમરના ખામી વગરના ચૌદ હલવાન ચઢાવવા.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 30] તેઓની ગણતરી તથા વિધિ પ્રમાણે તેઓનાં ખાદ્યાર્પણ તથા પેયાર્પણો બળદોને સારુ, ઘેટાઓને સારુ તથા હલવાનોને સારુ ચઢાવવાં.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 31] પ્રતિદિન થતાં દહનીયાર્પણ, તેઓનાં ખાદ્યાર્પણ તથા તેઓના પેયાર્પણો ઉપરાંત પાપાર્થાર્પણને માટે એક બકરો ચઢાવવાં.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 32] સભાના સાતમા દિવસે સાત વાછરડા, બે ઘેટા અને એક વર્ષની ઉંમરના ખામી વગરના ચૌદ હલવાન ચઢાવવાં.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 33] તેઓની ગણતરી તથા વિધિ પ્રમાણે ખાદ્યાર્પણ તથા પેયાર્પણો બળદોને સારુ, ઘેટાઓને સારુ તથા હલવાનોને સારુ ચઢાવવાં.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 34] પ્રતિદિન થતાં દહનીયાર્પણ, ખાદ્યાર્પણ અને પેયાર્પણો ઉપરાંત પાપાર્થાર્પણ તરીકે એક બકરો ચઢાવવો.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 35] આઠમા દિવસે તમારે બીજી પવિત્ર સભા રાખવી. તમારે બીજું કામ કરવું નહિ.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 36] તમારે યહોવાહને સુવાસિત હોમયજ્ઞ એટલે દહનીયાર્પણ ચઢાવવું. તારે એક બળદ, એક ઘેટો અને એક વર્ષની ઉંમરના ખામી વગરના સાત હલવાન ચઢાવવા.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 37] તેઓની ગણતરી તથા વિધિ પ્રમાણે તેઓના ખાદ્યાર્પણ તથા તેઓના પેયાર્પણો બળદોને સારુ, ઘેટાઓને સારુ તથા હલવાનોને સારુ ચઢાવવા.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 38] પ્રતિદિન થતાં દહનીયાર્પણ, ખાદ્યાર્પણ તથા પેયાર્પણો ઉપરાંત તમારે પાપાર્થાર્પણ તરીકે એક બકરો ચઢાવવો.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 39] તમારાં આ દહનીયાર્પણો, ખાદ્યાર્પણો, પેયાર્પણો તથા શાંત્યર્પણો, તમારી પ્રતિજ્ઞાઓ તથા ઐચ્છિકાર્પણો તમારા ઠરાવેલા ઉત્સવોમાં યહોવાહને ચઢાવવાં.”
