[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 1] माझी इच्छा आहे की, तुम्ही माझा थोडासा मूर्खपणा माझ्यासाठी सहन करावा. पण तो तुम्ही सहन करीतच आहात.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 17] मी हे बोलत आहे ते प्रभूला अनुसरून बोलत नाही. तर या अभिमानाच्या धीटपणाने, जणू मूर्खासारखे बोलतो.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 18] जसे बरेच लोक दैहिक गोष्टीविषयी अभिमान मिरवतात, तसा मी पण अभिमान मिरवीन.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 19] तुम्ही शहाणे असल्याने मूढांचे आनंदाने सहन करता!
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 20] वस्तुतः जे कोणी तुम्हास दास करते किंवा छळ करते किंवा तुमचा गैरफायदा घेते किंवा स्वतः पुढे येण्याचा प्रयत्न करते किंवा तुमच्या तोंडावर मारते तरी तुम्ही त्यांचे सहन करता.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 21] स्वतःला हिणवून मी हे बोलतो, तरी ज्या बाबतीत कोणी धीट असेल, तिच्यात मीही धीट आहे (हे मी मूढपणाने बोलतो).
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 22] ते इब्री आहेत काय? मीही आहे. ते इस्राएली आहेत काय? मीहि आहे. ते अब्राहामाचे संतान आहेत काय? मीहि आहे.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 23] ते ख्रिस्ताचे सेवक आहेत काय? मी अधिक प्रमाणात आहे (मी हे वेडगळासारखे बोलतो) मी पुष्कळ कठीण काम केले आहे. सारखा तुरुंगात जात होतो, बेसुमार फटके खाल्ले, पुष्कळ वेळा मरणाला सामोरे गेलो, म्हणून मीही अधिक आहे.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 24] पाच वेळेला यहूद्यांकडून मला चाबकाचे एकोणचाळीस फटके बसले.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 25] तीन वेळा काठीने मारण्यात आले, एकदा मला दगडमार करण्यात आला, तीन वेळा माझे जहाज फुटले, खुल्या समुद्रात मी एक रात्र व दिवस घालविला.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 26] मी सातत्याने फिरत होतो, नदीच्या प्रवासात धोका होता. लुटारुंकडून धोका होता. माझ्या स्वतःच्या देशबांधवांकडून धोका होता. परराष्ट्रीय लोकांकडून, शहरांमध्ये धोका होता. डोंगराळ प्रदेशात धोका होता. समुद्रातील धोके होते, विश्वास ठेवणाऱ्या खोटया बंधूंकडून आलेले धोके होते.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 27] मी कष्ट केले आणि घाम गाळला व पुष्कळ वेळा जागरण केले. मला भूक व तहान माहीत आहे. पुष्कळ वेळा मी उपाशी राहिलो, थंडीत उघडा असा मी राहिलो,
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 28] या सर्व गोष्टीशिवाय दररोज माझ्यावर येणार दबाव म्हणजे सर्व मंडळ्यांविषयीची चिंता.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 29] कोण दुर्बळ झाला असता तर मी दुर्बळ होत नाही काय? कोण दुसऱ्याला पापात पाडण्यास कारण होतो आणि मला संताप होत नाही?
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 30] जर मला अभिमान बाळगायचा असेल तर मी आपल्या दुर्बलतेच्या गोष्टीविषयी अभिमान बाळगीन.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 31] देव आणि प्रभू येशूचा पिता, ज्याची अनंतकाळपर्यंत स्तुती केली पाहिजे, तो हे जाणतो की मी खोटे बोलत नाही.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 32] दिमिष्क नगरात अरीतास राजाने नेमलेल्या अधिकाऱ्याने मला अटक करण्यासाठी दिमिष्ककरांच्या नगरावर पहारा दिला होता.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 33] पण मला टोपलीत बसवून गावकुसाच्या खिडकीतून खाली सोडण्यात आले आणि त्याच्या हातून मी निसटलो.
