[IRV | KN | OT | Job | Chapter 6 | Verse 1] ಆ ಮೇಲೆ ಯೋಬನು ಮತ್ತೆ ಇಂತೆಂದನು,
[IRV | KN | OT | Job | Chapter 6 | Verse 13] ನನ್ನಲ್ಲಿ ಏನೂ ಸಹಾಯವಿಲ್ಲವಲ್ಲಾ, ನನ್ನ ಸಾಮರ್ಥ್ಯವು ತೊಲಗಿಹೋಗಿದೆ.
[IRV | KN | OT | Job | Chapter 6 | Verse 14] ಒಬ್ಬನು ಮನಗುಂದಿ ಸರ್ವಶಕ್ತನಾದ ದೇವರ ಮೇಲಣ ಭಯಭಕ್ತಿಯನ್ನು ಬಿಡುವವನಾಗಿದ್ದರೂ; ಅವನ ಮಿತ್ರನು ಅವನಿಗೆ ದಯೆ ತೋರಿಸಬೇಕು.
[IRV | KN | OT | Job | Chapter 6 | Verse 15] ನನ್ನ ಸಹೋದರರಾದರೋ ತೊರೆಯ ಹಾಗೂ, ಪ್ರವಾಹವು ಹಾದುಹೋಗಿ ಬತ್ತಿದ ಹಳ್ಳದ ಹಾಗೂ ದ್ರೋಹಿಗಳಾಗಿದ್ದಾರೆ.
[IRV | KN | OT | Job | Chapter 6 | Verse 16] ಹಿಮವು ಅಡಗಿರುವ ಪ್ರವಾಹಗಳು, ಮಂಜುಗಡ್ಡೆಯಿಂದ ಕೂಡಿ ಕಪ್ಪಾಗಿರುವವು.
[IRV | KN | OT | Job | Chapter 6 | Verse 17] ಬೇಸಿಗೆ ಬರುತ್ತಲೇ ಮಾಯವಾಗುವವು, ಸೆಕೆಯುಂಟಾದಾಗ ಅವು ಬತ್ತಿ ಕಾಣಿಸದೆ ಹೋಗುವವು.
[IRV | KN | OT | Job | Chapter 6 | Verse 18] ಇಂಥಾ ತೊರೆಗಳ ಮಾರ್ಗವಾಗಿ ಪ್ರಯಾಣಮಾಡುವ ವರ್ತಕರ ಗುಂಪುಗಳು ಓರೆಯಾಗಿ, ಮರುಭೂಮಿಗೆ ತಿರುಗಿ ನಾಶವಾಗುತ್ತವೆ.
[IRV | KN | OT | Job | Chapter 6 | Verse 19] ತೇಮದ ಗುಂಪಿನವರು ಕಣ್ಣೆತ್ತಿ ನೋಡಿದರು, ಶೆಬದ ಸಮೂಹದವರು ಆ ತೊರೆಗಳನ್ನು ಹಾರೈಸಿದರು.
[IRV | KN | OT | Job | Chapter 6 | Verse 20] ಅಲ್ಲಿಗೆ ಸೇರಿ ಆಶಾಭಂಗಪಟ್ಟರು, ನಂಬಿದಷ್ಟೂ ನಿರೀಕ್ಷೆಗೆಟ್ಟರು.
[IRV | KN | OT | Job | Chapter 6 | Verse 21] ಈಗ ನೀವು ಹಾಗೆಯೇ ಇದ್ದೀರಿ. (ನನ್ನ) ವಿಪತ್ತನ್ನು ಕಂಡ ಕೂಡಲೆ ಹೆದರಿದಿರಿ.
[IRV | KN | OT | Job | Chapter 6 | Verse 22] ನನ್ನ ಬಿನ್ನಹವೇನು? ‘ನನಗೆ ದಾನಮಾಡಿರಿ’ ಎಂದು ಬಿನ್ನವಿಸಿದೆನೋ? ನಿಮ್ಮ ಆಸ್ತಿಯಿಂದ, ‘ನನಗಾಗಿ ಲಂಚಕೊಡಿರಿ’ ಎಂದೆನೋ?
[IRV | KN | OT | Job | Chapter 6 | Verse 23] ವಿರೋಧಿಯ ಕೈಯಿಂದ, ‘ನನ್ನನ್ನು ರಕ್ಷಿಸಿರಿ’ ಎಂದು ಕೇಳಿಕೊಂಡೆನೋ? ಬಲಾತ್ಕರಿಸುವವರಿಂದ, ‘ನನ್ನನ್ನು ವಿಮೋಚಿಸಿರಿ’ ಎಂದು ಬೇಡಿಕೊಂಡೆನೋ?
[IRV | KN | OT | Job | Chapter 6 | Verse 24] ನನಗೆ ಉಪದೇಶಮಾಡಿ ನನ್ನ ತಪ್ಪನ್ನು ನನಗೆ ತಿಳಿಯಪಡಿಸಿರಿ, ನಾನು ಮೌನದಿಂದಿರುವೆನು.
[IRV | KN | OT | Job | Chapter 6 | Verse 25] ನೀತಿಯ ನುಡಿಗಳು ಎಷ್ಟೋ ಖಂಡಿತವಾಗಿವೆ, ಆದರೆ ನಿಮ್ಮ ಖಂಡನೆಯು ನಿರಾರ್ಥಕ?
[IRV | KN | OT | Job | Chapter 6 | Verse 26] ಬರೀ ಮಾತುಗಳಿಂದ ಖಂಡಿಸಬೇಕೆನ್ನುವಿರೋ? ದೆಸೆಗೆಟ್ಟವನ ಮಾತುಗಳು ಗಾಳಿಗೆ ಹೋಗತಕ್ಕವುಗಳಲ್ಲವೇ?
[IRV | KN | OT | Job | Chapter 6 | Verse 27] ನೀವು ಚೀಟಿಹಾಕಿ ಅನಾಥನನ್ನು ಕೊಂಡುಕೊಳ್ಳುವವರು; ನಿಮ್ಮ ಸ್ನೇಹಿತನನ್ನು ಮಾರಿಬಿಡುತ್ತೀರಿ.
[IRV | KN | OT | Job | Chapter 6 | Verse 28] ಆದುದರಿಂದ ಈಗ ದಯಮಾಡಿ ನನ್ನನ್ನು ನೋಡಿರಿ, ನಿಮ್ಮ ಮುಖದೆದುರಿಗೆ ನಾನು ಸುಳ್ಳಾಡುವೆನೋ?
[IRV | KN | OT | Job | Chapter 6 | Verse 29] ದಯವಿಟ್ಟು ನನ್ನ ವಿಚಾರಣೆಗೆ ಅನ್ಯಾಯವಾಗದಿರಲಿ; ಮತ್ತೆ ವಿಮರ್ಶೆ ಮಾಡಿರಿ. ನನ್ನ ವ್ಯಾಜ್ಯವು ನ್ಯಾಯವಾದದ್ದು.
[IRV | KN | OT | Job | Chapter 6 | Verse 30] ರುಚಿಗೆ ನನ್ನ ನಾಲಿಗೆಯು ತಪ್ಪುಮಾಡುತ್ತದೋ? ಸತ್ಯಾಸತ್ಯಗಳ, ನ್ಯಾಯಾನ್ಯಾಯಗಳನ್ನು ವಿವೇಚಿಸುವ ಸಾಮರ್ಥ್ಯ ನನಗಿಲ್ಲವೇ?
